uni_0,uni_1,value
AKKUYU_1,Q1,0.9
AKKUYU_1,Q2,0.9
AKKUYU_1,Q3,0.9
AKKUYU_1,Q4,0.9
AKKUYU_2,Q1,0.9
AKKUYU_2,Q2,0.9
AKKUYU_2,Q3,0.9
AKKUYU_2,Q4,0.9
AKKUYU_3,Q1,0.9
AKKUYU_3,Q2,0.9
AKKUYU_3,Q3,0.9
AKKUYU_3,Q4,0.9
AKKUYU_4,Q1,0.9
AKKUYU_4,Q2,0.9
AKKUYU_4,Q3,0.9
AKKUYU_4,Q4,0.9
SINOP_1,Q1,0.9
SINOP_1,Q2,0.9
SINOP_1,Q3,0.9
SINOP_1,Q4,0.9
SINOP_2,Q1,0.9
SINOP_2,Q2,0.9
SINOP_2,Q3,0.9
SINOP_2,Q4,0.9
SINOP_3,Q1,0.9
SINOP_3,Q2,0.9
SINOP_3,Q3,0.9
SINOP_3,Q4,0.9
SINOP_4,Q1,0.9
SINOP_4,Q2,0.9
SINOP_4,Q3,0.9
SINOP_4,Q4,0.9
TRAKYA_1,Q1,0.9
TRAKYA_1,Q2,0.9
TRAKYA_1,Q3,0.9
TRAKYA_1,Q4,0.9
TRAKYA_2,Q1,0.9
TRAKYA_2,Q2,0.9
TRAKYA_2,Q3,0.9
TRAKYA_2,Q4,0.9
TRAKYA_3,Q1,0.9
TRAKYA_3,Q2,0.9
TRAKYA_3,Q3,0.9
TRAKYA_3,Q4,0.9
TRAKYA_4,Q1,0.9
TRAKYA_4,Q2,0.9
TRAKYA_4,Q3,0.9
TRAKYA_4,Q4,0.9
SMR_Trakia,Q1,0.9
SMR_Trakia,Q2,0.9
SMR_Trakia,Q3,0.9
SMR_Trakia,Q4,0.9
SMR_Northwest,Q1,0.9
SMR_Northwest,Q2,0.9
SMR_Northwest,Q3,0.9
SMR_Northwest,Q4,0.9
SMR_WestAna,Q1,0.9
SMR_WestAna,Q2,0.9
SMR_WestAna,Q3,0.9
SMR_WestAna,Q4,0.9
GEBZE_1_NG,Q1,0.7
GEBZE_1_NG,Q2,0.6
GEBZE_1_NG,Q3,0.7
GEBZE_1_NG,Q4,0.7
GEBZE_2_NG,Q1,0.7
GEBZE_2_NG,Q2,0.6
GEBZE_2_NG,Q3,0.7
GEBZE_2_NG,Q4,0.7
ADA_NG,Q1,0.7
ADA_NG,Q2,0.6
ADA_NG,Q3,0.7
ADA_NG,Q4,0.7
ALES_NG,Q1,0.7
ALES_NG,Q2,0.6
ALES_NG,Q3,0.7
ALES_NG,Q4,0.7
KIRKLARELI_NG,Q1,0.7
KIRKLARELI_NG,Q2,0.6
KIRKLARELI_NG,Q3,0.7
KIRKLARELI_NG,Q4,0.7
AKSA_ANTALYA_NG,Q1,0.7
AKSA_ANTALYA_NG,Q2,0.6
AKSA_ANTALYA_NG,Q3,0.7
AKSA_ANTALYA_NG,Q4,0.7
AKSA_AKRILIK_NG,Q1,0.7
AKSA_AKRILIK_NG,Q2,0.6
AKSA_AKRILIK_NG,Q3,0.7
AKSA_AKRILIK_NG,Q4,0.7
CAMIS_KIRKLARELI_NG,Q1,0.7
CAMIS_KIRKLARELI_NG,Q2,0.6
CAMIS_KIRKLARELI_NG,Q3,0.7
CAMIS_KIRKLARELI_NG,Q4,0.7
CENGIZ_610_NG,Q1,0.7
CENGIZ_610_NG,Q2,0.6
CENGIZ_610_NG,Q3,0.7
CENGIZ_610_NG,Q4,0.7
COLAKOGLU_1_NG,Q1,0.7
COLAKOGLU_1_NG,Q2,0.6
COLAKOGLU_1_NG,Q3,0.7
COLAKOGLU_1_NG,Q4,0.7
DELTA_NG,Q1,0.7
DELTA_NG,Q2,0.6
DELTA_NG,Q3,0.7
DELTA_NG,Q4,0.7
RWE_DENIZLI_NG,Q1,0.7
RWE_DENIZLI_NG,Q2,0.6
RWE_DENIZLI_NG,Q3,0.7
RWE_DENIZLI_NG,Q4,0.7
ERZIN_NG,Q1,0.7
ERZIN_NG,Q2,0.6
ERZIN_NG,Q3,0.7
ERZIN_NG,Q4,0.7
ENTEK_KOSEKOY_NG,Q1,0.7
ENTEK_KOSEKOY_NG,Q2,0.6
ENTEK_KOSEKOY_NG,Q3,0.7
ENTEK_KOSEKOY_NG,Q4,0.7
EUAS_ESENYURT_NG,Q1,0.7
EUAS_ESENYURT_NG,Q2,0.6
EUAS_ESENYURT_NG,Q3,0.7
EUAS_ESENYURT_NG,Q4,0.7
HABAS_NG,Q1,0.7
HABAS_NG,Q2,0.6
HABAS_NG,Q3,0.7
HABAS_NG,Q4,0.7
HAMITABAT_1_NG,Q1,0.7
HAMITABAT_1_NG,Q2,0.6
HAMITABAT_1_NG,Q3,0.7
HAMITABAT_1_NG,Q4,0.7
HAMITABAT_2_NG,Q1,0.7
HAMITABAT_2_NG,Q2,0.6
HAMITABAT_2_NG,Q3,0.7
HAMITABAT_2_NG,Q4,0.7
HAYAT_KIMYA_NG,Q1,0.7
HAYAT_KIMYA_NG,Q2,0.6
HAYAT_KIMYA_NG,Q3,0.7
HAYAT_KIMYA_NG,Q4,0.7
BANDIRMA_1_NG,Q1,0.7
BANDIRMA_1_NG,Q2,0.6
BANDIRMA_1_NG,Q3,0.7
BANDIRMA_1_NG,Q4,0.7
BANDIRMA_2_NG,Q1,0.7
BANDIRMA_2_NG,Q2,0.6
BANDIRMA_2_NG,Q3,0.7
BANDIRMA_2_NG,Q4,0.7
ANKARA_NG,Q1,0.7
ANKARA_NG,Q2,0.6
ANKARA_NG,Q3,0.7
ANKARA_NG,Q4,0.7
ICANADOLU_NG,Q1,0.7
ICANADOLU_NG,Q2,0.6
ICANADOLU_NG,Q3,0.7
ICANADOLU_NG,Q4,0.7
EUAS_BURSA_1_NG,Q1,0.7
EUAS_BURSA_1_NG,Q2,0.6
EUAS_BURSA_1_NG,Q3,0.7
EUAS_BURSA_1_NG,Q4,0.7
EUAS_BURSA_2_NG,Q1,0.7
EUAS_BURSA_2_NG,Q2,0.6
EUAS_BURSA_2_NG,Q3,0.7
EUAS_BURSA_2_NG,Q4,0.7
EUAS_ISTANBUL_A1_NG,Q1,0.7
EUAS_ISTANBUL_A1_NG,Q2,0.6
EUAS_ISTANBUL_A1_NG,Q3,0.7
EUAS_ISTANBUL_A1_NG,Q4,0.7
EUAS_ISTANBUL_A2_NG,Q1,0.7
EUAS_ISTANBUL_A2_NG,Q2,0.6
EUAS_ISTANBUL_A2_NG,Q3,0.7
