g,z,tech,fuel,StYr,RetrYr,Capacity,Status,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,DescreteCap,fuel2,HeatRate2,MinUtilization,RETech,UnitSize
GenericDieselCan_TH_ZAF,South_Africa,ICE,HFO,2024,2054,2000,0,,10.42,,,,,,,,0.933810376,,1000,0,,0,0.06,0,0
Bulawayo_TH_ZWE,Zimbabwe,ST,Coal,1999,2055,90,1,,,,,,,,,,0,,,0,,0,0.1,0,90
Aggreko_IPP_ICE_MWI,Malawi,ICE,Diesel,2000,2019,0,1,,,,,,,,,0,0,,0,0,,0,0,0,0
AH_Cambambe_C1_HY_AGO,Angola,ReservoirHydro,Water,1962,2060,260,1,,,,,,0.121826136,,,0,0,50,,0,,0,0,0,0
AH_Cambambe_C2_HY_AGO,Angola,ReservoirHydro,Water,2016,2060,700,1,,,,,,0.121826136,,,0,0,50,0,0,,0,0,0,0
AH_Capanda_HY_AGO,Angola,ReservoirHydro,Water,2004,2060,520,1,,,,,,0.121826136,,,0,0,50,,0,,0,0,0,0
AH_Lauca_HY_AGO,Angola,ReservoirHydro,Water,2017,2060,2070,1,,,,,,0.225,,,0,0,50,0,0,,0,0,0,0
AH_Gove_HY_AGO,Angola,ReservoirHydro,Water,2012,2092,60,1,,,,,,0.225,,,0,0,50,0,0,,0,0,0,0
AH_Matala_HY_AGO,Angola,ROR,Water,1959,2060,41,1,,,,,,0.121826136,,,0,0,50,,0,,0,0,0,0
Anixas_TH_NAM,Namibia,ICE,HFO,2011,2061,22,1,,6.87,,,,,63250,8.8,,0,,,0,,0,0,0,0
AnixasII_TH_NAM,Namibia,ICE,HFO,2024,2061,50,2,,10.42,,,,,20000,4.4,,0.933810376,,50,0,,0,0.06,0,0
New_CSP_ZAF,South_Africa,CSPPlant,CSP,2030,2060,2000,0,,0,1,1,0,0.8,22000,3,0,1.865,30,2000,0,,0,0,0,
New_CSP2024_ZAF,South_Africa,CSPPlant,CSP,2024,2054,100,0,,0,1,1,0,0.8,22000,3,0,1.865,30,100,0,,0,0,0,
Acacia_TH_ZAF,South_Africa,OCGT,HFO,1976,2026,171,1,,11.26101378,,,,,,,,0,,,0,,0,0,0,0
Ankerlig(Atlantis)_TH_ZAF,South_Africa,OCGT,HFO,2007,2057,1327,1,,9.39286647,,,,,,,,0,,,0,,0,0,0,0
Arnot1_TH_ZAF,South_Africa,ST,Coal,1975,2033,370,1,0.3,13.3,,,,,,,,0,,,0,,0,0.05,0,372
CahoraBassa1_HY_MOZ,Mozambique_Central,ReservoirHydro,Water,1979,2060,2075,1,,,,,,0.4,,,0,0,50,,0,,0,0,0,0
Bagamoyo_TH_TZA,Tanzania,CCGT,Gas,2030,2060,200,3,0.2,9.75,,,,0.2,30000,2,0,1.21,,30,,,,,0.05,
Bagasse_co-generation_BM_MWI,Malawi,ST,Biomass,2030,2060,60,3,,10,0.9,0.9,,,100000,2.5,,1.5,,60,0,,0,0,0,0
Baynes(Angola)_HY_AGO,Angola,ReservoirHydro,Water,2034,2112,439,3,,,,,,0.278070484,50000,0.5,,3.115813953,50,430,0,,0,0,0,0
Baynes(Namibia)_HY_NAM,Namibia,ReservoirHydro,Water,2034,2112,430,3,,,,,,0.278070484,50000,0.5,,3.115813953,50,430,0,,0,0,0,0
Arnot2_TH_ZAF,South_Africa,ST,Coal,1971,2033,390,1,0.3,13.3,,,,,,,,0,,,0,,0,0.05,0,372
Arnot3_TH_ZAF,South_Africa,ST,Coal,1972,2033,396,1,0.3,13.3,,,,,,,,0,,,0,,0,0.05,0,372
Arnot4_TH_ZAF,South_Africa,ST,Coal,1973,2033,396,1,0.3,13.3,,,,,,,,0,,,0,,0,0.05,0,372
Arnot5_TH_ZAF,South_Africa,ST,Coal,1974,2033,400,1,0.3,13.3,,,,,,,,0,,,0,,0,0.05,0,372
Arnot6_TH_ZAF,South_Africa,ST,Coal,1975,2033,400,1,0.3,13.3,,,,,,,,0,,,0,,0,0.05,0,372
DemaEmergency_TH_ZWE,Zimbabwe,ICE,HFO,2017,2020,200,1,,11.373804,,,,,,,,0,,,0,,0,0,0,0
Busanga_HY_DRCSouth,DRC_South,ReservoirHydro,Water,2022,2060,240,1,,,,,,0.193435172,,,0,0,50,0,0,,0,0,0,0
Bailundo_PV_AGO,Angola,PV,Solar,2025,2050,7,1,,,,,,,15000,,,0.8,,,,,,,1,
CaculoCabaca_HY_AGO,Angola,ReservoirHydro,Water,2027,2107,2172,2,,,,,,0.278070484,50000,0.5,,3.115813953,50,2172,0,,0,0,0,0
Athlone_TH_ZAF,South_Africa,ST,Coal,1962,2019,180,1,,10.10657267,,,,,,,,0,,,0,,0,0.05,0,180
BatokaGorgeNorth_HY_ZMB,Zambia,ReservoirHydro,Water,2035,2115,1200,3,,,,,,0.278070484,50000,0.5,,3.12,50,1200,0,,0,0,0,0
Cedar_Muloza,Malawi,ROR,Water,2022,2102,3.3,1,,,,,,0.325077306,,,0,0,50,0,0,,0,0,0,0
CF_Bafia_Farta_PV_AGO,Angola,PV,Solar,2022,2052,76,1,,0,,,,,,,,0,,0,0,,0,0,1,0
CF_Biopio_PV_AGO,Angola,PV,Solar,2022,2052,145,1,,0,,,,,,,,0,,0,0,,0,0,1,0
Existing _PV_ZIM,Zimbabwe,PV,Solar,2022,2060,132,1,,,,,,,,,,0,,,0,,0,0,1,0
ChishimbaFalls_HY_ZMB,Zambia,ROR,Water,2004,2060,6,1,,,,,,0.107375,,,0,0,50,,0,,0,0,0,0
ChishimbaFallsExt_HY_ZMB,Zambia,ROR,Water,2026,2106,9,2,,,,,,0.107375,40000,0.5,0,2.8,,9,,,,,,
CTMJICA1_TH_MOZ,Mozambique_South,OCGT,Gas,2018,2068,106,1,,10.425987,,,,,,,,0,,0,0,7,11.125987,0.5,0,0
