zone,tech,fuel,Q1,Q2,Q3,Q4
South_Africa,ST,Coal,0.65,0.65,0.65,0.65
South_Africa,OCGT,Gas,0.4,0.4,0.4,0.4
South_Africa,CCGT,Gas,0.4,0.4,0.4,0.4
South_Africa,ICE,Diesel,0.4,0.4,0.4,0.4
South_Africa,ICE,HFO,0.4,0.4,0.4,0.4
South_Africa,OCGT,HFO,0.4,0.4,0.4,0.4
South_Africa,ST,Uranium,0.9,0.9,0.9,0.9
South_Africa,ST,Biomass,0.4,0.4,0.4,0.4
South_Africa,CCGT,LNG,0.4,0.4,0.4,0.4
South_Africa,OCGT,LNG,0.4,0.4,0.4,0.4
South_Africa,PV,Solar,1.0,1.0,1.0,1.0
South_Africa,CSPPlant,CSP,1.0,1.0,1.0,1.0
South_Africa,OnshoreWind,Wind,1.0,1.0,1.0,1.0
South_Africa,OffshoreWind,Wind,1.0,1.0,1.0,1.0
South_Africa,ST,Geothermal,0.4,0.4,0.4,0.4
South_Africa,Storage,Battery,1.0,1.0,1.0,1.0
South_Africa,Storage,Water,0.4,0.4,0.4,0.4
South_Africa,ReservoirHydro,Water,0.4,0.4,0.4,0.4
Angola,ST,Coal,0.65,0.65,0.65,0.65
Angola,OCGT,Gas,0.4,0.4,0.4,0.4
Angola,CCGT,Gas,0.4,0.4,0.4,0.4
Angola,ICE,Diesel,0.4,0.4,0.4,0.4
Angola,ICE,HFO,0.4,0.4,0.4,0.4
Angola,OCGT,HFO,0.4,0.4,0.4,0.4
Angola,ST,Uranium,0.9,0.9,0.9,0.9
Angola,ST,Biomass,0.4,0.4,0.4,0.4
Angola,CCGT,LNG,0.4,0.4,0.4,0.4
Angola,OCGT,LNG,0.4,0.4,0.4,0.4
Angola,PV,Solar,1.0,1.0,1.0,1.0
Angola,CSPPlant,CSP,1.0,1.0,1.0,1.0
Angola,OnshoreWind,Wind,1.0,1.0,1.0,1.0
Angola,OffshoreWind,Wind,1.0,1.0,1.0,1.0
Angola,ST,Geothermal,0.4,0.4,0.4,0.4
Angola,Storage,Battery,1.0,1.0,1.0,1.0
Angola,Storage,Water,0.4,0.4,0.4,0.4
Angola,ReservoirHydro,Water,0.4,0.4,0.4,0.4
Botswana,ST,Coal,0.65,0.65,0.65,0.65
Botswana,OCGT,Gas,0.4,0.4,0.4,0.4
Botswana,CCGT,Gas,0.4,0.4,0.4,0.4
Botswana,ICE,Diesel,0.4,0.4,0.4,0.4
Botswana,ICE,HFO,0.4,0.4,0.4,0.4
Botswana,OCGT,HFO,0.4,0.4,0.4,0.4
Botswana,ST,Uranium,0.9,0.9,0.9,0.9
Botswana,ST,Biomass,0.4,0.4,0.4,0.4
Botswana,CCGT,LNG,0.4,0.4,0.4,0.4
Botswana,OCGT,LNG,0.4,0.4,0.4,0.4
Botswana,PV,Solar,1.0,1.0,1.0,1.0
Botswana,CSPPlant,CSP,1.0,1.0,1.0,1.0
