# Cross-border transmission reference data — Black Sea region
# Sources: ENTSO-E TYNDP, TEIAS, GSE, Azerenerji, GRIDSOL, Med-TSO, ENTSO-E CBA
# mw_fwd = capacity in from_country → to_country direction
# mw_rev = capacity in to_country → from_country direction
# status: existing | under_construction | planned | candidate | long_term | cold_standby
# connection_type: AC_sync | AC_async | HVDC_B2B | AC_isolated
from_country,from_substation,to_country,to_substation,voltage_kv,n_circuits,length_km,mw_fwd,mw_rev,status,earliest_entry,connection_type,note
TUR,Hamitabat,BGR,Maritsa East 3,400,2,180,650,1350,existing,,AC_async,"Two parallel 400 kV circuits. NTC asymmetric: ~650 MW BGR→TUR / ~500 MW TUR→BGR (SIPS-limited). 1350 MW STC. SIPS at Hamitabat."
TUR,Babaeski,GRC,Nea Santa,400,1,205,600,600,existing,,AC_async,"Single 400 kV circuit. SIPS will trip Turkey if sole connection to CESA exceeds threshold."
TUR,Babaeski,GRC,Nea Santa,400,1,130,600,600,planned,2029,AC_async,"2nd Greece–Turkey 400 kV line (~70 km in GRC). PCI project / East Balkan Corridor."
TUR,Vize,BGR,Maritsa Iztok,400,1,190,0,0,long_term,,AC_async,"Proposed Med-TSO Project #11. Would raise total CESA↔TR NTC combined with 2nd GR-TR line. TBD capacity."
TUR,Borçka,GEO,Akhaltsikhe,400,1,150,700,700,existing,,HVDC_B2B,"Akhaltsikhe substation: 2×350 MW B2B converters (Siemens). 500 kV line into TR via Borçka. Commissioned 2013."
TUR,Tortum,GEO,Akhaltsikhe,400,1,80,350,350,existing,,HVDC_B2B,"3rd B2B converter unit at Akhaltsikhe + new 400 kV line Akhaltsikhe–Tortum. Brings TUR-GEO NTC to ~1050 MW."
TUR,Hopa/Muratli,GEO,Batumi,220,1,40,120,120,existing,,AC_async,"Achara line. Mostly reserve/out of service. Planned upgrade with 350 MW B2B at Batumi."
GEO,Gardabani-500,AZE,Samuh,500,1,182,1300,1500,existing,,AC_sync,"Mukhrani Valley line. Crosses border near Red Bridge. GEO→AZE: 1300 MW / AZE→GEO: 1500 MW. Commissioned 2016."
GEO,Gardabani-500,AZE,Aghstafa,330,2,44,700,700,existing,,AC_sync,"Gardabani double-circuit line. Reconstructed 2019–2020 (124 of 162 towers by Sakrusenergo)."
GEO,Stepantsminda,RUS,Sochi area,500,1,150,570,650,existing,,AC_sync,"Kavkasioni line. Parallel synchronous operation. GEO→RUS: 570 MW / RUS→GEO: 650 MW."
GEO,Salkhino,RUS,Sochi area,220,1,50,264,300,existing,,AC_isolated,"Salkhino line. Operated in isolated mode mostly. GEO→RUS: 264 MW / RUS→GEO: 300 MW."
GEO,Nakaduli,RUS,,110,1,0,40,45,existing,,AC_isolated,"Nakaduli line. Low-voltage isolated. GEO→RUS: 40 MW / RUS→GEO: 45 MW."
GEO,Alaverdi,ARM,,220,1,80,150,100,existing,,AC_isolated,"Alaverdi line. Operated in isolated mode mostly. GEO→ARM: 150 MW / ARM→GEO: 100 MW. New HVDC under construction in parallel."
GEO,Mameuli,ARM,Ayrum,500,1,90,350,350,under_construction,,HVDC_B2B,"Caucasus Transmission Network. EIB/EU/KfW funded. Three B2B units planned (3×350 MW = 1050 MW total)."
ARM,Meghri,IRN,,220,1,100,400,400,existing,,AC_sync,"Synchronous link Armenia–Iran (Iran grid). AGIR project would upgrade and add HVDC parallel."
TUR,Van,IRN,Khoy,400,1,115,600,600,existing,,HVDC_B2B,"Khoy–Van 400 kV B2B HVDC, 600 MW. TEIAS + Iran Grid Mgmt Co. operations contract signed Jan 2024."
TUR,Cizre,IRQ,,400,1,0,300,300,existing,,AC_async,"Operational. Southeast Türkiye to Iraqi Kurdistan grid."
TUR,Birecik HPP,SYR,Aleppo,400,1,0,0,0,cold_standby,,AC_async,"Originally fed 2 Birecik HPP units to Syria pre-2010. Disconnected when TEIAS synced to ENTSO-E. B2B planned if reconnected."
AZE,Yashma,RUS,Derbent,330,1,200,500,500,existing,,AC_sync,"Junction SS Yashma (renovated 2022, 750 MW capacity). Strategic IPS interconnection since 1971."
AZE,Khachmaz,RUS,Derbent,330,1,0,200,200,existing,,AC_sync,"Parallel link to Yashma–Derbent."
AZE,Yalama,RUS,Bilici,110,1,0,50,50,existing,,AC_local,"Low-voltage cross-border supply."
AZE,Absheron-Yashma,RUS,Derbent,330,1,0,500,500,planned,,AC_sync,"Second 330 kV line to double exchange capacity with Russia."
AZE,Imishli,IRN,Parsabad,220,1,0,200,200,existing,,AC_async,"Main of 5 PTLs Azerbaijan–Iran. Total combined NTC ~600 MW."
AZE,Masalli,IRN,Astara,220,1,68,150,150,existing,,AC_async,"260 towers, ~68 km. Reconstructed 2019."
AZE,Ali Bayramli,IRN,Astara,220,1,0,100,100,existing,,AC_async,"One of 5 operational PTLs Azerbaijan–Iran."
AZE,Araz/Khudafarin,IRN,,220,1,0,150,150,existing,,AC_async,"Connection from Araz HPP / Khudafarin HPP region."
ROU,Medgidia South,BGR,Varna,400,1,150,500,500,existing,,AC_sync,"Re-sectioned from former Stupina–Varna line in 2024."
ROU,Medgidia South,BGR,Dobrudja,400,1,120,500,500,existing,,AC_sync,"Re-sectioned from former Rahman–Dobrudja line in 2024. Capacity boost: +200–300 MW export, +100 MW import."
ROU,Tântăreni,BGR,Kozloduy,400,1,120,500,500,existing,,AC_sync,"Western Romania–Bulgaria link via the Danube. Total RO-BG NTC ~1500 MW."
ROU,Portile de Fier,SRB,Derdap,400,1,0,500,500,existing,,AC_sync,"Iron Gates HPP cross-border. Long-standing link."
ROU,Resita,SRB,Pancevo,400,1,131,500,500,existing,,AC_sync,"63 km in Romania. Commissioned January 2025. Brings total RO-SR capacity to 1000 MW."
ROU,Resita,SRB,Pancevo,400,2,131,500,500,planned,2030,AC_sync,"Double-circuit upgrade. ENTSO-E TYNDP project of mutual interest."
ROU,Arad,HUN,Sándorfalva,400,1,120,600,600,existing,,AC_sync,"Long-standing 400 kV link."
ROU,Nădab,HUN,Békéscsaba,400,2,60,1000,1000,existing,,AC_sync,"Double-circuit border reach 1 GW. Commissioned with Oradea Sud–Nădab 2020."
ROU,Oradea,HUN,Józsa,400,1,0,500,500,planned,,AC_sync,"Second ROU-HUN interconnection planned."
ROU,Roșiori,UKR,Mukachevo,400,1,80,700,700,existing,,AC_sync,"Main RO-UA interconnection. Part of EE CCR. CESA since 2022."
ROU,Isaccea,UKR,Vulcănești (MD),400,1,50,600,600,existing,,AC_sync,"Goes via Moldova (Vulcănești) onward to Ukraine. Damaged by drone strike 03/2026."
ROU,Isaccea,MDA,Vulcănești,400,1,140,500,500,existing,,AC_sync,"Pre-existing 400 kV line. Key Moldova energy security link."
ROU,Isaccea,MDA,Chișinău,400,1,157,630,630,under_construction,2025,AC_sync,"Phase I Moldova–Romania. 157 km new VL-CH. 630 MVA nominal. Commissioning end 2025."
ROU,Suceava,MDA,Bălți,400,1,0,0,0,planned,2027,AC,"Phase II Moldova–Romania interconnection."
BGR,Blagoevgrad,GRC,Thessaloniki,400,1,150,600,600,existing,,AC_sync,"First BG-GR interconnection (legacy)."
BGR,Maritsa East,GRC,Nea Santa,400,1,151,1400,1700,existing,,AC_sync,"Second BG-GR interconnection. PCI project. 2 GW nominal. July 2023. Asymmetric: 1400 MW BG→GR / 1700 MW GR→BG."
BGR,Sofia West,SRB,Niš,400,1,150,600,600,existing,,AC_sync,"BG-RS interconnection."
