,,,Load,PV,Wind,Load_PV_corr,Load_Wind_corr,PV_Wind_corr
1,1,0,0.7143,0.5241,0.7711,6.481548526436434e-07,6.593261877554566e-06,0.006837527489070871
1,1,1,0.7882,0.5393,0.5137,0.003040253899263209,0.00046798037188770943,0.000260348347810719
1,1,2,0.8571,0.5011,0.3878,0.00041793367314531764,-0.01707751739361026,-0.0003498836389778957
1,1,3,0.9163,0.5061,0.6439,0.0016012893642022262,0.02758256923240601,0.0010821670469977017
1,1,4,0.9617,0.8437,0.0644,0.0854918185766006,-0.10960173469798018,-0.1530575740429413
1,1,5,0.9903,0.5999,0.3593,0.028078972728023354,-0.04087089061007366,-0.015062549230949435
1,1,6,1.0,0.6162,0.4507,0.033723034310848554,-0.0161919000015879,-0.006688488345532773
1,1,7,0.9903,0.6901,0.3307,0.05297642772802337,-0.048765205610073664,-0.03390750952820554
1,1,8,0.9617,0.7886,0.371,0.0718587010766006,-0.03374122969798018,-0.03960528210823601
1,1,9,0.9163,0.9851,0.12,0.09837126436420222,-0.078258328267594,-0.18862036847129493
1,1,10,0.8571,0.2576,0.2341,-0.034359953826854674,-0.03902971989361026,0.06574148963973146
1,1,11,0.7882,0.4445,0.1751,-0.003967836100736792,-0.024563024628112298,0.017834169983989585
1,1,12,0.7143,0.41,0.5806,-2.204345147362377e-06,1.830761877544515e-06,-0.006457009697158805
1,1,13,0.6403,0.4364,0.1877,0.004569717291031507,0.02364755310435722,0.019747203181398124
1,1,14,0.5714,0.9089,0.3068,-0.058682504982850596,0.02865637086985517,-0.08237915761509576
1,1,15,0.5123,0.4628,0.5985,0.00714462444550306,-0.01840607770865093,-0.00322363173730108
1,1,16,0.4668,0.8565,0.7638,-0.08867677488630589,-0.06346013182577491,0.09188575619587985
1,1,17,0.4383,0.9937,0.4856,-0.13675284141831806,0.006007844633828756,-0.010787369820380335
1,1,18,0.4286,0.2731,0.7759,0.06429795949885672,-0.07671244347465704,-0.06043917602972996
1,1,19,0.4383,0.0758,0.1142,0.1165646110816819,0.10850495963382875,0.16606450859298347
1,1,20,0.4668,0.7704,0.4416,-0.06736917738630588,0.016276313174225093,-0.017904187451223824
1,1,21,0.5123,0.7657,0.5629,-0.054033603054496955,-0.011215767708650914,0.014855856660818845
1,1,22,0.5714,0.0343,0.338,0.06627597001714938,0.02419867086985517,0.07856608611711964
1,1,23,0.6403,0.514,0.1834,-0.001170742708968494,0.023965645604357218,-0.005127204585370168
