country,zone,attribute,resolution,year,ArTur,baseline
Armenia,Armenia,Annual Energy Exchanges: GWh,EastAna,2027,8722.3,
Armenia,Armenia,Annual Energy Exchanges: GWh,EastAna,2028,8716.0,
Armenia,Armenia,Annual Energy Exchanges: GWh,EastAna,2029,8729.7,
Armenia,Armenia,Annual Energy Exchanges: GWh,EastAna,2030,8685.7,
Armenia,Armenia,Annual Energy Exchanges: GWh,EastAna,2031,8540.0,
Armenia,Armenia,Annual Energy Exchanges: GWh,EastAna,2032,8460.0,
Armenia,Armenia,Annual Energy Exchanges: GWh,EastAna,2033,8402.5,
Armenia,Armenia,Annual Energy Exchanges: GWh,EastAna,2034,8404.2,
Armenia,Armenia,Annual Energy Exchanges: GWh,EastAna,2035,8367.3,
Armenia,Armenia,Annual Energy Exchanges: GWh,EastAna,2036,8332.4,
Armenia,Armenia,Annual Energy Exchanges: GWh,EastAna,2037,7422.9,
Armenia,Armenia,Annual Energy Exchanges: GWh,EastAna,2038,7362.4,
Armenia,Armenia,Annual Energy Exchanges: GWh,EastAna,2039,7332.6,
Armenia,Armenia,Annual Energy Exchanges: GWh,EastAna,2040,5758.1,
Armenia,Armenia,Capacity: MW,Gas,2025,945.6,945.6
Armenia,Armenia,Capacity: MW,Gas,2026,945.6,945.6
Armenia,Armenia,Capacity: MW,Gas,2027,945.6,945.6
Armenia,Armenia,Capacity: MW,Gas,2028,945.6,945.6
Armenia,Armenia,Capacity: MW,Gas,2029,945.6,945.6
Armenia,Armenia,Capacity: MW,Gas,2030,945.6,945.6
Armenia,Armenia,Capacity: MW,Gas,2031,945.6,945.6
Armenia,Armenia,Capacity: MW,Gas,2032,945.6,945.6
Armenia,Armenia,Capacity: MW,Gas,2033,945.6,945.6
Armenia,Armenia,Capacity: MW,Gas,2034,945.6,945.6
Armenia,Armenia,Capacity: MW,Gas,2035,945.6,945.6
Armenia,Armenia,Capacity: MW,Gas,2036,945.6,945.6
Armenia,Armenia,Capacity: MW,Gas,2037,945.6,945.6
Armenia,Armenia,Capacity: MW,Gas,2038,945.6,945.6
Armenia,Armenia,Capacity: MW,Gas,2039,945.6,945.6
Armenia,Armenia,Capacity: MW,Gas,2040,945.6,945.6
Armenia,Armenia,Capacity: MW,Nuclear,2025,407.5,407.5
Armenia,Armenia,Capacity: MW,Nuclear,2026,407.5,407.5
Armenia,Armenia,Capacity: MW,Nuclear,2027,407.5,407.5
Armenia,Armenia,Capacity: MW,Nuclear,2028,407.5,407.5
Armenia,Armenia,Capacity: MW,Nuclear,2029,407.5,407.5
Armenia,Armenia,Capacity: MW,Nuclear,2030,407.5,407.5
Armenia,Armenia,Capacity: MW,Nuclear,2031,407.5,407.5
Armenia,Armenia,Capacity: MW,Nuclear,2032,407.5,407.5
Armenia,Armenia,Capacity: MW,Nuclear,2033,407.5,407.5
Armenia,Armenia,Capacity: MW,Nuclear,2034,407.5,407.5
Armenia,Armenia,Capacity: MW,Nuclear,2035,407.5,407.5
Armenia,Armenia,Capacity: MW,Nuclear,2036,407.5,407.5
Armenia,Armenia,Capacity: MW,Onshore Wind,2025,4.0,4.0
Armenia,Armenia,Capacity: MW,Onshore Wind,2026,4.0,4.0
Armenia,Armenia,Capacity: MW,Onshore Wind,2027,4.0,4.0
Armenia,Armenia,Capacity: MW,Onshore Wind,2028,4.0,4.0
Armenia,Armenia,Capacity: MW,Onshore Wind,2029,4.0,4.0
Armenia,Armenia,Capacity: MW,Onshore Wind,2030,4.0,4.0
Armenia,Armenia,Capacity: MW,Onshore Wind,2031,4.0,4.0
Armenia,Armenia,Capacity: MW,Onshore Wind,2032,4.0,4.0
Armenia,Armenia,Capacity: MW,Onshore Wind,2033,4.0,4.0
Armenia,Armenia,Capacity: MW,Onshore Wind,2034,4.0,4.0
Armenia,Armenia,Capacity: MW,Onshore Wind,2035,4.0,4.0
Armenia,Armenia,Capacity: MW,Onshore Wind,2036,4.0,4.0
Armenia,Armenia,Capacity: MW,Onshore Wind,2037,4.0,4.0
Armenia,Armenia,Capacity: MW,Onshore Wind,2038,4.0,4.0
Armenia,Armenia,Capacity: MW,Onshore Wind,2039,4.0,4.0
Armenia,Armenia,Capacity: MW,Onshore Wind,2040,4.0,4.0
Armenia,Armenia,Capacity: MW,PV,2025,452.0,452.0
Armenia,Armenia,Capacity: MW,PV,2026,452.0,452.0
Armenia,Armenia,Capacity: MW,PV,2027,887.0,887.0
Armenia,Armenia,Capacity: MW,PV,2028,887.0,887.0
Armenia,Armenia,Capacity: MW,PV,2029,887.0,887.0
Armenia,Armenia,Capacity: MW,PV,2030,887.0,887.0
Armenia,Armenia,Capacity: MW,PV,2031,887.0,887.0
Armenia,Armenia,Capacity: MW,PV,2032,887.0,887.0
Armenia,Armenia,Capacity: MW,PV,2033,887.0,887.0
Armenia,Armenia,Capacity: MW,PV,2034,887.0,887.0
Armenia,Armenia,Capacity: MW,PV,2035,887.0,887.0
Armenia,Armenia,Capacity: MW,PV,2036,887.0,887.0
Armenia,Armenia,Capacity: MW,PV,2037,887.0,887.0
Armenia,Armenia,Capacity: MW,PV,2038,887.0,887.0
Armenia,Armenia,Capacity: MW,PV,2039,887.0,887.0
Armenia,Armenia,Capacity: MW,PV,2040,887.0,887.0
Armenia,Armenia,Capacity: MW,ROR,2025,430.0,430.0
Armenia,Armenia,Capacity: MW,ROR,2026,430.0,430.0
