gen,zone,tech,fuel,Status,StYr,RetrYr,Capacity,UnitSize,DescreteCap,fuel2,HeatRate2,BuildLimitperYear,Life,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,Capex,FOMperMW,VOM,ReserveCost
HPP Bocac,BiH,ROR,Water,1.0,,,110.0,,,,,,,,,,,,,,,,
HPP Dub i Ustipraca,BiH,ROR,Water,1.0,,,17.0,,,,,,,,,,,,,,,,
HPP Dubrovnik,BiH,ReservoirHydro,Water,1.0,,,120.0,,,,,,,,,,,,,,,,
HPP Grabovica,BiH,ROR,Water,1.0,,,114.0,,,,,,,,,,,,,,,,
HPP Jablanica,BiH,ReservoirHydro,Water,1.0,,,180.0,,,,,,,,,,,,,,,,
HPP Jajce 1,BiH,ROR,Water,1.0,,2045.0,60.0,,,,,,,,,,,,,,,,
HPP Jajce 2,BiH,ROR,Water,1.0,,,30.0,,,,,,,,,,,,,,,,
HPP Mostar,BiH,ROR,Water,1.0,,,72.0,,,,,,,,,,,,,,,,
HPP Mostarsko blato,BiH,ROR,Water,1.0,,,60.0,,,,,,,,,,,,,,,,
HPP Pec-Mlini,BiH,ROR,Water,1.0,,,30.6,,,,,,,,,,,,,,,,
HPP Rama,BiH,ReservoirHydro,Water,1.0,,,170.0,,,,,,,,,,,,,,,,
HPP Salakovac,BiH,ROR,Water,1.0,,2045.0,210.0,,,,,,,,,,,,,,,,
HPP Trebinje 1,BiH,ReservoirHydro,Water,1.0,,,171.0,,,,,,,,,,,,,,,,
HPP Visegrad,BiH,ROR,Water,1.0,,,315.0,,,,,,,,,,,,,,,,
PSPCapljina,BiH,Storage,Water,1.0,1968.0,2051.0,440.0,,,,,,,,,1.0,1.0,0.0,1.0,,35872.0,,0.0
PV_Ex_BiH,BiH,PV,Solar,1.0,2020.0,2044.0,56.0,,,,,,,,,,,,,,10000.0,,0.0
TPP_Gacko,BiH,ST,Coal,1.0,1983.0,2035.0,276.0,,,,,,,0.22,10.902,0.7,0.7,0.0,0.05,,48000.0,4.5,0.0
TPP_Kakanj5_Old,BiH,ST,Coal,1.0,1969.0,2022.0,100.0,,,,,,,0.22,12.324,0.7,0.7,0.0,0.05,,48000.0,3.8,0.0
TPP_Kakanj5,BiH,ST,Coal,1.0,2022.0,2051.0,100.0,,,,,,,0.22,12.98,1.0,1.0,0.0,0.05,,48000.0,3.8,0.0
TPP_Kakanj6,BiH,ST,Coal,1.0,1977.0,2051.0,100.0,,,,,,,0.22,12.4188,0.7,0.7,0.0,0.05,,42000.0,3.7,0.0
TPP_Kakanj7,BiH,ST,Coal,1.0,1988.0,2051.0,208.0,,,,,,,0.22,12.0396,0.7,0.7,0.0,0.05,,48000.0,3.8,0.0
TPP_Stanari,BiH,ST,Coal,1.0,2015.0,2060.0,275.0,,,,,,,0.22,9.2,0.7,0.7,0.0,0.05,,38000.0,4.0,0.0
TPP_Tuzla3,BiH,ST,Coal,1.0,1966.0,2023.0,90.0,,,,,,,0.22,13.9356,0.7,0.7,0.0,0.05,,19200.0,6.0,0.0
