z,tech,fuel,Q1,Q2,Q3a,Q3b,Q4
KAZ_N,CCGT,Gas,0.9,0.9,0.9,0.9,0.9
KAZ_N,CHP,Coal,0.9,0.9,0.9,0.9,0.9
KAZ_N,GT,Gas,0.9,0.9,0.9,0.9,0.9
KAZ_N,ICE,HFO,0.9,0.9,0.9,0.9,0.9
KAZ_N,ST,Coal,0.9,0.9,0.9,0.9,0.9
KAZ_N,ST,UR,0.9,0.9,0.9,0.9,0.9
KAZ_S,CCGT,Gas,0.9,0.9,0.9,0.9,0.9
KAZ_S,CHP,Coal_KAZ_S,0.9,0.9,0.9,0.9,0.9
KAZ_S,CHP,Gas,0.9,0.9,0.9,0.9,0.9
KAZ_S,GT,Gas,0.9,0.9,0.9,0.9,0.9
KAZ_S,ICE,HFO,0.9,0.9,0.9,0.9,0.9
KAZ_S,ST,Coal_KAZ_S,0.9,0.9,0.9,0.9,0.9
KAZ_S,ST,Gas,0.9,0.9,0.9,0.9,0.9
KAZ_S,ST,UR,0.9,0.9,0.9,0.9,0.9
KGZ_N,CCGT,Gas,0.9,0.9,0.9,0.9,0.9
KGZ_N,CHP,Coal,0.9,0.9,0.9,0.9,0.9
KGZ_N,CHP,Gas,0.9,0.9,0.9,0.9,0.9
KGZ_N,GT,Gas,0.9,0.9,0.9,0.9,0.9
KGZ_N,ICE,HFO,0.9,0.9,0.9,0.9,0.9
KGZ_N,ST,Coal,0.9,0.9,0.9,0.9,0.9
KGZ_S,CCGT,Gas,0.9,0.9,0.9,0.9,0.9
KGZ_S,CHP,Gas,0.9,0.9,0.9,0.9,0.9
KGZ_S,GT,Gas,0.9,0.9,0.9,0.9,0.9
KGZ_S,ICE,HFO,0.9,0.9,0.9,0.9,0.9
KGZ_S,ST,Coal,0.9,0.9,0.9,0.9,0.9
NEPS_AFG,CCGT,Gas,0.9,0.9,0.9,0.9,0.9
NEPS_AFG,GT,Gas,0.9,0.9,0.9,0.9,0.9
NEPS_AFG,ICE,HFO,0.9,0.9,0.9,0.9,0.9
NEPS_AFG,ST,Coal,0.9,0.9,0.9,0.9,0.9
NEPS_HERAT,CCGT,Gas,0.9,0.9,0.9,0.9,0.9
NEPS_HERAT,GT,Gas,0.9,0.9,0.9,0.9,0.9
NEPS_HERAT,ICE,HFO,0.9,0.9,0.9,0.9,0.9
NEPS_HERAT,ST,Coal,0.9,0.9,0.9,0.9,0.9
NEPS_TAJ,CCGT,Gas,0.9,0.9,0.9,0.9,0.9
NEPS_TAJ,GT,Gas,0.9,0.9,0.9,0.9,0.9
NEPS_TAJ,ICE,HFO,0.9,0.9,0.9,0.9,0.9
NEPS_TAJ,ST,Coal,0.9,0.9,0.9,0.9,0.9
NEPS_TKM,CCGT,Gas,0.9,0.9,0.9,0.9,0.9
NEPS_TKM,GT,Gas,0.9,0.9,0.9,0.9,0.9
NEPS_TKM,ICE,HFO,0.9,0.9,0.9,0.9,0.9
NEPS_TKM,ST,Coal,0.9,0.9,0.9,0.9,0.9
NEPS_UZB,CCGT,Gas,0.9,0.9,0.9,0.9,0.9
NEPS_UZB,GT,Gas,0.9,0.9,0.9,0.9,0.9
NEPS_UZB,ICE,HFO,0.9,0.9,0.9,0.9,0.9
NEPS_UZB,ST,Coal,0.9,0.9,0.9,0.9,0.9
PAK_KAR,CCGT,Gas,0.9,0.9,0.9,0.9,0.9
PAK_KAR,CCGT,LNG,0.9,0.9,0.9,0.9,0.9
PAK_KAR,GT,Gas,0.9,0.9,0.9,0.9,0.9
PAK_KAR,GT,LNG,0.9,0.9,0.9,0.9,0.9
PAK_KAR,ICE,HFO,0.9,0.9,0.9,0.9,0.9
PAK_KAR,ICE,LNG,0.9,0.9,0.9,0.9,0.9
PAK_KAR,ST,Coal,0.9,0.9,0.9,0.9,0.9
PAK_KAR,ST,Gas,0.9,0.9,0.9,0.9,0.9
PAK_KAR,ST,HFO,0.9,0.9,0.9,0.9,0.9
PAK_KAR,ST,UR,0.9,0.9,0.9,0.9,0.9
PAK_N,CCGT,Gas,0.9,0.9,0.9,0.9,0.9
PAK_N,CCGT,HFO,0.9,0.9,0.9,0.9,0.9
PAK_N,CCGT,LNG,0.9,0.9,0.9,0.9,0.9
PAK_N,GT,Gas,0.9,0.9,0.9,0.9,0.9
PAK_N,GT,LNG,0.9,0.9,0.9,0.9,0.9
PAK_N,ICE,HFO,0.9,0.9,0.9,0.9,0.9
PAK_N,ST,Coal,0.9,0.9,0.9,0.9,0.9
PAK_N,ST,HFO,0.9,0.9,0.9,0.9,0.9
PAK_N,ST,LNG,0.9,0.9,0.9,0.9,0.9
PAK_N,ST,UR,0.9,0.9,0.9,0.9,0.9
PAK_S,CCGT,Gas,0.9,0.9,0.9,0.9,0.9
PAK_S,CCGT,HFO,0.9,0.9,0.9,0.9,0.9
PAK_S,CCGT,LNG,0.9,0.9,0.9,0.9,0.9
PAK_S,GT,Gas,0.9,0.9,0.9,0.9,0.9
PAK_S,GT,LNG,0.9,0.9,0.9,0.9,0.9
PAK_S,ST,Coal,0.9,0.9,0.9,0.9,0.9
PAK_S,ST,Gas,0.9,0.9,0.9,0.9,0.9
PAK_S,ST,HFO,0.9,0.9,0.9,0.9,0.9
PAK_S,ST,LNG,0.9,0.9,0.9,0.9,0.9
PAK_S,ST,UR,0.9,0.9,0.9,0.9,0.9
TAJ_N,CCGT,Gas,0.9,0.9,0.9,0.9,0.9
TAJ_N,CHP,Coal,0.9,0.9,0.9,0.9,0.9
TAJ_N,GT,Gas,0.9,0.9,0.9,0.9,0.9
TAJ_N,ICE,HFO,0.9,0.9,0.9,0.9,0.9
TAJ_N,ST,Coal,0.9,0.9,0.9,0.9,0.9
TAJ_S,CCGT,Gas,0.9,0.9,0.9,0.9,0.9
TAJ_S,CHP,Coal,0.9,0.9,0.9,0.9,0.9
TAJ_S,CHP,Gas,0.9,0.9,0.9,0.9,0.9
TAJ_S,GT,Gas,0.9,0.9,0.9,0.9,0.9
TAJ_S,ICE,HFO,0.9,0.9,0.9,0.9,0.9
TAJ_S,ST,Coal,0.9,0.9,0.9,0.9,0.9
TUR,CCGT,Gas,0.9,0.9,0.9,0.9,0.9
TUR,CHP,Gas,0.9,0.9,0.9,0.9,0.9
TUR,GT,Gas,0.9,0.9,0.9,0.9,0.9
TUR,ICE,HFO,0.9,0.9,0.9,0.9,0.9
TUR,ST,Coal,0.9,0.9,0.9,0.9,0.9
TUR,ST,Gas,0.9,0.9,0.9,0.9,0.9
UZB,CCGT,Gas,0.9,0.9,0.9,0.9,0.9
UZB,CHP,Gas,0.9,0.9,0.9,0.9,0.9
UZB,CHP,HFO,0.9,0.9,0.9,0.9,0.9
UZB,GT,Gas,0.9,0.9,0.9,0.9,0.9
UZB,ST,Coal,0.9,0.9,0.9,0.9,0.9
UZB,ST,Gas,0.9,0.9,0.9,0.9,0.9
