,,,,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Angola,PV,Q1,d1,0,0,0,0,0,0.03,0.068,0.112,0.141,0.163,0.177,0.178,0.181,0.168,0.133,0.088,0.015,0,0,0,0,0,0,0
Angola,PV,Q1,d2,0,0,0,0,0.001,0.064,0.179,0.296,0.436,0.52,0.542,0.518,0.486,0.397,0.278,0.137,0.034,0,0,0,0,0,0,0
Angola,PV,Q1,d3,0,0,0,0,0,0.026,0.092,0.172,0.246,0.308,0.357,0.402,0.433,0.404,0.3,0.161,0.033,0,0,0,0,0,0,0
Angola,PV,Q1,d4,0,0,0,0,0,0.058,0.209,0.354,0.474,0.539,0.536,0.495,0.436,0.353,0.261,0.14,0.024,0,0,0,0,0,0,0
Angola,PV,Q2,d1,0,0,0,0,0,0.102,0.37,0.554,0.679,0.756,0.785,0.771,0.72,0.618,0.466,0.254,0.012,0,0,0,0,0,0,0
Angola,PV,Q2,d2,0,0,0,0,0,0.034,0.153,0.29,0.447,0.56,0.56,0.508,0.405,0.29,0.182,0.078,0.005,0,0,0,0,0,0,0
Angola,PV,Q2,d3,0,0,0,0,0,0.043,0.199,0.45,0.64,0.727,0.68,0.705,0.665,0.555,0.349,0.129,0.01,0,0,0,0,0,0,0
Angola,PV,Q2,d4,0,0,0,0,0,0.124,0.391,0.573,0.693,0.763,0.795,0.783,0.729,0.633,0.488,0.283,0.017,0,0,0,0,0,0,0
Angola,PV,Q3,d1,0,0,0,0,0,0.065,0.323,0.521,0.646,0.69,0.718,0.703,0.681,0.58,0.425,0.211,0.009,0,0,0,0,0,0,0
Angola,PV,Q3,d2,0,0,0,0,0,0.106,0.38,0.562,0.684,0.759,0.784,0.765,0.715,0.607,0.451,0.24,0.015,0,0,0,0,0,0,0
Angola,PV,Q3,d3,0,0,0,0,0,0.067,0.285,0.478,0.614,0.688,0.722,0.708,0.637,0.524,0.358,0.156,0.01,0,0,0,0,0,0,0
Angola,PV,Q3,d4,0,0,0,0,0,0.046,0.203,0.379,0.515,0.592,0.622,0.608,0.558,0.454,0.3,0.096,0.009,0,0,0,0,0,0,0
Angola,PV,Q4,d1,0,0,0,0,0,0.073,0.246,0.392,0.512,0.603,0.661,0.659,0.589,0.404,0.186,0.077,0.008,0,0,0,0,0,0,0
Angola,PV,Q4,d2,0,0,0,0,0,0.017,0.09,0.247,0.403,0.456,0.478,0.465,0.409,0.338,0.246,0.112,0.018,0,0,0,0,0,0,0
Angola,PV,Q4,d3,0,0,0,0,0,0.084,0.26,0.427,0.548,0.624,0.66,0.651,0.589,0.47,0.292,0.138,0.023,0,0,0,0,0,0,0
Angola,PV,Q4,d4,0,0,0,0,0.003,0.08,0.227,0.377,0.485,0.501,0.526,0.472,0.286,0.182,0.093,0.035,0.006,0,0,0,0,0,0,0
Angola,OnshoreWind,Q1,d1,0.042,0.056,0.067,0.065,0.055,0.029,0.007,0.006,0.003,0.005,0.059,0.171,0.301,0.335,0.267,0.132,0.06,0.035,0.043,0.078,0.123,0.139,0.09,0.037
Angola,OnshoreWind,Q1,d2,0.207,0.241,0.249,0.21,0.155,0.071,0.079,0.05,0.005,0.001,0.001,0.003,0.005,0.008,0.009,0.013,0.024,0.058,0.112,0.162,0.161,0.132,0.118,0.137
Angola,OnshoreWind,Q1,d3,0.2,0.179,0.174,0.168,0.155,0.107,0.082,0.176,0.255,0.302,0.352,0.362,0.298,0.236,0.179,0.114,0.077,0.067,0.075,0.088,0.1,0.139,0.225,0.311
Angola,OnshoreWind,Q1,d4,0.023,0.031,0.028,0.015,0.004,0,0,0.001,0.003,0.003,0.003,0.002,0.001,0,0,0,0,0,0,0,0,0,0.001,0.001
