paramNames,baseline,delayedHydro,delayedTransmission,EarlyCoalPhaseout_SA,HighRECapex,delHydro_CoalPhaseOut,delTrans_CoalPhaseOut
modeltype,MIP,MIP,MIP,MIP,MIP,MIP,MIP
cplexfile,cplex/cplex_baseline.opt,cplex/cplex_baseline.opt,cplex/cplex_baseline.opt,cplex/cplex_baseline.opt,cplex/cplex_baseline.opt,cplex/cplex_baseline.opt,cplex/cplex_baseline.opt
pSettings,pSettings.csv,pSettings.csv,pSettings.csv,pSettings.csv,pSettings.csv,pSettings.csv,pSettings.csv
y,y.csv,y.csv,y.csv,y.csv,y.csv,y.csv,y.csv
zcmap,zcmap.csv,zcmap.csv,zcmap.csv,zcmap.csv,zcmap.csv,zcmap.csv,zcmap.csv
pHours,pHours.csv,pHours.csv,pHours.csv,pHours.csv,pHours.csv,pHours.csv,pHours.csv
pDemandProfile,load/pDemandProfile.csv,load/pDemandProfile.csv,load/pDemandProfile.csv,load/pDemandProfile.csv,load/pDemandProfile.csv,load/pDemandProfile.csv,load/pDemandProfile.csv
pDemandData,load/pDemandData.csv,load/pDemandData.csv,load/pDemandData.csv,load/pDemandData.csv,load/pDemandData.csv,load/pDemandData.csv,load/pDemandData.csv
pDemandForecast,load/pDemandForecast_sapp_adapted.csv,load/pDemandForecast_sapp_adapted.csv,load/pDemandForecast_sapp_adapted.csv,load/pDemandForecast_sapp_adapted.csv,load/pDemandForecast_sapp_adapted.csv,load/pDemandForecast_sapp_adapted.csv,load/pDemandForecast_sapp_adapted.csv
sRelevant,load/sRelevant.csv,load/sRelevant.csv,load/sRelevant.csv,load/sRelevant.csv,load/sRelevant.csv,load/sRelevant.csv,load/sRelevant.csv
pEnergyEfficiencyFactor,load/pEnergyEfficiencyFactor.csv,load/pEnergyEfficiencyFactor.csv,load/pEnergyEfficiencyFactor.csv,load/pEnergyEfficiencyFactor.csv,load/pEnergyEfficiencyFactor.csv,load/pEnergyEfficiencyFactor.csv,load/pEnergyEfficiencyFactor.csv
