country,zone,attribute,resolution,year,baseline
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2026,123.3
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2029,62.5
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2030,1.8
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2031,23.9
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2032,495.1
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2033,227.3
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2034,178.5
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2035,245.5
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2040,20.0
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2045,36.9
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2050,22.6
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2026,976.6
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2027,1847.2
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2028,2316.7
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2029,1928.8
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2030,1784.5
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2031,1807.8
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2032,1097.5
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2033,1660.0
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2034,2494.6
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2035,2428.1
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2040,2889.0
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2045,2871.6
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2050,2275.8
Benin,Benin,Capacity: MW,Battery,2027,40.8
Benin,Benin,Capacity: MW,Battery,2028,95.0
Benin,Benin,Capacity: MW,Battery,2029,102.5
Benin,Benin,Capacity: MW,Battery,2030,102.5
Benin,Benin,Capacity: MW,Battery,2031,112.2
Benin,Benin,Capacity: MW,Battery,2032,125.6
Benin,Benin,Capacity: MW,Battery,2033,137.3
Benin,Benin,Capacity: MW,Battery,2034,137.3
Benin,Benin,Capacity: MW,Battery,2035,137.8
Benin,Benin,Capacity: MW,Battery,2040,288.8
Benin,Benin,Capacity: MW,Battery,2045,600.4
Benin,Benin,Capacity: MW,Battery,2050,1118.7
Benin,Benin,Capacity: MW,Diesel,2026,137.0
Benin,Benin,Capacity: MW,Diesel,2027,137.0
Benin,Benin,Capacity: MW,Diesel,2028,137.0
Benin,Benin,Capacity: MW,Diesel,2029,137.0
Benin,Benin,Capacity: MW,Diesel,2030,137.0
Benin,Benin,Capacity: MW,Diesel,2031,137.0
Benin,Benin,Capacity: MW,Diesel,2032,137.0
Benin,Benin,Capacity: MW,Diesel,2033,137.0
Benin,Benin,Capacity: MW,Diesel,2034,137.0
Benin,Benin,Capacity: MW,Diesel,2035,137.0
Benin,Benin,Capacity: MW,Diesel,2040,137.0
Benin,Benin,Capacity: MW,Diesel,2045,137.0
Benin,Benin,Capacity: MW,Gas,2027,42.0
Benin,Benin,Capacity: MW,Gas,2028,42.0
Benin,Benin,Capacity: MW,Gas,2029,42.0
Benin,Benin,Capacity: MW,Gas,2030,42.0
Benin,Benin,Capacity: MW,Gas,2031,42.0
Benin,Benin,Capacity: MW,Gas,2032,42.0
Benin,Benin,Capacity: MW,Gas,2033,42.0
Benin,Benin,Capacity: MW,Gas,2034,42.0
Benin,Benin,Capacity: MW,Gas,2035,42.0
Benin,Benin,Capacity: MW,Gas,2040,42.0
Benin,Benin,Capacity: MW,Gas,2045,42.0
Benin,Benin,Capacity: MW,Gas,2050,42.0
Benin,Benin,Capacity: MW,PV,2026,87.0
Benin,Benin,Capacity: MW,PV,2027,237.0
Benin,Benin,Capacity: MW,PV,2028,562.0
Benin,Benin,Capacity: MW,PV,2029,662.0
Benin,Benin,Capacity: MW,PV,2030,762.0
Benin,Benin,Capacity: MW,PV,2031,862.0
Benin,Benin,Capacity: MW,PV,2032,962.0
Benin,Benin,Capacity: MW,PV,2033,1062.0
Benin,Benin,Capacity: MW,PV,2034,1162.0
Benin,Benin,Capacity: MW,PV,2035,1262.0
Benin,Benin,Capacity: MW,PV,2040,1762.0
Benin,Benin,Capacity: MW,PV,2045,2262.0
Benin,Benin,Capacity: MW,PV,2050,2750.0
Benin,Benin,Capacity: MW,Reservoir,2030,189.9
Benin,Benin,Capacity: MW,Reservoir,2031,231.5
Benin,Benin,Capacity: MW,Reservoir,2032,259.0
Benin,Benin,Capacity: MW,Reservoir,2033,308.9
Benin,Benin,Capacity: MW,Reservoir,2034,463.0
Benin,Benin,Capacity: MW,Reservoir,2035,463.0
Benin,Benin,Capacity: MW,Reservoir,2040,463.0
Benin,Benin,Capacity: MW,Reservoir,2045,463.0
Benin,Benin,Capacity: MW,Reservoir,2050,707.9
Benin,Benin,Demand: GWh,,2026,2294.4
Benin,Benin,Demand: GWh,,2027,2454.9
Benin,Benin,Demand: GWh,,2028,2624.1
Benin,Benin,Demand: GWh,,2029,2814.9
Benin,Benin,Demand: GWh,,2030,3049.1
Benin,Benin,Demand: GWh,,2031,3226.9
Benin,Benin,Demand: GWh,,2032,3413.4
Benin,Benin,Demand: GWh,,2033,3578.3
Benin,Benin,Demand: GWh,,2034,3738.7
Benin,Benin,Demand: GWh,,2035,3907.9
Benin,Benin,Demand: GWh,,2040,4740.7
Benin,Benin,Demand: GWh,,2045,5635.7
Benin,Benin,Demand: GWh,,2050,6583.5
Benin,Benin,Emissions: MtCO2,,2026,0.7
Benin,Benin,Emissions: MtCO2,,2027,0.6
Benin,Benin,Emissions: MtCO2,,2028,0.8
Benin,Benin,Emissions: MtCO2,,2029,0.8
Benin,Benin,Emissions: MtCO2,,2030,0.2
Benin,Benin,Emissions: MtCO2,,2031,0.2
Benin,Benin,Emissions: MtCO2,,2032,0.2
Benin,Benin,Emissions: MtCO2,,2033,0.2
Benin,Benin,Emissions: MtCO2,,2034,0.4
Benin,Benin,Emissions: MtCO2,,2035,0.5
Benin,Benin,Emissions: MtCO2,,2040,0.6
Benin,Benin,Emissions: MtCO2,,2045,0.8
Benin,Benin,Emissions: MtCO2,,2050,0.1
Benin,Benin,Energy: GWh,Battery,2027,33.3
Benin,Benin,Energy: GWh,Battery,2028,135.7
Benin,Benin,Energy: GWh,Battery,2029,85.6
Benin,Benin,Energy: GWh,Battery,2030,118.5
Benin,Benin,Energy: GWh,Battery,2031,121.8
Benin,Benin,Energy: GWh,Battery,2032,60.8
Benin,Benin,Energy: GWh,Battery,2033,69.0
Benin,Benin,Energy: GWh,Battery,2034,118.0
Benin,Benin,Energy: GWh,Battery,2035,121.3
Benin,Benin,Energy: GWh,Battery,2040,470.7
Benin,Benin,Energy: GWh,Battery,2045,926.8
Benin,Benin,Energy: GWh,Battery,2050,1079.6
Benin,Benin,Energy: GWh,Diesel,2026,977.7
Benin,Benin,Energy: GWh,Diesel,2027,703.9
Benin,Benin,Energy: GWh,Diesel,2028,965.0
Benin,Benin,Energy: GWh,Diesel,2029,986.3
Benin,Benin,Energy: GWh,Diesel,2030,71.5
Benin,Benin,Energy: GWh,Diesel,2031,79.7
Benin,Benin,Energy: GWh,Diesel,2032,98.4
Benin,Benin,Energy: GWh,Diesel,2033,94.4
Benin,Benin,Energy: GWh,Diesel,2034,380.7
Benin,Benin,Energy: GWh,Diesel,2035,462.0
Benin,Benin,Energy: GWh,Diesel,2040,705.0
Benin,Benin,Energy: GWh,Diesel,2045,933.8
Benin,Benin,Energy: GWh,Gas,2027,312.5
Benin,Benin,Energy: GWh,Gas,2028,312.5
Benin,Benin,Energy: GWh,Gas,2029,312.5
Benin,Benin,Energy: GWh,Gas,2030,312.5
Benin,Benin,Energy: GWh,Gas,2031,312.5
Benin,Benin,Energy: GWh,Gas,2032,312.5
Benin,Benin,Energy: GWh,Gas,2033,312.5
Benin,Benin,Energy: GWh,Gas,2034,312.5
Benin,Benin,Energy: GWh,Gas,2035,312.5
Benin,Benin,Energy: GWh,Gas,2040,312.5
Benin,Benin,Energy: GWh,Gas,2045,312.5
Benin,Benin,Energy: GWh,Gas,2050,312.5
Benin,Benin,Energy: GWh,PV,2026,114.9
Benin,Benin,Energy: GWh,PV,2027,313.1
Benin,Benin,Energy: GWh,PV,2028,742.4
Benin,Benin,Energy: GWh,PV,2029,874.4
Benin,Benin,Energy: GWh,PV,2030,1006.5
Benin,Benin,Energy: GWh,PV,2031,1138.6
Benin,Benin,Energy: GWh,PV,2032,1270.7
Benin,Benin,Energy: GWh,PV,2033,1402.8
Benin,Benin,Energy: GWh,PV,2034,1534.9
Benin,Benin,Energy: GWh,PV,2035,1651.9
Benin,Benin,Energy: GWh,PV,2040,2327.5
Benin,Benin,Energy: GWh,PV,2045,2987.9
Benin,Benin,Energy: GWh,PV,2050,3632.5
Benin,Benin,Energy: GWh,Reservoir,2030,667.2
Benin,Benin,Energy: GWh,Reservoir,2031,813.3
Benin,Benin,Energy: GWh,Reservoir,2032,910.1
Benin,Benin,Energy: GWh,Reservoir,2033,1085.4
Benin,Benin,Energy: GWh,Reservoir,2034,1626.7
Benin,Benin,Energy: GWh,Reservoir,2035,1626.7
Benin,Benin,Energy: GWh,Reservoir,2040,1626.7
Benin,Benin,Energy: GWh,Reservoir,2045,1626.7
Benin,Benin,Energy: GWh,Reservoir,2050,2385.3
Benin,Benin,Export revenues with internal zones: $/MWh,,,-113.2
Benin,Benin,Exports exchange: GWh,,2026,1099.9
Benin,Benin,Exports exchange: GWh,,2027,1847.2
Benin,Benin,Exports exchange: GWh,,2028,2316.7
Benin,Benin,Exports exchange: GWh,,2029,1991.3
Benin,Benin,Exports exchange: GWh,,2030,1786.3
Benin,Benin,Exports exchange: GWh,,2031,1831.7
Benin,Benin,Exports exchange: GWh,,2032,1592.6
Benin,Benin,Exports exchange: GWh,,2033,1887.4
Benin,Benin,Exports exchange: GWh,,2034,2673.1
Benin,Benin,Exports exchange: GWh,,2035,2673.5
Benin,Benin,Exports exchange: GWh,,2040,2909.0
Benin,Benin,Exports exchange: GWh,,2045,2908.5
Benin,Benin,Exports exchange: GWh,,2050,2298.4
Benin,Benin,Fixed O&M: $/MWh,,,11.8
Benin,Benin,Fixed O&M: $m,,2026,6.4
