c,uni,y,value
Gambia,Annualized capex: $m,2030,15.372102154285967
Gambia,Fixed O&M: $m,2025,1.24455
Gambia,Fixed O&M: $m,2030,8.057255110033418
Gambia,Variable O&M: $m,2025,73.00361932088659
Gambia,Variable O&M: $m,2030,21.212694151575285
Gambia,Total fuel Costs: $m,2025,23.859885993220672
Gambia,Total fuel Costs: $m,2030,45.34827941236142
Gambia,Unmet demand costs: $m,2025,0.00020502071266292296
Gambia,Unmet demand costs: $m,2030,4.212307357204656e-05
Gambia,Excess generation: $m,2025,3.8131422057268844e-06
Gambia,Excess generation: $m,2030,2.5260381477204172e-06
Gambia,VRE curtailment: $m,2025,9.567985831841726e-08
Gambia,VRE curtailment: $m,2030,0.0018103783548262353
Gambia,Capex: $m,2025,1.0000000000000001e-11
Gambia,Capex: $m,2030,200.82186153341073
Gambia,Country Spinning Reserve violation: $m,2025,0.00013458534676765265
Gambia,Country Spinning Reserve violation: $m,2030,3.090092176599478e-05
Gambia,Total Annual Cost by Country: $m,2025,98.10839882898875
Gambia,Total Annual Cost by Country: $m,2030,89.99221675664444
