g,y,value
Kotu G5,2025,1.0
Kotu G5,2030,1.0
Kotu G6,2025,1.0
Kotu G6,2030,1.0
Kotu G7,2025,1.0
Kotu G7,2030,1.0
Kotu G8,2025,1.0
Kotu G8,2030,1.0
Brikama G1,2025,1.0
Brikama G1,2030,1.0
Brikama G3,2025,1.0
Brikama G3,2030,1.0
Brikama G4,2025,1.0
Brikama G4,2030,1.0
Brikama G6,2025,1.0
Brikama G6,2030,1.0
Brikama G7,2025,1.0
Brikama G7,2030,1.0
Brikama II,2025,1.0
Brikama II,2030,1.0
Brikama III G1,2025,1.0
Brikama III G1,2030,1.0
Brikama III G2,2025,1.0
Brikama III G2,2030,1.0
Karpower 1,2025,1.0
Karpower 1,2030,1.0
Karpower 2,2025,1.0
Karpower 2,2030,1.0
Farafenni,2025,1.0
Farafenni,2030,1.0
Basse,2025,1.0
Basse,2030,1.0
Jambur BESS,2025,1.0
Jambur BESS,2030,1.0
Import Guinea,2025,1.0
Import Guinea,2030,1.0
Import Senegal,2025,1.0
Import Senegal,2030,1.0
Import Senegal MV,2025,1.0
Import Senegal MV,2030,1.0
New ICE,2025,1.0
New ICE,2030,1.0
New CCGT,2025,1.0
New CCGT,2030,1.0
New BESS,2025,1.0
New BESS,2030,1.0
New CCGT Senegal,2025,1.0
New CCGT Senegal,2030,1.0
New CCGT Cote d'Ivoire,2025,1.0
New CCGT Cote d'Ivoire,2030,1.0
New OMVG Import,2025,1.0
New OMVG Import,2030,1.0
BESS Project,2025,1.0
BESS Project,2030,1.0
