z,g,y,value
Gambia,Brikama G1,2025,6.4
Gambia,Brikama G1,2030,6.4
Gambia,Brikama II,2025,8.9
Gambia,Brikama II,2030,8.9
Gambia,Brikama III G1,2025,9.4
Gambia,Brikama III G1,2030,9.4
Gambia,Brikama III G2,2025,9.4
Gambia,Brikama III G2,2030,9.4
Gambia,Karpower 1,2025,18.9
Gambia,Karpower 1,2030,18.9
Gambia,Karpower 2,2025,18.9
Gambia,Karpower 2,2030,18.9
Gambia,Farafenni,2025,4.8
Gambia,Farafenni,2030,4.8
Gambia,Basse,2025,5.4
Gambia,Basse,2030,5.4
Gambia,Jambur PV,2025,23.0
Gambia,Jambur PV,2030,23.0
Gambia,Jambur BESS,2025,2.0
Gambia,Jambur BESS,2030,2.0
Gambia,Import Guinea,2025,32.0
Gambia,Import Guinea,2030,32.0
Gambia,Import Senegal,2025,40.0
Gambia,Import Senegal,2030,40.0
Gambia,Import Senegal MV,2025,5.0
Gambia,Import Senegal MV,2030,5.0
Gambia,New ICE,2030,25.000065801008372
Gambia,New CCGT,2030,50.00006298956799
Gambia,New Solar,2030,100.00005664512071
Gambia,New BESS,2030,0.005000234749896833
Gambia,New OMVG Import,2030,10.0
Gambia,Solar Project,2030,50.0
Gambia,BESS Project,2030,10.0
