z,g,uni,y,value
Gambia,Brikama G1,Fixed Cost in MUSD,2025,0.11839999999999999
Gambia,Brikama G1,Fixed Cost in MUSD,2030,0.11839999999999999
Gambia,Brikama G1,Variable Cost in MUSD,2025,3.907701191128478
Gambia,Brikama G1,Variable Cost in MUSD,2030,2.8866150956056407
Gambia,Brikama G1,Capacity Factor,2025,0.5000051681978702
Gambia,Brikama G1,Capacity Factor,2030,0.3693533348142245
Gambia,Brikama II,Fixed Cost in MUSD,2025,0.16465
Gambia,Brikama II,Fixed Cost in MUSD,2030,0.16465
Gambia,Brikama II,Variable Cost in MUSD,2025,5.434131013768812
Gambia,Brikama II,Variable Cost in MUSD,2030,4.118830520344998
Gambia,Brikama II,Capacity Factor,2025,0.5000037001377331
Gambia,Brikama II,Capacity Factor,2030,0.3789806493797472
Gambia,Brikama III G1,Fixed Cost in MUSD,2025,0.1739
Gambia,Brikama III G1,Fixed Cost in MUSD,2030,0.1739
Gambia,Brikama III G1,Variable Cost in MUSD,2025,5.739416978289401
Gambia,Brikama III G1,Variable Cost in MUSD,2030,4.3684287284533845
Gambia,Brikama III G1,Capacity Factor,2025,0.5000035002310204
Gambia,Brikama III G1,Capacity Factor,2030,0.38056646920736825
Gambia,Brikama III G2,Fixed Cost in MUSD,2025,0.1739
Gambia,Brikama III G2,Fixed Cost in MUSD,2030,0.1739
Gambia,Brikama III G2,Variable Cost in MUSD,2025,5.739416978289427
Gambia,Brikama III G2,Variable Cost in MUSD,2030,4.368428728453345
Gambia,Brikama III G2,Capacity Factor,2025,0.5000035002310196
Gambia,Brikama III G2,Capacity Factor,2030,0.380566469207366
Gambia,Karpower 1,Variable Cost in MUSD,2025,2.6696223033332616
Gambia,Karpower 1,Variable Cost in MUSD,2030,9.101936980016646e-05
Gambia,Karpower 1,Capacity Factor,2025,0.08268929710761043
Gambia,Karpower 1,Capacity Factor,2030,2.819248139542489e-06
Gambia,Karpower 2,Variable Cost in MUSD,2025,2.6696223033332567
Gambia,Karpower 2,Variable Cost in MUSD,2030,9.101936980016646e-05
Gambia,Karpower 2,Capacity Factor,2025,0.08268929710761021
Gambia,Karpower 2,Capacity Factor,2030,2.819248139542489e-06
Gambia,Farafenni,Fixed Cost in MUSD,2025,0.08879999999999999
Gambia,Farafenni,Fixed Cost in MUSD,2030,0.08879999999999999
Gambia,Basse,Fixed Cost in MUSD,2025,0.09989999999999999
Gambia,Basse,Fixed Cost in MUSD,2030,0.09989999999999999
Gambia,Jambur PV,Fixed Cost in MUSD,2025,0.345
Gambia,Jambur PV,Fixed Cost in MUSD,2030,0.345
Gambia,Jambur PV,Capacity Factor,2025,0.22824610641223272
Gambia,Jambur PV,Capacity Factor,2030,0.22642628276102533
Gambia,Jambur BESS,Fixed Cost in MUSD,2025,0.08
Gambia,Jambur BESS,Fixed Cost in MUSD,2030,0.08
Gambia,Jambur BESS,Capacity Factor,2025,0.002532618600075477
Gambia,Jambur BESS,Capacity Factor,2030,0.16973096088641493
Gambia,Import Guinea,Variable Cost in MUSD,2025,22.424918075502724
Gambia,Import Guinea,Variable Cost in MUSD,2030,17.19866858983666
Gambia,Import Guinea,Capacity Factor,2025,0.7272506121414058
Gambia,Import Guinea,Capacity Factor,2030,0.5577608898219127
Gambia,Import Senegal,Variable Cost in MUSD,2025,48.27790111665799
Gambia,Import Senegal,Variable Cost in MUSD,2030,0.31886026029231246
Gambia,Import Senegal,Capacity Factor,2025,0.9185293210931897
Gambia,Import Senegal,Capacity Factor,2030,0.006066595515454965
Gambia,Import Senegal MV,Variable Cost in MUSD,2025,0.0007753538033574166
Gambia,Import Senegal MV,Variable Cost in MUSD,2030,7.288382488728326e-05
Gambia,Import Senegal MV,Capacity Factor,2025,8.046428013256723e-05
Gambia,Import Senegal MV,Capacity Factor,2030,7.563701212877039e-06
Gambia,New ICE,Annuity Cost in MUSD,2030,1.8507358914076464
Gambia,New ICE,Fixed Cost in MUSD,2030,0.46250121731865484
Gambia,New ICE,Variable Cost in MUSD,2030,12.800613162449295
Gambia,New ICE,Capacity Factor,2030,0.5000011511539636
Gambia,New CCGT,Annuity Cost in MUSD,2030,5.39055602352885
Gambia,New CCGT,Fixed Cost in MUSD,2030,1.8550023369129722
Gambia,New CCGT,Variable Cost in MUSD,2030,20.304314753446818
Gambia,New CCGT,Capacity Factor,2030,0.8032719563127728
Gambia,New Solar,Annuity Cost in MUSD,2030,4.814387872770465
Gambia,New Solar,Fixed Cost in MUSD,2030,2.7300015464117955
Gambia,New Solar,Capacity Factor,2030,0.22726027937673016
Gambia,New BESS,Annuity Cost in MUSD,2030,0.0005834018452786715
Gambia,New BESS,Fixed Cost in MUSD,2030,0.0002000093899958733
Gambia,New BESS,Capacity Factor,2030,0.293053677331709
Gambia,New OMVG Import,Variable Cost in MUSD,2030,0.19595880249017977
Gambia,New OMVG Import,Capacity Factor,2030,0.014913150874442886
Gambia,Solar Project,Annuity Cost in MUSD,2030,2.407192572828094
Gambia,Solar Project,Fixed Cost in MUSD,2030,1.365
Gambia,Solar Project,Capacity Factor,2030,0.2269237865726544
Gambia,BESS Project,Annuity Cost in MUSD,2030,0.908646391905634
Gambia,BESS Project,Fixed Cost in MUSD,2030,0.39999999999999997
Gambia,BESS Project,Capacity Factor,2030,0.16608443472987983
