z,g,y,q,value
Gambia,Brikama G1,2025,m1,2.3808251738749386
Gambia,Brikama G1,2025,m2,2.1504227129363294
Gambia,Brikama G1,2025,m3,2.380825175474312
Gambia,Brikama G1,2025,m4,2.304024356217052
Gambia,Brikama G1,2025,m5,2.3808240529670774
Gambia,Brikama G1,2025,m6,2.3040232690420273
Gambia,Brikama G1,2025,m7,2.3808240703102137
Gambia,Brikama G1,2025,m8,2.3808240624243058
Gambia,Brikama G1,2025,m9,2.3040232462458685
Gambia,Brikama G1,2025,m10,2.380824097177818
Gambia,Brikama G1,2025,m11,2.3040243578902557
Gambia,Brikama G1,2025,m12,2.380825175285348
Gambia,Brikama G1,2030,m1,1.8318970600841191
Gambia,Brikama G1,2030,m2,1.4422440076845024
Gambia,Brikama G1,2030,m3,1.7992546254001702
Gambia,Brikama G1,2030,m4,1.7861048661053833
Gambia,Brikama G1,2030,m5,1.2672418779222072
Gambia,Brikama G1,2030,m6,1.75084805849677
Gambia,Brikama G1,2030,m7,1.6249139868427531
Gambia,Brikama G1,2030,m8,1.4877637560038732
Gambia,Brikama G1,2030,m9,1.5531551435030393
Gambia,Brikama G1,2030,m10,1.8761128198547057
Gambia,Brikama G1,2030,m11,2.3040241854020715
Gambia,Brikama G1,2030,m12,1.9838649757251354
Gambia,Brikama II,2025,m1,3.3108250659556853
Gambia,Brikama II,2025,m2,2.990422615454672
Gambia,Brikama II,2025,m3,3.310825067575953
Gambia,Brikama II,2025,m4,3.204024251810259
Gambia,Brikama II,2025,m5,3.3108239448157564
Gambia,Brikama II,2025,m6,3.2040231642564407
Gambia,Brikama II,2025,m7,3.310823961989801
Gambia,Brikama II,2025,m8,3.3108239540297033
Gambia,Brikama II,2025,m9,3.204023141310412
Gambia,Brikama II,2025,m10,3.310823989433753
Gambia,Brikama II,2025,m11,3.2040242535202847
Gambia,Brikama II,2025,m12,3.3108250673854704
Gambia,Brikama II,2030,m1,2.6569324855473844
Gambia,Brikama II,2030,m2,2.0360530223417266
Gambia,Brikama II,2030,m3,2.61521196820426
Gambia,Brikama II,2030,m4,2.6053862410621598
Gambia,Brikama II,2030,m5,1.7565481324433663
Gambia,Brikama II,2030,m6,2.500813116965326
Gambia,Brikama II,2030,m7,2.2902419619125
Gambia,Brikama II,2030,m8,2.0849147567770143
Gambia,Brikama II,2030,m9,2.1889041433502276
Gambia,Brikama II,2030,m10,2.7052523389446588
Gambia,Brikama II,2030,m11,3.204024047740874
Gambia,Brikama II,2030,m12,2.9025651329530637
Gambia,Brikama III G1,2025,m1,3.4968250443708104
Gambia,Brikama III G1,2025,m2,3.1584225959573105
Gambia,Brikama III G1,2025,m3,3.496825045994667
Gambia,Brikama III G1,2025,m4,3.384024230926986
Gambia,Brikama III G1,2025,m5,3.4968239231603957
Gambia,Brikama III G1,2025,m6,3.3840231433127332
Gambia,Brikama III G1,2025,m7,3.496823940321427
Gambia,Brikama III G1,2025,m8,3.4968239323397503
Gambia,Brikama III G1,2025,m9,3.3840231203248314
Gambia,Brikama III G1,2025,m10,3.4968239678677255
Gambia,Brikama III G1,2025,m11,3.384024232642414
Gambia,Brikama III G1,2025,m12,3.4968250458040417
Gambia,Brikama III G1,2030,m1,2.8263911979331118
Gambia,Brikama III G1,2030,m2,2.155578371912861
Gambia,Brikama III G1,2030,m3,2.7824007006490237
Gambia,Brikama III G1,2030,m4,2.772960392799947
Gambia,Brikama III G1,2030,m5,1.854209792949345
Gambia,Brikama III G1,2030,m6,2.6522686786056706
Gambia,Brikama III G1,2030,m7,2.4239391470762137
Gambia,Brikama III G1,2030,m8,2.2048260761249034
Gambia,Brikama III G1,2030,m9,2.316592939189697
Gambia,Brikama III G1,2030,m10,2.8733765761227024
Gambia,Brikama III G1,2030,m11,3.3840240203380905
Gambia,Brikama III G1,2030,m12,3.0907974467100114
Gambia,Brikama III G2,2025,m1,3.496825044370796
Gambia,Brikama III G2,2025,m2,3.1584225959573256
Gambia,Brikama III G2,2025,m3,3.4968250459946857
Gambia,Brikama III G2,2025,m4,3.3840242309269857
Gambia,Brikama III G2,2025,m5,3.4968239231603984
Gambia,Brikama III G2,2025,m6,3.384023143312751
Gambia,Brikama III G2,2025,m7,3.4968239403214176
Gambia,Brikama III G2,2025,m8,3.496823932339771
Gambia,Brikama III G2,2025,m9,3.3840231203248163
Gambia,Brikama III G2,2025,m10,3.496823967867744
Gambia,Brikama III G2,2025,m11,3.384024232642417
Gambia,Brikama III G2,2025,m12,3.4968250458040573
Gambia,Brikama III G2,2030,m1,2.8263911979329994
Gambia,Brikama III G2,2030,m2,2.1555783719128425
Gambia,Brikama III G2,2030,m3,2.782400700649097
Gambia,Brikama III G2,2030,m4,2.7729603927998214
Gambia,Brikama III G2,2030,m5,1.8542097929492882
Gambia,Brikama III G2,2030,m6,2.6522686786057075
Gambia,Brikama III G2,2030,m7,2.423939147076334
Gambia,Brikama III G2,2030,m8,2.204826076124919
Gambia,Brikama III G2,2030,m9,2.3165929391897846
Gambia,Brikama III G2,2030,m10,2.8733765761226655
Gambia,Brikama III G2,2030,m11,3.384024020337954
Gambia,Brikama III G2,2030,m12,3.0907974467099666
Gambia,Karpower 1,2025,m1,1.3447089159303736
Gambia,Karpower 1,2025,m2,0.9035939469465697
Gambia,Karpower 1,2025,m3,2.1858677487076754
Gambia,Karpower 1,2025,m4,2.667036365707299
Gambia,Karpower 1,2025,m5,0.00025282575024228055
Gambia,Karpower 1,2025,m6,0.0008558984776644354
Gambia,Karpower 1,2025,m7,0.00025451704650415925
Gambia,Karpower 1,2025,m8,0.0012406093884382084
Gambia,Karpower 1,2025,m9,0.0011158950021070333
Gambia,Karpower 1,2025,m10,0.00025631969218405375
Gambia,Karpower 1,2025,m11,4.502937226215599
Gambia,Karpower 1,2025,m12,2.08225051745977
Gambia,Karpower 1,2030,m1,3.848558773162876e-05
Gambia,Karpower 1,2030,m2,3.423370357125546e-05
Gambia,Karpower 1,2030,m3,3.686120473962768e-05
Gambia,Karpower 1,2030,m4,3.453978028137946e-05
Gambia,Karpower 1,2030,m5,3.60910751266628e-05
Gambia,Karpower 1,2030,m6,3.9966570981964214e-05
Gambia,Karpower 1,2030,m7,4.150609114481318e-05
Gambia,Karpower 1,2030,m8,4.09659160611093e-05
Gambia,Karpower 1,2030,m9,3.645208937683383e-05
Gambia,Karpower 1,2030,m10,3.745730144100909e-05
Gambia,Karpower 1,2030,m11,5.1876909827675726e-05
Gambia,Karpower 1,2030,m12,3.832976869125268e-05
Gambia,Karpower 2,2025,m1,1.3447089159303725
Gambia,Karpower 2,2025,m2,0.9035939469465694
Gambia,Karpower 2,2025,m3,2.1858677487076483
Gambia,Karpower 2,2025,m4,2.6670363657073413
Gambia,Karpower 2,2025,m5,0.00025282575024228055
Gambia,Karpower 2,2025,m6,0.0008558984776644353
Gambia,Karpower 2,2025,m7,0.00025451704650415925
Gambia,Karpower 2,2025,m8,0.0012406093884382082
Gambia,Karpower 2,2025,m9,0.0011158950021070326
Gambia,Karpower 2,2025,m10,0.00025631969218405375
Gambia,Karpower 2,2025,m11,4.502937226215555
Gambia,Karpower 2,2025,m12,2.0822505174597707
Gambia,Karpower 2,2030,m1,3.848558773162877e-05
Gambia,Karpower 2,2030,m2,3.423370357125546e-05
Gambia,Karpower 2,2030,m3,3.686120473962768e-05
Gambia,Karpower 2,2030,m4,3.453978028137946e-05
Gambia,Karpower 2,2030,m5,3.60910751266628e-05
Gambia,Karpower 2,2030,m6,3.9966570981964214e-05
Gambia,Karpower 2,2030,m7,4.150609114481318e-05
Gambia,Karpower 2,2030,m8,4.09659160611093e-05
Gambia,Karpower 2,2030,m9,3.645208937683384e-05
Gambia,Karpower 2,2030,m10,3.745730144100909e-05
Gambia,Karpower 2,2030,m11,5.1876909827675726e-05
Gambia,Karpower 2,2030,m12,3.832976869125268e-05
Gambia,Jambur PV,2025,m1,3.620416931824406
Gambia,Jambur PV,2025,m2,3.470563405352177
Gambia,Jambur PV,2025,m3,4.393512841630624
Gambia,Jambur PV,2025,m4,4.610963990093837
Gambia,Jambur PV,2025,m5,4.4300220873703235
Gambia,Jambur PV,2025,m6,3.626313181403984
Gambia,Jambur PV,2025,m7,3.425696346049237
Gambia,Jambur PV,2025,m8,3.734261710951995
Gambia,Jambur PV,2025,m9,3.7383027402638747
Gambia,Jambur PV,2025,m10,4.004755073654842
Gambia,Jambur PV,2025,m11,3.4249805092641004
Gambia,Jambur PV,2025,m12,3.5072367020772837
Gambia,Jambur PV,2030,m1,3.586375593206744
Gambia,Jambur PV,2030,m2,3.4185072942199284
Gambia,Jambur PV,2030,m3,4.258173148014338
Gambia,Jambur PV,2030,m4,4.541647763243542
Gambia,Jambur PV,2030,m5,4.424669566530938
Gambia,Jambur PV,2030,m6,3.622114734707233
Gambia,Jambur PV,2030,m7,3.4257143407191877
Gambia,Jambur PV,2030,m8,3.734286782076939
Gambia,Jambur PV,2030,m9,3.674692932668003
Gambia,Jambur PV,2030,m10,4.004770040451165
Gambia,Jambur PV,2030,m11,3.4221700386132885
Gambia,Jambur PV,2030,m12,3.5072452162399594
Gambia,Jambur BESS,2025,m1,0.0022324432890979454
Gambia,Jambur BESS,2025,m2,0.005590586614783175
Gambia,Jambur BESS,2025,m3,0.0022324097644947517
Gambia,Jambur BESS,2025,m4,0.00216039925142062
Gambia,Jambur BESS,2025,m5,0.002900953894002893
Gambia,Jambur BESS,2025,m6,0.005862138640933284
Gambia,Jambur BESS,2025,m7,0.00289809749968211
Gambia,Jambur BESS,2025,m8,0.0068223622022074186
Gambia,Jambur BESS,2025,m9,0.006387437223658644
Gambia,Jambur BESS,2025,m10,0.002896131385374389
Gambia,Jambur BESS,2025,m11,0.0021575694586222368
Gambia,Jambur BESS,2025,m12,0.002230948649045069
Gambia,Jambur BESS,2030,m1,0.23395822363861607
Gambia,Jambur BESS,2030,m2,0.23217590760980575
Gambia,Jambur BESS,2030,m3,0.29434459241783584
Gambia,Jambur BESS,2030,m4,0.30339992812730227
Gambia,Jambur BESS,2030,m5,0.2586054078719929
Gambia,Jambur BESS,2030,m6,0.23680739685530472
Gambia,Jambur BESS,2030,m7,0.24678820483823
Gambia,Jambur BESS,2030,m8,0.24537758569211468
Gambia,Jambur BESS,2030,m9,0.24648460257696372
Gambia,Jambur BESS,2030,m10,0.25211975952552546
Gambia,Jambur BESS,2030,m11,0.1766706392646071
Gambia,Jambur BESS,2030,m12,0.24695418631168709
