z,g,y,value
Gambia,Brikama G1,2025,28.0322897498454
Gambia,Brikama G1,2030,20.707425363024683
Gambia,Brikama II,2025,38.98228847753822
Gambia,Brikama II,2030,29.546847348242608
Gambia,Brikama III G1,2025,41.17228822302315
Gambia,Brikama III G1,2030,31.337365340411534
Gambia,Brikama III G2,2025,41.17228822302308
Gambia,Brikama III G2,2030,31.337365340411342
Gambia,Karpower 1,2025,13.690370786324413
Gambia,Karpower 1,2030,0.0004667659989752126
Gambia,Karpower 2,2025,13.690370786324376
Gambia,Karpower 2,2030,0.0004667659989752126
Gambia,Jambur PV,2025,45.98702551993665
Gambia,Jambur PV,2030,45.62036745069138
Gambia,Jambur BESS,2025,0.044371477873322365
Gambia,Jambur BESS,2030,2.9736864347299896
Gambia,Import Guinea,2025,203.8628915954789
Gambia,Import Guinea,2030,156.3515326348786
Gambia,Import Senegal,2025,321.8526741110537
Gambia,Import Senegal,2030,2.12573506861542
Gambia,Import Senegal MV,2025,0.003524335469806445
Gambia,Import Senegal MV,2030,0.0003312901131240143
Gambia,New ICE,2030,109.50054031179825
Gambia,New CCGT,2030,351.8335601013152
Gambia,New Solar,2030,199.08011750312463
Gambia,New BESS,2030,0.01283635370537661
Gambia,New OMVG Import,2030,1.3063920166011966
Gambia,Solar Project,2030,99.39261851882264
Gambia,BESS Project,2030,14.548996482337472
