z,g,y,value
Gambia,Brikama G1,2025,0.5000051681978702
Gambia,Brikama G1,2030,0.3693533348142245
Gambia,Brikama II,2025,0.5000037001377331
Gambia,Brikama II,2030,0.3789806493797472
Gambia,Brikama III G1,2025,0.5000035002310204
Gambia,Brikama III G1,2030,0.38056646920736825
Gambia,Brikama III G2,2025,0.5000035002310196
Gambia,Brikama III G2,2030,0.380566469207366
Gambia,Karpower 1,2025,0.08268929710761043
Gambia,Karpower 1,2030,2.819248139542489e-06
Gambia,Karpower 2,2025,0.08268929710761021
Gambia,Karpower 2,2030,2.819248139542489e-06
Gambia,Jambur PV,2025,0.22824610641223272
Gambia,Jambur PV,2030,0.22642628276102533
Gambia,Jambur BESS,2025,0.002532618600075477
Gambia,Jambur BESS,2030,0.16973096088641493
Gambia,Import Guinea,2025,0.7272506121414058
Gambia,Import Guinea,2030,0.5577608898219127
Gambia,Import Senegal,2025,0.9185293210931897
Gambia,Import Senegal,2030,0.006066595515454965
Gambia,Import Senegal MV,2025,8.046428013256723e-05
Gambia,Import Senegal MV,2030,7.563701212877039e-06
Gambia,New ICE,2030,0.5000011511539636
Gambia,New CCGT,2030,0.8032719563127728
Gambia,New Solar,2030,0.22726027937673016
Gambia,New BESS,2030,0.293053677331709
Gambia,New OMVG Import,2030,0.014913150874442886
Gambia,Solar Project,2030,0.2269237865726544
Gambia,BESS Project,2030,0.16608443472987983
