country,zone,attribute,resolution,year,NoTransmission,TransmissionOptimal,baseline
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2026,2445.4,2445.4,2445.4
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2027,2127.8,2127.8,2127.8
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2028,2053.5,2053.5,2053.5
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2029,1505.4,1505.4,1505.4
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2030,2835.8,2835.8,2835.8
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2031,2888.3,2888.3,2888.3
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2032,2806.2,2806.2,2806.2
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2033,2104.9,2104.9,2104.9
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2034,2202.9,2202.9,2202.9
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2035,2309.0,2309.0,2309.0
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2040,2360.0,2360.0,2360.0
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2045,2476.2,2476.2,2476.2
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2050,2300.1,2300.1,2300.1
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2027,56.4,56.4,56.4
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2028,86.5,86.5,86.5
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2029,158.2,158.2,158.2
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2030,72.3,72.3,72.3
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2031,105.6,105.6,105.6
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2032,192.2,192.2,192.2
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2033,872.2,872.2,872.2
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2034,901.3,901.3,901.3
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2035,893.3,893.3,893.3
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2040,1272.2,1272.2,1272.2
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2045,1260.8,1260.8,1260.8
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2050,621.3,621.3,621.3
Benin,Benin,Capacity: MW,Battery,2027,15.6,15.6,15.6
Benin,Benin,Capacity: MW,Battery,2028,22.1,22.1,22.1
Benin,Benin,Capacity: MW,Battery,2029,36.6,36.6,36.6
Benin,Benin,Capacity: MW,Battery,2030,60.4,60.4,60.4
Benin,Benin,Capacity: MW,Battery,2031,120.0,120.0,120.0
Benin,Benin,Capacity: MW,Battery,2032,193.6,193.6,193.6
Benin,Benin,Capacity: MW,Battery,2033,258.1,258.1,258.1
Benin,Benin,Capacity: MW,Battery,2034,404.0,404.0,404.0
Benin,Benin,Capacity: MW,Battery,2035,404.0,404.0,404.0
