tech,fuel,Life,UnitSize,BuildLimitperYear,DescreteCap,HeatRate,Capex,FOMperMW,VOM,ReserveCost,MinGenShareAllHours,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,MinGenCommitment,HoursOn,HoursOff,minUT,minDT,StUpCost,InitialOn
ST,1.Uranium,30,,0,0,12.5,2,100000,2.5,0,,1,1,0,0.05,0,0,0,0,0,0,0
ST,2.Coal_Dom_Ex,30,,0,0,6.4,0.9,30000,2,0,,1,1,0,0.05,0.6,0,0,4,6,2000,0
ST,3.Coal_80In_20Au_Ex,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
ST,4.Coal_50In_50Au_Ex,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
ST,5.Coal_100In_Ex,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
ST,6.Coal_Dom,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
ST,7.Coal_80In_20Au,30,,0,0,9,0.8,20000,4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
ST,8.Coal_50In_50Au,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
ST,9.Coal_100In,30,,0,0,,3,70000,0,0,,,,,,0,0,0,0,0,0,0
ST_CCS,10.Coal_CCS,30,,0,0,,1.3,40000,0,0,,,,,,0,0,0,0,0,0,0
ST,11.Biomass,25,,0,0,,0.8,15000,0,0,,,,,,0,0,0,0,0,0,0
ST,12.Gas_Ex,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
CCGT,12.Gas_Ex,50,,0,0,,2.8,40000,0.5,0,,1,1,0,0.4,0,0,0,0,0,0,0
GT,12.Gas_Ex,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
ICE,12.Gas_Ex,30,,0,0,10.3,2,60000,3,0,,0.5,0.5,0,0,0.55,0,0,0,0,0,0
CCGT,13.Gas,20,,0,0,,0.3,40000,0,0,,1,1,0,,0,0,0,0,0,0,0
GT,13.Gas,25,,0,0,,2,80000,0,0,,,,,,0,0,0,0,0,0,0
ICE,13.Gas,30,,0,0,6.4,0.9,30000,2,0,,1,1,0,0.05,0.6,0,0,4,6,2000,0
ST,14.LNG_Ex,30,,0,0,9,0.8,20000,4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
CCGT,14.LNG_Ex,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
GT,14.LNG_Ex,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
ICE,14.LNG_Ex,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
CCGT,15.LNG,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
GT,15.LNG,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
ICE,15.LNG,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
CCGT_CCS,16.GasCCS,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
GT,17.HSD_Ex,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
CCGT,17.HSD_Ex,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
GT,18.HSD,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
ICE,19.HFO_Ex,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
ICE,20.HFO,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
GT,21.Hydrogen,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
STO_HY,22.Hydro,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
ROR,22.Hydro,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
WIND,23.Wind,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
PV,24.Solar,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
RPV,24.Solar,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
APV,24.Solar,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
FPV,24.Solar,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
INT,25.Import,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
