z,uni,y,value
Angola,Export revenues with internal zones: $m,2030,-32.5533239491513
Angola,Export revenues with internal zones: $m,2031,-60.958463548693445
Angola,Export revenues with internal zones: $m,2032,-86.94163670688543
Angola,Export revenues with internal zones: $m,2033,-161.7136559967988
Angola,Export revenues with internal zones: $m,2034,-269.146806762447
Angola,Export revenues with internal zones: $m,2035,-384.62174211290625
Angola,Export revenues with internal zones: $m,2036,-485.6391066458631
Angola,Export revenues with internal zones: $m,2037,-495.3388149786903
Angola,Export revenues with internal zones: $m,2038,-509.297316377175
Angola,Export revenues with internal zones: $m,2039,-540.7529206997249
Angola,Export revenues with internal zones: $m,2040,-574.9435233356814
Angola,Fixed O&M: $m,2025,185.573
Angola,Fixed O&M: $m,2026,365.81743133522457
Angola,Fixed O&M: $m,2027,535.8593476892099
Angola,Fixed O&M: $m,2028,698.8695727891534
Angola,Fixed O&M: $m,2029,859.3961582208925
Angola,Fixed O&M: $m,2030,1022.3627721868899
Angola,Fixed O&M: $m,2031,1181.5483705753252
Angola,Fixed O&M: $m,2032,1338.7568888112457
Angola,Fixed O&M: $m,2033,1499.8024136847696
Angola,Fixed O&M: $m,2034,1665.866676857317
Angola,Fixed O&M: $m,2035,1829.7552615649759
Angola,Fixed O&M: $m,2036,1988.3111827767757
Angola,Fixed O&M: $m,2037,2164.345686436583
Angola,Fixed O&M: $m,2038,2333.9261623403568
Angola,Fixed O&M: $m,2039,2505.67892818041
Angola,Fixed O&M: $m,2040,2672.647955585942
Angola,Fuel costs: $m,2027,11.872861723086034
Angola,Fuel costs: $m,2028,54.970489972992034
Angola,Fuel costs: $m,2029,92.786734563659
Angola,Fuel costs: $m,2030,97.09871917425805
Angola,Fuel costs: $m,2031,101.1806683697693
Angola,Fuel costs: $m,2032,104.51499769717991
Angola,Fuel costs: $m,2033,107.66059140228427
Angola,Fuel costs: $m,2034,109.93594547122616
Angola,Fuel costs: $m,2035,112.08709050574903
Angola,Fuel costs: $m,2036,114.13697657323934
Angola,Fuel costs: $m,2037,119.98116266593752
Angola,Fuel costs: $m,2038,124.2313473894218
Angola,Fuel costs: $m,2039,126.46131970084367
Angola,Fuel costs: $m,2040,128.57623442880447
Angola,Generation costs: $m,2028,7.941572233009525
Angola,Generation costs: $m,2029,39.17866900002045
Angola,Generation costs: $m,2030,124.85139024240057
Angola,Generation costs: $m,2031,219.70999983939544
Angola,Generation costs: $m,2032,325.33693422031115
Angola,Generation costs: $m,2033,492.4851410743045
Angola,Generation costs: $m,2034,728.8146798886114
Angola,Generation costs: $m,2035,982.2033652348618
Angola,Generation costs: $m,2036,1229.3209478737376
Angola,Generation costs: $m,2037,1632.1922214816714
Angola,Generation costs: $m,2038,2019.1942566233568
Angola,Generation costs: $m,2039,2447.7188162416132
Angola,Generation costs: $m,2040,2870.159957062611
Angola,Import costs with internal zones: $m,2030,8.049850298809211
Angola,Import costs with internal zones: $m,2031,19.52690601684163
Angola,Import costs with internal zones: $m,2032,35.250493658913584
Angola,Import costs with internal zones: $m,2033,53.01518480160013
Angola,Import costs with internal zones: $m,2034,57.67236236810821
Angola,Import costs with internal zones: $m,2035,63.894990247969446
Angola,Import costs with internal zones: $m,2036,72.03860769993125
Angola,Import costs with internal zones: $m,2037,157.6953410320573
Angola,Import costs with internal zones: $m,2038,266.586333400132
Angola,Import costs with internal zones: $m,2039,339.8750345283524
Angola,Import costs with internal zones: $m,2040,418.73866152633224
Angola,Trade shared benefits: $m,2030,-1.506869855318855
Angola,Trade shared benefits: $m,2031,-3.033332610436685
Angola,Trade shared benefits: $m,2032,-5.761508538399357
Angola,Trade shared benefits: $m,2033,-13.08130893384541
Angola,Trade shared benefits: $m,2034,-27.24653176629038
Angola,Trade shared benefits: $m,2035,-39.88910221073418
Angola,Trade shared benefits: $m,2036,-51.080354051232945
Angola,Trade shared benefits: $m,2037,-59.30075752436205
Angola,Trade shared benefits: $m,2038,-75.75072643186861
Angola,Trade shared benefits: $m,2039,-88.16774490258597
Angola,Trade shared benefits: $m,2040,-102.39976914153458
Angola,Transmission costs: $m,2030,21.00552803088039
Angola,Transmission costs: $m,2031,40.82206390906944
Angola,Transmission costs: $m,2032,59.516909077172315
Angola,Transmission costs: $m,2033,83.21431800885838
Angola,Transmission costs: $m,2034,105.57036417082637
Angola,Transmission costs: $m,2035,127.62211206075064
Angola,Transmission costs: $m,2036,148.4256478059622
Angola,Transmission costs: $m,2037,168.05162492408633
Angola,Transmission costs: $m,2038,186.99924935131625
Angola,Transmission costs: $m,2039,206.95746395047624
Angola,Transmission costs: $m,2040,225.88275840931158
Angola,Unmet system planning reserve costs: $m,2034,1.993339654601608
Angola,Unmet system planning reserve costs: $m,2035,2.487058119411056
Angola,Variable O&M: $m,2025,9.280096930500005
Angola,Variable O&M: $m,2026,18.86316207113855
Angola,Variable O&M: $m,2027,30.371093088630538
Angola,Variable O&M: $m,2028,42.51274058614486
Angola,Variable O&M: $m,2029,53.987228238957805
Angola,Variable O&M: $m,2030,64.49657779772271
Angola,Variable O&M: $m,2031,74.41148011070119
Angola,Variable O&M: $m,2032,83.74964904134109
Angola,Variable O&M: $m,2033,93.28539116238771
Angola,Variable O&M: $m,2034,103.09441408599317
Angola,Variable O&M: $m,2035,112.62357151891214
Angola,Variable O&M: $m,2036,121.61522379727504
Angola,Variable O&M: $m,2037,132.30438822696715
Angola,Variable O&M: $m,2038,142.35077305955744
Angola,Variable O&M: $m,2039,152.45158476190832
Angola,Variable O&M: $m,2040,162.12631005463402
Botswana,Export revenues with internal zones: $m,2025,-18.46538167654655
Botswana,Export revenues with internal zones: $m,2026,-35.2422331672615
Botswana,Export revenues with internal zones: $m,2027,-81.31439556066869
Botswana,Export revenues with internal zones: $m,2028,-154.6552869777785
Botswana,Export revenues with internal zones: $m,2029,-235.1879023492059
Botswana,Export revenues with internal zones: $m,2030,-405.4717463445539
Botswana,Export revenues with internal zones: $m,2031,-567.5629300678435
Botswana,Export revenues with internal zones: $m,2032,-732.8561012392526
Botswana,Export revenues with internal zones: $m,2033,-922.9206219339358
Botswana,Export revenues with internal zones: $m,2034,-1152.810617202757
Botswana,Export revenues with internal zones: $m,2035,-1394.1555556205049
Botswana,Export revenues with internal zones: $m,2036,-1625.930751394298
Botswana,Export revenues with internal zones: $m,2037,-1848.5176460390821
Botswana,Export revenues with internal zones: $m,2038,-2056.569376054632
Botswana,Export revenues with internal zones: $m,2039,-2254.306944074996
Botswana,Export revenues with internal zones: $m,2040,-2466.4355751887892
Botswana,Fixed O&M: $m,2025,29.924
Botswana,Fixed O&M: $m,2026,63.44987411098568
Botswana,Fixed O&M: $m,2027,102.8685028965962
Botswana,Fixed O&M: $m,2028,145.53388894063593
Botswana,Fixed O&M: $m,2029,188.46666562384297
Botswana,Fixed O&M: $m,2030,236.0804614380845
Botswana,Fixed O&M: $m,2031,288.12258471048926
Botswana,Fixed O&M: $m,2032,344.05652342990277
Botswana,Fixed O&M: $m,2033,403.2749524195359
Botswana,Fixed O&M: $m,2034,465.2268309693835
Botswana,Fixed O&M: $m,2035,529.4129768718789
Botswana,Fixed O&M: $m,2036,595.3819611754055
Botswana,Fixed O&M: $m,2037,662.7263015287174
