z,fuel,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Benin,Gas,2,7.34568,12.6914,18.0371,23.3827,28.7284,30.1202,31.5121,32.9039,34.2957,35.6875,35.6875,35.6875,35.6875,35.6875,35.6875,35.6875,35.6875,35.6875,35.6875,35.6875,35.6875,35.6875,35.6875,35.6875,35.6875
Benin,LNG,1.00E-09,1.00E-09,1.00E-09,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Ghana,Gas,181.421,188.421,192.421,194.421,200.421,205.421,210.421,215.421,218.421,206.421,193.421,178.421,168.421,160.421,153.421,149.421,149.421,149.421,149.421,149.421,149.421,149.421,149.421,149.421,149.421,149.421
Ghana,LNG,1.00E-07,1.00E-07,48.1052,48.6052,50.1052,51.3552,52.6052,53.8552,54.6052,51.6052,48.3552,44.6052,42.1052,40.1052,38.3552,37.3552,37.3552,37.3552,37.3552,37.3552,37.3552,37.3552,37.3552,37.3552,37.3552,37.3552
Guinea,LNG,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
GuineaBissau,LNG,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
IvoryCoast,Gas,144.038,161.996,172.472,216.618,209.136,209.136,209.136,209.136,209.136,236.821,236.821,253.283,253.283,280.968,297.429,297.429,297.429,297.429,297.429,297.429,297.429,297.429,297.429,297.429,297.429,297.429
Liberia,LNG,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Senegal,Gas,51.85,62.22,72.59,82.96,93.33,103.7,103.7,103.7,103.7,103.7,103.7,103.7,103.7,103.7,103.7,103.7,103.7,103.7,103.7,103.7,103.7,103.7,103.7,103.7,103.7,103.7
Senegal,LNG,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
SierraLeone,LNG,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Togo,Gas,2,5.396,8.792,12.188,15.584,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98
Togo,LNG,1.00E-09,1.00E-09,1.00E-09,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mauritania,Gas,25,25,35,36,37,38,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
