pSettingsHeader,value
CO2backstop,300.0
CostSurplus,100.0
DR,0.1
H2UnservedCost,3000.0
InitialSOCforBattery,0.5
ReserveVoLL,100000.0
SpinReserveVoLL,1000.0
VoLL,500.0
WACC,0.1
fApplyContractedTrade,1.0
fApplyFuelConstraint,1.0
fApplyHistoricalTradeLimit,1.0
fApplyPlanningReserveConstraint,1.0
fApplyZonalFuelLimit,1.0
fApplyZonalPlanningReserve,1.0
fCountIntercoForReserves,1.0
fEnableCapacityExpansion,1.0
fEnableEconomicRetirement,1.0
fEnableInternalExchange,1.0
sContractedTradeFirstYear,2022.0
sHistoricalTradeLastYear,2021.0
sMaxCapitalInvestment,200.0
