From,To,EarliestEntry,MaximumNumOfLines,CapacityPerLine,CostPerLine,Life,Status
Angola,Namibia,2030,1,625,452.647843,30,2
Botswana,Zimbabwe,2030,2,549,305.731,30,3
DRC,Angola,2033,2,375,246.8064,30,3
DRC,South_Africa,2035,1,3000,2100,30,3
DRC,DRC_South,2030,2,300,885.2,30,3
DRC_South,Zambia,2030,2,826,761.5,30,3
Eswatini,South_Africa,2030,2,0,45,30,3
Lesotho,South_Africa,2030,2,0,17,30,3
Malawi,Zambia,2028,1,800,191.7,30,2
Malawi,Mozambique,2026,2,300,167.52,30,2
Mozal,Mozambique,2030,2,1000,500,30,3
Mozambique,Zambia,2031,2,300,136.2,30,3
Mozambique,South_Africa,2030,2,0,206,30,3
Mozambique,Zimbabwe,2031,3,275,107.184,30,3
Mozambique,Eswatini,2030,2,0,182.9484902,30,3
Namibia,Botswana,2032,2,300,344.52,30,3
Namibia,South_Africa,2026,1,925,142.6,30,2
South_Africa,Zimbabwe,2030,2,0,150.394,30,3
South_Africa,Botswana,2030,2,300,128.515,30,3
Tanzania,Mozambique,2032,2,200,150.02,30,3
Tanzania,Malawi,2030,2,200,63,30,3
Zambia,Angola,2035,1,1920,1284,30,3
Zambia,Botswana,2030,2,0,131.731,30,3
Zambia,Namibia,2030,2,400,340,30,3
Zambia,Zimbabwe,2030,2,410,68.352,30,3
Zambia,Tanzania,2030,2,250,400,30,3
