country,zone,attribute,resolution,year,baseline
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2025,399.5
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2026,103.2
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2029,11.1
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2030,2.9
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2032,586.0
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2035,213.0
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2040,21.0
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2045,64.6
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2025,331.9
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2026,967.6
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2027,1865.7
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2028,2323.8
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2029,2034.3
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2030,1761.5
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2032,911.7
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2035,2512.0
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2040,2871.2
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2045,2826.8
Benin,Benin,Capacity: MW,Battery,2027,40.8
Benin,Benin,Capacity: MW,Battery,2028,103.3
Benin,Benin,Capacity: MW,Battery,2029,103.3
Benin,Benin,Capacity: MW,Battery,2030,103.3
Benin,Benin,Capacity: MW,Battery,2032,127.8
Benin,Benin,Capacity: MW,Battery,2035,153.4
Benin,Benin,Capacity: MW,Battery,2040,291.3
Benin,Benin,Capacity: MW,Battery,2045,603.3
Benin,Benin,Capacity: MW,Diesel,2025,137.0
Benin,Benin,Capacity: MW,Diesel,2026,137.0
Benin,Benin,Capacity: MW,Diesel,2027,137.0
Benin,Benin,Capacity: MW,Diesel,2028,137.0
Benin,Benin,Capacity: MW,Diesel,2029,137.0
Benin,Benin,Capacity: MW,Diesel,2030,137.0
Benin,Benin,Capacity: MW,Diesel,2032,137.0
Benin,Benin,Capacity: MW,Diesel,2035,137.0
Benin,Benin,Capacity: MW,Diesel,2040,137.0
Benin,Benin,Capacity: MW,Diesel,2045,137.0
Benin,Benin,Capacity: MW,Gas,2027,42.0
Benin,Benin,Capacity: MW,Gas,2028,42.0
Benin,Benin,Capacity: MW,Gas,2029,42.0
Benin,Benin,Capacity: MW,Gas,2030,42.0
Benin,Benin,Capacity: MW,Gas,2032,42.0
Benin,Benin,Capacity: MW,Gas,2035,42.0
Benin,Benin,Capacity: MW,Gas,2040,42.0
Benin,Benin,Capacity: MW,Gas,2045,42.0
Benin,Benin,Capacity: MW,PV,2025,37.0
Benin,Benin,Capacity: MW,PV,2026,87.0
Benin,Benin,Capacity: MW,PV,2027,237.0
Benin,Benin,Capacity: MW,PV,2028,562.0
Benin,Benin,Capacity: MW,PV,2029,662.0
Benin,Benin,Capacity: MW,PV,2030,762.0
Benin,Benin,Capacity: MW,PV,2032,962.0
Benin,Benin,Capacity: MW,PV,2035,1262.0
Benin,Benin,Capacity: MW,PV,2040,1762.0
Benin,Benin,Capacity: MW,PV,2045,2262.0
Benin,Benin,Capacity: MW,Reservoir,2030,182.3
Benin,Benin,Capacity: MW,Reservoir,2032,243.0
Benin,Benin,Capacity: MW,Reservoir,2035,463.0
Benin,Benin,Capacity: MW,Reservoir,2040,463.0
Benin,Benin,Capacity: MW,Reservoir,2045,463.0
Benin,Benin,Demand: GWh,,2025,2138.3
Benin,Benin,Demand: GWh,,2026,2294.4
Benin,Benin,Demand: GWh,,2027,2454.9
Benin,Benin,Demand: GWh,,2028,2624.1
Benin,Benin,Demand: GWh,,2029,2814.9
Benin,Benin,Demand: GWh,,2030,3049.1
Benin,Benin,Demand: GWh,,2032,3413.4
Benin,Benin,Demand: GWh,,2035,3907.9
Benin,Benin,Demand: GWh,,2040,4740.7
Benin,Benin,Demand: GWh,,2045,5635.7
Benin,Benin,Emissions: MtCO2,,2025,0.8
Benin,Benin,Emissions: MtCO2,,2026,0.7
Benin,Benin,Emissions: MtCO2,,2027,0.7
Benin,Benin,Emissions: MtCO2,,2028,0.8
Benin,Benin,Emissions: MtCO2,,2029,0.8
Benin,Benin,Emissions: MtCO2,,2030,0.2
Benin,Benin,Emissions: MtCO2,,2032,0.2
Benin,Benin,Emissions: MtCO2,,2035,0.5
Benin,Benin,Emissions: MtCO2,,2040,0.6
Benin,Benin,Emissions: MtCO2,,2045,0.9
Benin,Benin,Energy: GWh,Battery,2027,34.6
Benin,Benin,Energy: GWh,Battery,2028,153.4
Benin,Benin,Energy: GWh,Battery,2029,113.6
Benin,Benin,Energy: GWh,Battery,2030,134.9
Benin,Benin,Energy: GWh,Battery,2032,71.9
Benin,Benin,Energy: GWh,Battery,2035,135.9
Benin,Benin,Energy: GWh,Battery,2040,470.9
Benin,Benin,Energy: GWh,Battery,2045,988.8
Benin,Benin,Energy: GWh,Diesel,2025,1019.0
Benin,Benin,Energy: GWh,Diesel,2026,977.7
Benin,Benin,Energy: GWh,Diesel,2027,721.4
Benin,Benin,Energy: GWh,Diesel,2028,974.1
Benin,Benin,Energy: GWh,Diesel,2029,895.2
Benin,Benin,Energy: GWh,Diesel,2030,77.3
Benin,Benin,Energy: GWh,Diesel,2032,106.5
Benin,Benin,Energy: GWh,Diesel,2035,462.1
Benin,Benin,Energy: GWh,Diesel,2040,705.1
Benin,Benin,Energy: GWh,Diesel,2045,1016.4
Benin,Benin,Energy: GWh,Gas,2027,312.5
Benin,Benin,Energy: GWh,Gas,2028,312.5
Benin,Benin,Energy: GWh,Gas,2029,312.5
Benin,Benin,Energy: GWh,Gas,2030,312.5
Benin,Benin,Energy: GWh,Gas,2032,312.5
Benin,Benin,Energy: GWh,Gas,2035,312.5
Benin,Benin,Energy: GWh,Gas,2040,312.5
Benin,Benin,Energy: GWh,Gas,2045,312.5
Benin,Benin,Energy: GWh,PV,2025,48.9
Benin,Benin,Energy: GWh,PV,2026,114.9
Benin,Benin,Energy: GWh,PV,2027,313.1
Benin,Benin,Energy: GWh,PV,2028,742.4
Benin,Benin,Energy: GWh,PV,2029,874.4
Benin,Benin,Energy: GWh,PV,2030,1006.5
Benin,Benin,Energy: GWh,PV,2032,1270.7
Benin,Benin,Energy: GWh,PV,2035,1667.0
Benin,Benin,Energy: GWh,PV,2040,2327.5
Benin,Benin,Energy: GWh,PV,2045,2987.9
Benin,Benin,Energy: GWh,Reservoir,2030,640.5
Benin,Benin,Energy: GWh,Reservoir,2032,853.9
Benin,Benin,Energy: GWh,Reservoir,2035,1626.7
Benin,Benin,Energy: GWh,Reservoir,2040,1626.7
Benin,Benin,Energy: GWh,Reservoir,2045,1626.7
Benin,Benin,Export revenues with internal zones: $/MWh,,,-84.9
Benin,Benin,Exports exchange: GWh,,2025,731.4
Benin,Benin,Exports exchange: GWh,,2026,1070.9
Benin,Benin,Exports exchange: GWh,,2027,1865.7
Benin,Benin,Exports exchange: GWh,,2028,2323.8
Benin,Benin,Exports exchange: GWh,,2029,2045.4
Benin,Benin,Exports exchange: GWh,,2030,1764.4
Benin,Benin,Exports exchange: GWh,,2032,1497.7
Benin,Benin,Exports exchange: GWh,,2035,2725.0
Benin,Benin,Exports exchange: GWh,,2040,2892.2
Benin,Benin,Exports exchange: GWh,,2045,2891.4
Benin,Benin,Fixed O&M: $/MWh,,,10.9
Benin,Benin,Fixed O&M: $m,,2025,5.6
Benin,Benin,Fixed O&M: $m,,2026,6.4
Benin,Benin,Fixed O&M: $m,,2027,10.8
Benin,Benin,Fixed O&M: $m,,2028,17.2
Benin,Benin,Fixed O&M: $m,,2029,18.9
Benin,Benin,Fixed O&M: $m,,2030,29.7
Benin,Benin,Fixed O&M: $m,,2032,36.5
Benin,Benin,Fixed O&M: $m,,2035,52.9
Benin,Benin,Fixed O&M: $m,,2040,63.3
Benin,Benin,Fixed O&M: $m,,2045,76.2
Benin,Benin,Fuel costs: $/MWh,,,23.2
Benin,Benin,Fuel costs: $m,,2025,110.1
Benin,Benin,Fuel costs: $m,,2026,105.6
Benin,Benin,Fuel costs: $m,,2027,90.9
Benin,Benin,Fuel costs: $m,,2028,118.2
Benin,Benin,Fuel costs: $m,,2029,109.7
Benin,Benin,Fuel costs: $m,,2030,21.3
Benin,Benin,Fuel costs: $m,,2032,24.5
Benin,Benin,Fuel costs: $m,,2035,62.9
Benin,Benin,Fuel costs: $m,,2040,89.2
Benin,Benin,Fuel costs: $m,,2045,122.8
Benin,Benin,Generation: GWh,,2025,1067.9
Benin,Benin,Generation: GWh,,2026,1092.6
Benin,Benin,Generation: GWh,,2027,1381.6
Benin,Benin,Generation: GWh,,2028,2182.3
Benin,Benin,Generation: GWh,,2029,2195.8
Benin,Benin,Generation: GWh,,2030,2171.7
Benin,Benin,Generation: GWh,,2032,2615.4
Benin,Benin,Generation: GWh,,2035,4204.2
Benin,Benin,Generation: GWh,,2040,5442.7
Benin,Benin,Generation: GWh,,2045,6932.3
Benin,Benin,Import costs with internal zones: $/MWh,,,117.8
Benin,Benin,Import costs with internal zones: $m,,2025,1164.3
Benin,Benin,Import costs with internal zones: $m,,2026,534.9
Benin,Benin,Import costs with internal zones: $m,,2027,422.2
Benin,Benin,Import costs with internal zones: $m,,2028,510.4
Benin,Benin,Import costs with internal zones: $m,,2029,526.0
Benin,Benin,Import costs with internal zones: $m,,2030,276.8
Benin,Benin,Import costs with internal zones: $m,,2032,212.2
Benin,Benin,Import costs with internal zones: $m,,2035,284.4
Benin,Benin,Import costs with internal zones: $m,,2040,329.9
Benin,Benin,Import costs with internal zones: $m,,2045,432.3
Benin,Benin,Imports exchange: GWh,,2025,1606.5
Benin,Benin,Imports exchange: GWh,,2026,2262.0
Benin,Benin,Imports exchange: GWh,,2027,2978.4
Benin,Benin,Imports exchange: GWh,,2028,2948.4
Benin,Benin,Imports exchange: GWh,,2029,2800.6
Benin,Benin,Imports exchange: GWh,,2030,2810.5
Benin,Benin,Imports exchange: GWh,,2032,2395.2
Benin,Benin,Imports exchange: GWh,,2035,2599.6
Benin,Benin,Imports exchange: GWh,,2040,2766.5
Benin,Benin,Imports exchange: GWh,,2045,2793.6
Benin,Benin,Investment costs: $/MWh,,,51.7
