,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045
South_Africa,3500,1500,6000,3000,4000,2500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
Lesotho,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Eswatini,30,30,90,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mozambique,200,200,400,500,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Zimbabwe,100,200,80,520,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Botswana,100,100,150,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Namibia,60,100,200,80,80,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
Zambia,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Angola,60,60,40,130,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Tanzania,100,200,100,100,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
DRC,100,100,100,200,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
Malawi,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
