country,zone,attribute,resolution,year,NoTransmission,TransmissionOptimal,baseline
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2026,2919.7,2919.7,2919.7
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2027,2618.0,2618.0,2618.0
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2028,2460.7,2460.7,2460.7
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2029,1725.3,1725.3,1725.3
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2030,1049.5,1049.5,1049.5
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2031,775.6,775.6,775.6
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2032,628.5,628.5,628.5
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2033,555.8,555.8,555.8
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2034,1.7,1.7,1.7
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2027,104.7,104.7,104.7
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2028,118.3,118.3,118.3
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2029,181.6,181.6,181.6
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2030,756.7,756.7,756.7
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2031,796.9,796.9,796.9
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2032,848.9,848.9,848.9
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2033,890.2,890.2,890.2
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2034,1890.9,1890.9,1890.9
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2035,2564.7,2564.7,2564.7
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2040,2456.4,2456.4,2456.4
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2045,2290.3,2290.3,2290.3
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2050,257.1,257.1,257.1
Benin,Benin,Capacity: MW,Battery,2027,9.0,9.0,9.0
Benin,Benin,Capacity: MW,Battery,2028,13.0,13.0,13.0
Benin,Benin,Capacity: MW,Battery,2029,17.0,17.0,17.0
Benin,Benin,Capacity: MW,Battery,2030,21.0,21.0,21.0
Benin,Benin,Capacity: MW,Battery,2031,25.0,25.0,25.0
Benin,Benin,Capacity: MW,Battery,2032,29.0,29.0,29.0
Benin,Benin,Capacity: MW,Battery,2033,33.0,33.0,33.0
Benin,Benin,Capacity: MW,Battery,2034,37.0,37.0,37.0
Benin,Benin,Capacity: MW,Battery,2035,41.0,41.0,41.0
Benin,Benin,Capacity: MW,Battery,2040,61.0,61.0,61.0
