z,z2,y,value
South_Africa,Botswana,2033,300.0
South_Africa,Botswana,2034,300.0
South_Africa,DRC,2035,1500.0
Mozambique,Zambia,2031,600.0
Mozambique,Tanzania,2032,400.0
Mozambique,Malawi,2026,600.0
Zimbabwe,Zambia,2030,820.0
Botswana,South_Africa,2033,300.0
Botswana,South_Africa,2034,300.0
Namibia,Zambia,2033,155.0
Namibia,Zambia,2034,155.0
Namibia,Angola,2030,626.0
Zambia,Mozambique,2031,600.0
Zambia,Zimbabwe,2030,820.0
Zambia,Namibia,2033,155.0
Zambia,Namibia,2034,155.0
Zambia,Tanzania,2035,250.0
Zambia,Malawi,2030,800.0
Zambia,DRC_South,2030,429.90000000000003
Angola,Namibia,2030,626.0
Angola,DRC,2033,400.0
Tanzania,Mozambique,2032,400.0
Tanzania,Zambia,2035,250.0
Tanzania,Malawi,2030,400.0
DRC,South_Africa,2035,1500.0
DRC,Angola,2033,400.0
DRC,DRC_South,2030,300.0
Malawi,Mozambique,2026,600.0
Malawi,Zambia,2030,800.0
Malawi,Tanzania,2030,400.0
DRC_South,Zambia,2030,429.90000000000003
DRC_South,DRC,2030,300.0
