z,sumhdr,y,value
South_Africa,Generation costs: $m,2025,1.057160475705706
South_Africa,Generation costs: $m,2026,2.9620495868461707
South_Africa,Generation costs: $m,2027,5.111711531606902
South_Africa,Generation costs: $m,2028,7.282773513058501
South_Africa,Generation costs: $m,2029,8.84459225287912
South_Africa,Generation costs: $m,2030,10.011505055457203
South_Africa,Generation costs: $m,2031,11.122016610048684
South_Africa,Generation costs: $m,2032,12.06101683712837
South_Africa,Generation costs: $m,2033,13.508712394008057
South_Africa,Generation costs: $m,2034,15.161553705332214
South_Africa,Generation costs: $m,2035,15.777442076367873
South_Africa,Fixed O&M: $m,2025,9.580761133603234
South_Africa,Fixed O&M: $m,2026,9.962700000000007
South_Africa,Fixed O&M: $m,2027,10.42155378486056
South_Africa,Fixed O&M: $m,2028,10.913712031558198
South_Africa,Fixed O&M: $m,2029,11.271301422265633
South_Africa,Fixed O&M: $m,2030,11.510819861923073
South_Africa,Fixed O&M: $m,2031,11.21643243977274
South_Africa,Fixed O&M: $m,2032,10.792446706691448
South_Africa,Fixed O&M: $m,2033,10.0460094988078
South_Africa,Fixed O&M: $m,2034,9.831661806513294
South_Africa,Fixed O&M: $m,2035,9.702328022607244
South_Africa,Variable O&M: $m,2025,2.7124182195054694
South_Africa,Variable O&M: $m,2026,2.5800818211188203
South_Africa,Variable O&M: $m,2027,2.4137075240810626
South_Africa,Variable O&M: $m,2028,2.2091230764635457
South_Africa,Variable O&M: $m,2029,2.074226921403834
South_Africa,Variable O&M: $m,2030,2.024992692842051
South_Africa,Variable O&M: $m,2031,1.926428206802025
South_Africa,Variable O&M: $m,2032,1.6462649298802923
South_Africa,Variable O&M: $m,2033,1.5049897885450705
South_Africa,Variable O&M: $m,2034,1.3934423930149422
South_Africa,Variable O&M: $m,2035,1.3616843574112811
South_Africa,Fuel costs: $m,2025,49.46400978659775
South_Africa,Fuel costs: $m,2026,44.09958467463415
South_Africa,Fuel costs: $m,2027,39.08304875897982
South_Africa,Fuel costs: $m,2028,33.782598465147785
South_Africa,Fuel costs: $m,2029,30.166054560250668
South_Africa,Fuel costs: $m,2030,28.35924145769464
South_Africa,Fuel costs: $m,2031,25.829103384535742
South_Africa,Fuel costs: $m,2032,21.02977714218058
South_Africa,Fuel costs: $m,2033,18.316283223667977
South_Africa,Fuel costs: $m,2034,16.283002269785484
South_Africa,Fuel costs: $m,2035,15.329898248232393
South_Africa,Transmission costs: $m,2033,0.014070997284216867
South_Africa,Transmission costs: $m,2034,0.02739220785701891
South_Africa,Transmission costs: $m,2035,0.24467460108788683
