z,tech,fuel,Q1,Q2,Q3,Q4
Mozambique_Central,ST,Coal,0.65,0.65,0.65,0.65
Mozambique_Central,OCGT,Gas,0.85,0.85,0.85,0.85
Mozambique_Central,CCGT,Gas,0.85,0.85,0.85,0.85
Mozambique_Central,ICE,Diesel,0.85,0.85,0.85,0.85
Mozambique_Central,ICE,HFO,0.85,0.85,0.85,0.85
Mozambique_Central,OCGT,HFO,0.85,0.85,0.85,0.85
Mozambique_Central,ST,Uranium,0.9,0.9,0.9,0.9
Mozambique_Central,ST,Biomass,0.85,0.85,0.85,0.85
Mozambique_Central,CCGT,LNG,0.85,0.85,0.85,0.85
Mozambique_Central,OCGT,LNG,0.85,0.85,0.85,0.85
Mozambique_Central,PV,Solar,1,1,1,1
Mozambique_Central,CSPPlant,CSP,1,1,1,1
Mozambique_Central,OnshoreWind,Wind,1,1,1,1
Mozambique_Central,OffshoreWind,Wind,1,1,1,1
Mozambique_Central,ST,Geothermal,0.85,0.85,0.85,0.85
Mozambique_Central,Storage,Battery,1,1,1,1
Mozambique_Central,Storage,Water,0.85,0.85,0.85,0.85
Mozambique_Central,ReservoirHydro,Water,0.85,0.85,0.85,0.85
Mozambique_Central,ROR,Water,1,1,1,1
Mozambique_North,ST,Coal,0.65,0.65,0.65,0.65
Mozambique_North,OCGT,Gas,0.85,0.85,0.85,0.85
Mozambique_North,CCGT,Gas,0.85,0.85,0.85,0.85
Mozambique_North,ICE,Diesel,0.85,0.85,0.85,0.85
Mozambique_North,ICE,HFO,0.85,0.85,0.85,0.85
Mozambique_North,OCGT,HFO,0.85,0.85,0.85,0.85
Mozambique_North,ST,Uranium,0.9,0.9,0.9,0.9
Mozambique_North,ST,Biomass,0.85,0.85,0.85,0.85
Mozambique_North,CCGT,LNG,0.85,0.85,0.85,0.85
Mozambique_North,OCGT,LNG,0.85,0.85,0.85,0.85
Mozambique_North,PV,Solar,1,1,1,1
Mozambique_North,CSPPlant,CSP,1,1,1,1
Mozambique_North,OnshoreWind,Wind,1,1,1,1
Mozambique_North,OffshoreWind,Wind,1,1,1,1
Mozambique_North,ST,Geothermal,0.85,0.85,0.85,0.85
Mozambique_North,Storage,Battery,1,1,1,1
Mozambique_North,Storage,Water,0.85,0.85,0.85,0.85
Mozambique_North,ReservoirHydro,Water,0.85,0.85,0.85,0.85
Mozambique_North,ROR,Water,1,1,1,1
Mozambique_South,ST,Coal,0.65,0.65,0.65,0.65
Mozambique_South,OCGT,Gas,0.85,0.85,0.85,0.85
Mozambique_South,CCGT,Gas,0.85,0.85,0.85,0.85
Mozambique_South,ICE,Diesel,0.85,0.85,0.85,0.85
Mozambique_South,ICE,HFO,0.85,0.85,0.85,0.85
Mozambique_South,OCGT,HFO,0.85,0.85,0.85,0.85
Mozambique_South,ST,Uranium,0.9,0.9,0.9,0.9
Mozambique_South,ST,Biomass,0.85,0.85,0.85,0.85
Mozambique_South,CCGT,LNG,0.85,0.85,0.85,0.85
Mozambique_South,OCGT,LNG,0.85,0.85,0.85,0.85
Mozambique_South,PV,Solar,1,1,1,1
Mozambique_South,CSPPlant,CSP,1,1,1,1
Mozambique_South,OnshoreWind,Wind,1,1,1,1
Mozambique_South,OffshoreWind,Wind,1,1,1,1
Mozambique_South,ST,Geothermal,0.85,0.85,0.85,0.85
Mozambique_South,Storage,Battery,1,1,1,1
Mozambique_South,Storage,Water,0.85,0.85,0.85,0.85
Mozambique_South,ReservoirHydro,Water,0.85,0.85,0.85,0.85
Mozambique_South,ROR,Water,1,1,1,1
