c,z,y,uni,value
Armenia,Armenia,2025,Demand: GWh,6721.000000000002
Armenia,Armenia,2025,Total Demand: GWh,6721.000000000002
Armenia,Armenia,2025,Total production: GWh,6721.000000000002
Armenia,Armenia,2026,Demand: GWh,6792.000000000008
Armenia,Armenia,2026,Surplus generation: GWh,0.6530223175447325
Armenia,Armenia,2026,Total Demand: GWh,6792.000000000008
Armenia,Armenia,2026,Total production: GWh,6792.653022317543
Armenia,Armenia,2027,Demand: GWh,6861.999999999994
Armenia,Armenia,2027,Exports exchange: GWh,8682.27906243667
Armenia,Armenia,2027,Imports exchange: GWh,0.6791195509060951
Armenia,Armenia,2027,Net interchange Ratio: GWh,-1.2651704959029104
Armenia,Armenia,2027,Net interchange: GWh,-8681.599942885763
Armenia,Armenia,2027,Total Demand: GWh,6861.999999999994
Armenia,Armenia,2027,Total production: GWh,15543.613361536289
Armenia,Armenia,2028,Demand: GWh,6932.999999999995
Armenia,Armenia,2028,Exports exchange: GWh,8673.913838466697
Armenia,Armenia,2028,Imports exchange: GWh,0.601972822441111
Armenia,Armenia,2028,Net interchange Ratio: GWh,-1.2510185872846185
Armenia,Armenia,2028,Net interchange: GWh,-8673.311865644255
Armenia,Armenia,2028,Total Demand: GWh,6932.999999999995
Armenia,Armenia,2028,Total production: GWh,15606.323759960826
Armenia,Armenia,2029,Demand: GWh,7003.999999999999
Armenia,Armenia,2029,Exports exchange: GWh,8708.411372384608
Armenia,Armenia,2029,Imports exchange: GWh,0.5248260939761383
Armenia,Armenia,2029,Net interchange Ratio: GWh,-1.2432733504127116
Armenia,Armenia,2029,Net interchange: GWh,-8707.88654629063
Armenia,Armenia,2029,Total Demand: GWh,7003.999999999999
Armenia,Armenia,2029,Total production: GWh,15711.89691627326
Armenia,Armenia,2030,Demand: GWh,7074.999999999987
Armenia,Armenia,2030,Exports exchange: GWh,8684.013852098791
Armenia,Armenia,2030,Imports exchange: GWh,0.5397366698478409
Armenia,Armenia,2030,Net interchange Ratio: GWh,-1.2273461647249413
Armenia,Armenia,2030,Net interchange: GWh,-8683.474115428944
Armenia,Armenia,2030,Total Demand: GWh,7074.999999999987
Armenia,Armenia,2030,Total production: GWh,15758.484780028026
