gen,zone,tech,fuel,StYr,RetrYr,Capacity,Status,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,DescreteCap,fuel2,HeatRate2,MaxTotalBuild,CapacityCredit,UnitSize
TPP_Tuzla3,BiH,ST,Coal,1966,2023,90,1,0.22,13.9356,0.7,0.7,0,0.05,19200,6,0,0,,90,0,,,90,1,
TPP_Tuzla4,BiH,ST,Coal,1971,2022,180,1,0.22,11.7552,0.7,0.7,0,0.05,34800,5.3,0,0,,180,0,,,180,1,
TPP_Tuzla5,BiH,ST,Coal,1974,2025,180,1,0.22,11.4708,0.7,0.7,0,0.05,32400,5.3,0,0,,180,0,,,180,1,
TPP_Tuzla6,BiH,ST,Coal,1978,2051,200,1,0.22,10.2384,0.7,0.7,0,0.05,34800,3.7,0,0,,200,0,,,200,1,
TPP_Kakanj5,BiH,ST,Coal,1969,2022,100,1,0.22,12.324,0.7,0.7,0,0.05,48000,3.8,0,0,,100,0,,,100,1,
TPP_Kakanj6,BiH,ST,Coal,1977,2051,100,1,0.22,12.4188,0.7,0.7,0,0.05,42000,3.7,0,0,,100,0,,,100,1,
TPP_Kakanj7,BiH,ST,Coal,1988,2051,208,1,0.22,12.0396,0.7,0.7,0,0.05,48000,3.8,0,0,,208,0,,,208,1,
TPP_Gacko,BiH,ST,Coal,1983,2035,276,1,0.22,10.902,0.7,0.7,0,0.05,48000,4.5,0,0,,276,0,,,276,1,
TPP_Ugljevik,BiH,ST,Coal,1985,2035,279,1,0.22,10.902,0.7,0.7,0,0.05,48000,5,0,0,,279,0,,,279,1,
TPP_Stanari,BiH,ST,Coal,2015,2060,275,1,0.22,9.2,1,0.7,0,0.05,38000,4,0,0,,275,0,,,275,1,
Coal_SubNew_BiH,BiH,ST,Coal,2026,2051,0,3,0.22,8.749113059,1,1,0,0.05,45000,3,0,1.7,40,0,0,,,0,1,
Coal_SuperNew_BiH,BiH,ST,Coal,2026,2051,0,3,0.22,7.935242076,1,1,0,0.05,60000,3,0,2,40,0,0,,,0,1,
Coal_UltraNew_BiH,BiH,ST,Coal,2028,2061,0,3,0.22,7.582564651,1,1,0,0.05,65000,3,0,2.2,40,0,0,,,0,1,
CoalCCS_New_BiH,BiH,ST,Coal,2045,2080,0,3,0.22,9.478205814,1,1,0,0.05,100000,43.8,0,5.08,40,0,0,,,0,1,
TPP_Tuzla3_100Biomass,BiH,BiomassPlant,Biomass,2028,2061,0,3,0.22,9.48,1,1,0,0.05,38000,4,0,1.322751323,40,0,0,,,0,1,
TPP_Tuzla4_10Biomass,BiH,ST,Coal,2022,2051,180,1,0.22,12.35,1,1,0,0.05,34800,5.3,0,0,,180,0,,,180,1,
TPP_Kakanj5_10Biomass,BiH,ST,Coal,2022,2051,100,1,0.22,12.98,1,1,0,0.05,48000,3.8,0,0,,100,0,,,100,1,
TPP_Kakanj5_100Biomass,BiH,BiomassPlant,Biomass,2031,2060,0,3,0.22,10.19,1,1,0,0.05,48000,3.8,0,0.428571429,40,0,0,,,0,1,
Biomass_New_BiH,BiH,BiomassPlant,Biomass,2026,2060,0,3,0.22,9.749011694,1,1,0,0.05,77500,3.5,0,2.4,40,0,0,,,0,1,
BECCS_New_BiH,BiH,BiomassPlant,Biomass,2045,2080,0,3,0.22,11.37384698,1,1,0,0.05,135000,30,0,5.4,40,0,0,,,0,1,
CCGT_New_BiH,BiH,CCGT,Gas,2026,2060,0,3,0.22,5.783312022,1,1,0,0.1,25000,3.5,0,1,40,0,0,,,0,1,
OCGT_New_BiH,BiH,OCGT,Gas,2028,2060,0,3,,8.530385232,1,1,0,0.2,20000,3.5,0,0.5,40,10000,0,,,10000,1,
CCGTCCS_New_BiH,BiH,CCGT,Gas,2045,2080,0,3,0.22,6.7,1,1,0,0.1,80000,21.8,0,3.08,40,0,0,,,0,1,
CCGTH2_New_BiH,BiH,CCGT,Gas,2026,2060,0,3,0.22,5.783312022,1,1,0,0.1,47500,3.5,0,1,40,0,0,,,0,1,
RoR_Ex_BiH,BiH,ROR,Water,1960,2051,261,1,,,1,1,0,0,15000,,0,0,,261,0,,,261,0.7,
RoR_Com_BiH,BiH,ROR,Water,2025,2051,100,2,,,1,1,0,0,60000,,0,2.65,30,100,0,,,100,0.7,
RoR_New_BiH,BiH,ROR,Water,2029,2051,0,3,,,1,1,0,0,60000,,0,2.65,30,0,0,,,0,0.7,
HySto_Ex_BiH,BiH,ReservoirHydro,Water,1955,2051,1465,1,,,1,1,0,0.3,15000,,0,0,,1465,0,,,1465,0.9,
HySto_Com_BiH,BiH,ReservoirHydro,Water,2025,2051,215,2,,,1,1,0,0.3,60000,,0,2.65,30,215,0,,,215,0.9,
HySto_New_BiH,BiH,ReservoirHydro,Water,2029,2051,0,3,,,1,1,0,0.3,60000,,0,2.65,30,0,0,,,0,0.9,
Wind_Ex_BiH,BiH,OnshoreWind,Wind,2018,2044,135,1,,,,,,,28180,,0,0,,135,0,,,135,0.25,
Wind_Com_BiH,BiH,OnshoreWind,Wind,2025,2060,109,2,,,,,,,38000,,0,1.26,30,5000,0,,,109,0.25,
Wind_New_BiH,BiH,OnshoreWind,Wind,2027,2060,0,3,,,,,,,38000,,0,1.26,30,0,0,,,0,0.25,
PV_Ex_BiH,BiH,PV,Solar,2020,2044,56,1,,,,,,,10000,,0,0,,5000,0,,,100000,0.1,
PV_Com_BiH,BiH,PV,Solar,2025,2060,290,2,,,,,,,10000,,0,0.9,25,5000,0,,,100000,0.1,
PV_New_BiH,BiH,PV,Solar,2026,2060,0,3,,,,,,,10000,,0,0.9,25,0,0,,,0,0.1,
