zone,tech,fuel,dry,wet
Benin,ST,Coal,0.65,0.65
Benin,ST,Lignite,0.65,0.65
Benin,OCGT,Gas,0.85,0.85
Benin,CCGT,Gas,0.85,0.85
Benin,OCGT,Diesel,0.85,0.85
Benin,OCGT,HFO,0.85,0.85
Benin,BiomassPlant,Biomass,0.85,0.85
Benin,PV,Solar,1,1
Benin,CSPPlant,CSP,1,1
Benin,OnshoreWind,Wind,1,1
Benin,OffshoreWind,Wind,1,1
Benin,Storage,Battery,1,1
Benin,Storage,Water,0.85,0.85
Benin,ReservoirHydro,Water,0.85,0.85
Benin,ROR,Water,1,1
Benin,ICE,Diesel,0.85,0.85
Benin,ICE,HFO,0.85,0.85
Benin,ICE,Gas,0.85,0.85
Burkina,ST,Coal,0.65,0.65
Burkina,ST,Lignite,0.65,0.65
Burkina,OCGT,Gas,0.85,0.85
Burkina,CCGT,Gas,0.85,0.85
Burkina,OCGT,Diesel,0.85,0.85
Burkina,OCGT,HFO,0.85,0.85
Burkina,BiomassPlant,Biomass,0.85,0.85
Burkina,PV,Solar,1,1
Burkina,CSPPlant,CSP,1,1
Burkina,OnshoreWind,Wind,1,1
Burkina,OffshoreWind,Wind,1,1
Burkina,Storage,Battery,1,1
Burkina,Storage,Water,0.85,0.85
Burkina,ReservoirHydro,Water,0.85,0.85
Burkina,ROR,Water,1,1
Burkina,ICE,Diesel,0.85,0.85
Burkina,ICE,HFO,0.85,0.85
Burkina,ICE,Gas,0.85,0.85
Gambia,ST,Coal,0.65,0.65
Gambia,ST,Lignite,0.65,0.65
Gambia,OCGT,Gas,0.85,0.85
Gambia,CCGT,Gas,0.85,0.85
Gambia,OCGT,Diesel,0.85,0.85
Gambia,OCGT,HFO,0.85,0.85
Gambia,BiomassPlant,Biomass,0.85,0.85
Gambia,PV,Solar,1,1
Gambia,CSPPlant,CSP,1,1
Gambia,OnshoreWind,Wind,1,1
Gambia,OffshoreWind,Wind,1,1
Gambia,Storage,Battery,1,1
Gambia,Storage,Water,0.85,0.85
Gambia,ReservoirHydro,Water,0.85,0.85
Gambia,ROR,Water,1,1
Gambia,ICE,Diesel,0.85,0.85
Gambia,ICE,HFO,0.85,0.85
Gambia,ICE,Gas,0.85,0.85
Ghana,ST,Coal,0.65,0.65
Ghana,ST,Lignite,0.65,0.65
Ghana,OCGT,Gas,0.85,0.85
Ghana,CCGT,Gas,0.85,0.85
Ghana,OCGT,Diesel,0.85,0.85
Ghana,OCGT,HFO,0.85,0.85
Ghana,BiomassPlant,Biomass,0.85,0.85
Ghana,PV,Solar,1,1
Ghana,CSPPlant,CSP,1,1
Ghana,OnshoreWind,Wind,1,1
Ghana,OffshoreWind,Wind,1,1
Ghana,Storage,Battery,1,1
Ghana,Storage,Water,0.85,0.85
Ghana,ReservoirHydro,Water,0.85,0.85
Ghana,ROR,Water,1,1
Ghana,ICE,Diesel,0.85,0.85
Ghana,ICE,HFO,0.85,0.85
Ghana,ICE,Gas,0.85,0.85
Guinea,ST,Coal,0.65,0.65
Guinea,ST,Lignite,0.65,0.65
Guinea,OCGT,Gas,0.85,0.85
Guinea,CCGT,Gas,0.85,0.85
Guinea,OCGT,Diesel,0.85,0.85
Guinea,OCGT,HFO,0.85,0.85
Guinea,BiomassPlant,Biomass,0.85,0.85
Guinea,PV,Solar,1,1
Guinea,CSPPlant,CSP,1,1
Guinea,OnshoreWind,Wind,1,1
Guinea,OffshoreWind,Wind,1,1
Guinea,Storage,Battery,1,1
Guinea,Storage,Water,0.85,0.85
Guinea,ReservoirHydro,Water,0.85,0.85
Guinea,ROR,Water,1,1
Guinea,ICE,Diesel,0.85,0.85
Guinea,ICE,HFO,0.85,0.85
Guinea,ICE,Gas,0.85,0.85
GuineaBissau,ST,Coal,0.65,0.65
GuineaBissau,ST,Lignite,0.65,0.65
GuineaBissau,OCGT,Gas,0.85,0.85
GuineaBissau,CCGT,Gas,0.85,0.85
GuineaBissau,OCGT,Diesel,0.85,0.85
GuineaBissau,OCGT,HFO,0.85,0.85
GuineaBissau,BiomassPlant,Biomass,0.85,0.85
GuineaBissau,PV,Solar,1,1
GuineaBissau,CSPPlant,CSP,1,1
GuineaBissau,OnshoreWind,Wind,1,1
GuineaBissau,OffshoreWind,Wind,1,1
GuineaBissau,Storage,Battery,1,1
GuineaBissau,Storage,Water,0.85,0.85
GuineaBissau,ReservoirHydro,Water,0.85,0.85
GuineaBissau,ROR,Water,1,1
GuineaBissau,ICE,Diesel,0.85,0.85
GuineaBissau,ICE,HFO,0.85,0.85
GuineaBissau,ICE,Gas,0.85,0.85
IvoryCoast,ST,Coal,0.65,0.65
IvoryCoast,ST,Lignite,0.65,0.65
IvoryCoast,OCGT,Gas,0.85,0.85
IvoryCoast,CCGT,Gas,0.85,0.85
IvoryCoast,OCGT,Diesel,0.85,0.85
IvoryCoast,OCGT,HFO,0.85,0.85
IvoryCoast,BiomassPlant,Biomass,0.85,0.85
IvoryCoast,PV,Solar,1,1
IvoryCoast,CSPPlant,CSP,1,1
IvoryCoast,OnshoreWind,Wind,1,1
IvoryCoast,OffshoreWind,Wind,1,1
IvoryCoast,Storage,Battery,1,1
IvoryCoast,Storage,Water,0.85,0.85
IvoryCoast,ReservoirHydro,Water,0.85,0.85
IvoryCoast,ROR,Water,1,1
IvoryCoast,ICE,Diesel,0.85,0.85
IvoryCoast,ICE,HFO,0.85,0.85
IvoryCoast,ICE,Gas,0.85,0.85
Liberia,ST,Coal,0.65,0.65
Liberia,ST,Lignite,0.65,0.65
Liberia,OCGT,Gas,0.85,0.85
Liberia,CCGT,Gas,0.85,0.85
Liberia,OCGT,Diesel,0.85,0.85
Liberia,OCGT,HFO,0.85,0.85
Liberia,BiomassPlant,Biomass,0.85,0.85
Liberia,PV,Solar,1,1
Liberia,CSPPlant,CSP,1,1
Liberia,OnshoreWind,Wind,1,1
Liberia,OffshoreWind,Wind,1,1
Liberia,Storage,Battery,1,1
Liberia,Storage,Water,0.85,0.85
Liberia,ReservoirHydro,Water,0.85,0.85
Liberia,ROR,Water,1,1
Liberia,ICE,Diesel,0.85,0.85
Liberia,ICE,HFO,0.85,0.85
Liberia,ICE,Gas,0.85,0.85
Mali,ST,Coal,0.65,0.65
Mali,ST,Lignite,0.65,0.65
Mali,OCGT,Gas,0.85,0.85
Mali,CCGT,Gas,0.85,0.85
Mali,OCGT,Diesel,0.85,0.85
Mali,OCGT,HFO,0.85,0.85
Mali,BiomassPlant,Biomass,0.85,0.85
Mali,PV,Solar,1,1
Mali,CSPPlant,CSP,1,1
Mali,OnshoreWind,Wind,1,1
Mali,OffshoreWind,Wind,1,1
Mali,Storage,Battery,1,1
Mali,Storage,Water,0.85,0.85
Mali,ReservoirHydro,Water,0.85,0.85
Mali,ROR,Water,1,1
Mali,ICE,Diesel,0.85,0.85
Mali,ICE,HFO,0.85,0.85
Mali,ICE,Gas,0.85,0.85
Niger,ST,Coal,0.65,0.65
Niger,ST,Lignite,0.65,0.65
Niger,OCGT,Gas,0.85,0.85
Niger,CCGT,Gas,0.85,0.85
Niger,OCGT,Diesel,0.85,0.85
Niger,OCGT,HFO,0.85,0.85
Niger,BiomassPlant,Biomass,0.85,0.85
Niger,PV,Solar,1,1
Niger,CSPPlant,CSP,1,1
Niger,OnshoreWind,Wind,1,1
Niger,OffshoreWind,Wind,1,1
Niger,Storage,Battery,1,1
Niger,Storage,Water,0.85,0.85
Niger,ReservoirHydro,Water,0.85,0.85
Niger,ROR,Water,1,1
Niger,ICE,Diesel,0.85,0.85
Niger,ICE,HFO,0.85,0.85
Niger,ICE,Gas,0.85,0.85
Nigeria,ST,Coal,0.65,0.65
Nigeria,ST,Lignite,0.65,0.65
Nigeria,OCGT,Gas,0.85,0.85
Nigeria,CCGT,Gas,0.85,0.85
Nigeria,OCGT,Diesel,0.85,0.85
Nigeria,OCGT,HFO,0.85,0.85
Nigeria,BiomassPlant,Biomass,0.85,0.85
Nigeria,PV,Solar,1,1
Nigeria,CSPPlant,CSP,1,1
Nigeria,OnshoreWind,Wind,1,1
Nigeria,OffshoreWind,Wind,1,1
Nigeria,Storage,Battery,1,1
Nigeria,Storage,Water,0.85,0.85
Nigeria,ReservoirHydro,Water,0.85,0.85
Nigeria,ROR,Water,1,1
Nigeria,ICE,Diesel,0.85,0.85
Nigeria,ICE,HFO,0.85,0.85
Nigeria,ICE,Gas,0.85,0.85
Senegal,ST,Coal,0.65,0.65
Senegal,ST,Lignite,0.65,0.65
Senegal,OCGT,Gas,0.85,0.85
Senegal,CCGT,Gas,0.85,0.85
Senegal,OCGT,Diesel,0.85,0.85
Senegal,OCGT,HFO,0.85,0.85
Senegal,BiomassPlant,Biomass,0.85,0.85
Senegal,PV,Solar,1,1
Senegal,CSPPlant,CSP,1,1
Senegal,OnshoreWind,Wind,1,1
Senegal,OffshoreWind,Wind,1,1
Senegal,Storage,Battery,1,1
Senegal,Storage,Water,0.85,0.85
Senegal,ReservoirHydro,Water,0.85,0.85
Senegal,ROR,Water,1,1
Senegal,ICE,Diesel,0.85,0.85
Senegal,ICE,HFO,0.85,0.85
Senegal,ICE,Gas,0.85,0.85
SierraLeone,ST,Coal,0.65,0.65
SierraLeone,ST,Lignite,0.65,0.65
SierraLeone,OCGT,Gas,0.85,0.85
SierraLeone,CCGT,Gas,0.85,0.85
SierraLeone,OCGT,Diesel,0.85,0.85
SierraLeone,OCGT,HFO,0.85,0.85
SierraLeone,BiomassPlant,Biomass,0.85,0.85
SierraLeone,PV,Solar,1,1
SierraLeone,CSPPlant,CSP,1,1
SierraLeone,OnshoreWind,Wind,1,1
SierraLeone,OffshoreWind,Wind,1,1
SierraLeone,Storage,Battery,1,1
SierraLeone,Storage,Water,0.85,0.85
SierraLeone,ReservoirHydro,Water,0.85,0.85
SierraLeone,ROR,Water,1,1
SierraLeone,ICE,Diesel,0.85,0.85
SierraLeone,ICE,HFO,0.85,0.85
SierraLeone,ICE,Gas,0.85,0.85
Togo,ST,Coal,0.65,0.65
Togo,ST,Lignite,0.65,0.65
Togo,OCGT,Gas,0.85,0.85
Togo,CCGT,Gas,0.85,0.85
Togo,OCGT,Diesel,0.85,0.85
Togo,OCGT,HFO,0.85,0.85
Togo,BiomassPlant,Biomass,0.85,0.85
Togo,PV,Solar,1,1
Togo,CSPPlant,CSP,1,1
Togo,OnshoreWind,Wind,1,1
Togo,OffshoreWind,Wind,1,1
Togo,Storage,Battery,1,1
Togo,Storage,Water,0.85,0.85
Togo,ReservoirHydro,Water,0.85,0.85
Togo,ROR,Water,1,1
Togo,ICE,Diesel,0.85,0.85
Togo,ICE,HFO,0.85,0.85
Togo,ICE,Gas,0.85,0.85
Mauritania_grid,ST,Coal,0.65,0.65
Mauritania_grid,ST,Lignite,0.65,0.65
Mauritania_grid,OCGT,Gas,0.85,0.85
Mauritania_grid,CCGT,Gas,0.85,0.85
Mauritania_grid,OCGT,Diesel,0.85,0.85
Mauritania_grid,OCGT,HFO,0.85,0.85
Mauritania_grid,BiomassPlant,Biomass,0.85,0.85
Mauritania_grid,PV,Solar,1,1
Mauritania_grid,CSPPlant,CSP,1,1
Mauritania_grid,OnshoreWind,Wind,1,1
Mauritania_grid,OffshoreWind,Wind,1,1
Mauritania_grid,Storage,Battery,1,1
Mauritania_grid,Storage,Water,0.85,0.85
Mauritania_grid,ReservoirHydro,Water,0.85,0.85
Mauritania_grid,ROR,Water,1,1
Mauritania_grid,ICE,Diesel,0.85,0.85
Mauritania_grid,ICE,HFO,0.85,0.85
Mauritania_grid,ICE,Gas,0.85,0.85
Mauritania_Nema,ST,Coal,0.65,0.65
Mauritania_Nema,ST,Lignite,0.65,0.65
Mauritania_Nema,OCGT,Gas,0.85,0.85
Mauritania_Nema,CCGT,Gas,0.85,0.85
Mauritania_Nema,OCGT,Diesel,0.85,0.85
Mauritania_Nema,OCGT,HFO,0.85,0.85
Mauritania_Nema,BiomassPlant,Biomass,0.85,0.85
Mauritania_Nema,PV,Solar,1,1
Mauritania_Nema,CSPPlant,CSP,1,1
Mauritania_Nema,OnshoreWind,Wind,1,1
Mauritania_Nema,OffshoreWind,Wind,1,1
Mauritania_Nema,Storage,Battery,1,1
Mauritania_Nema,Storage,Water,0.85,0.85
Mauritania_Nema,ReservoirHydro,Water,0.85,0.85
Mauritania_Nema,ROR,Water,1,1
Mauritania_Nema,ICE,Diesel,0.85,0.85
Mauritania_Nema,ICE,HFO,0.85,0.85
Mauritania_Nema,ICE,Gas,0.85,0.85
