z,tech,workbook,match,exclude,level_source,note
KAZ_N,PV,KZ,Solar|SP,,,"Country mean of the DeCA monthly utilization factors, the sheet naming no zone for the existing plants. Refine the match if a regional split is wanted."
KAZ_N,WT,KZ,Wind|WP,_SP,,"Country mean of the DeCA monthly utilization factors, the sheet naming no zone for the existing plants. Refine the match if a regional split is wanted. One Kazakh solar plant is named Arm Wind and carries the _SP tag of its own technology: the suffix is what settles it."
KAZ_S,PV,KZ,Solar|SP,,,"Country mean of the DeCA monthly utilization factors, the sheet naming no zone for the existing plants. Refine the match if a regional split is wanted."
KAZ_S,WT,KZ,Wind|WP,_SP,,"Country mean of the DeCA monthly utilization factors, the sheet naming no zone for the existing plants. Refine the match if a regional split is wanted. One Kazakh solar plant is named Arm Wind and carries the _SP tag of its own technology: the suffix is what settles it."
KGZ_N,PV,KG,Solar|SP,,,"Country mean of the DeCA monthly utilization factors, the sheet naming no zone for the existing plants. Refine the match if a regional split is wanted."
KGZ_N,WT,KG,Wind|WP,,,"Country mean of the DeCA monthly utilization factors, the sheet naming no zone for the existing plants. Refine the match if a regional split is wanted."
KGZ_S,PV,KG,Solar|SP,,,"Country mean of the DeCA monthly utilization factors, the sheet naming no zone for the existing plants. Refine the match if a regional split is wanted."
KGZ_S,WT,KG,Wind|WP,,,"Country mean of the DeCA monthly utilization factors, the sheet naming no zone for the existing plants. Refine the match if a regional split is wanted."
NEPS_AFG,PV,,,,,"No DeCA book. The 2020 profile is kept as it stands, only spread over the 24 hours of the day."
NEPS_AFG,WT,,,,atlas_p90,"No DeCA book. The 2020 model states the same 0.333 for every Afghan and Pakistani wind zone alike, which is one placeholder repeated eight times and not eight readings; the Global Wind Atlas has since read each zone's own terrain at 250 m. The LEVEL therefore comes from the atlas -- the capacity factor of the best tenth of the zone's land, net of 15% for wake, availability and electrical losses -- and only the month-to-month SHAPE is still the 2020 one, the atlas having no seasonality to give."
NEPS_TAJ,PV,,,,,"No DeCA book. The 2020 profile is kept as it stands, only spread over the 24 hours of the day."
NEPS_TAJ,WT,,,,atlas_p90,"No DeCA book. The 2020 model states the same 0.333 for every Afghan and Pakistani wind zone alike, which is one placeholder repeated eight times and not eight readings; the Global Wind Atlas has since read each zone's own terrain at 250 m. The LEVEL therefore comes from the atlas -- the capacity factor of the best tenth of the zone's land, net of 15% for wake, availability and electrical losses -- and only the month-to-month SHAPE is still the 2020 one, the atlas having no seasonality to give."
NEPS_TKM,PV,,,,,"No DeCA book. The 2020 profile is kept as it stands, only spread over the 24 hours of the day."
NEPS_TKM,WT,,,,atlas_p90,"No DeCA book. The 2020 model states the same 0.333 for every Afghan and Pakistani wind zone alike, which is one placeholder repeated eight times and not eight readings; the Global Wind Atlas has since read each zone's own terrain at 250 m. The LEVEL therefore comes from the atlas -- the capacity factor of the best tenth of the zone's land, net of 15% for wake, availability and electrical losses -- and only the month-to-month SHAPE is still the 2020 one, the atlas having no seasonality to give."
NEPS_UZB,PV,,,,,"No DeCA book. The 2020 profile is kept as it stands, only spread over the 24 hours of the day."
NEPS_UZB,WT,,,,atlas_p90,"No DeCA book. The 2020 model states the same 0.333 for every Afghan and Pakistani wind zone alike, which is one placeholder repeated eight times and not eight readings; the Global Wind Atlas has since read each zone's own terrain at 250 m. The LEVEL therefore comes from the atlas -- the capacity factor of the best tenth of the zone's land, net of 15% for wake, availability and electrical losses -- and only the month-to-month SHAPE is still the 2020 one, the atlas having no seasonality to give."
PAK_KAR,PV,,,,,"No DeCA book. The 2020 profile is kept as it stands, only spread over the 24 hours of the day."
PAK_KAR,WT,,,,atlas_p90,"No DeCA book. The 2020 model states the same 0.333 for every Afghan and Pakistani wind zone alike, which is one placeholder repeated eight times and not eight readings; the Global Wind Atlas has since read each zone's own terrain at 250 m. The LEVEL therefore comes from the atlas -- the capacity factor of the best tenth of the zone's land, net of 15% for wake, availability and electrical losses -- and only the month-to-month SHAPE is still the 2020 one, the atlas having no seasonality to give."
PAK_N,PV,,,,,"No DeCA book. The 2020 profile is kept as it stands, only spread over the 24 hours of the day."
PAK_N,WT,,,,atlas_p90,"No DeCA book. The 2020 model states the same 0.333 for every Afghan and Pakistani wind zone alike, which is one placeholder repeated eight times and not eight readings; the Global Wind Atlas has since read each zone's own terrain at 250 m. The LEVEL therefore comes from the atlas -- the capacity factor of the best tenth of the zone's land, net of 15% for wake, availability and electrical losses -- and only the month-to-month SHAPE is still the 2020 one, the atlas having no seasonality to give."
PAK_S,PV,,,,,"No DeCA book. The 2020 profile is kept as it stands, only spread over the 24 hours of the day."
PAK_S,WT,,,,atlas_p90,"No DeCA book. The 2020 model states the same 0.333 for every Afghan and Pakistani wind zone alike, which is one placeholder repeated eight times and not eight readings; the Global Wind Atlas has since read each zone's own terrain at 250 m. The LEVEL therefore comes from the atlas -- the capacity factor of the best tenth of the zone's land, net of 15% for wake, availability and electrical losses -- and only the month-to-month SHAPE is still the 2020 one, the atlas having no seasonality to give."
TAJ_N,PV,TJ,Solar|SP,,,"Country mean of the DeCA monthly utilization factors, the sheet naming no zone for the existing plants. Refine the match if a regional split is wanted."
TAJ_N,WT,TJ,Wind|WP,,,"Country mean of the DeCA monthly utilization factors, the sheet naming no zone for the existing plants. Refine the match if a regional split is wanted."
TAJ_S,PV,TJ,Solar|SP,,,"Country mean of the DeCA monthly utilization factors, the sheet naming no zone for the existing plants. Refine the match if a regional split is wanted."
TAJ_S,WT,TJ,Wind|WP,,,"Country mean of the DeCA monthly utilization factors, the sheet naming no zone for the existing plants. Refine the match if a regional split is wanted."
TUR,PV,TM,Solar|SP,,,"Country mean of the DeCA monthly utilization factors, the sheet naming no zone for the existing plants. Refine the match if a regional split is wanted."
TUR,WT,TM,Wind|WP,,,"Country mean of the DeCA monthly utilization factors, the sheet naming no zone for the existing plants. Refine the match if a regional split is wanted."
UZB,PV,UZ,Solar|SP,,,"Country mean of the DeCA monthly utilization factors, the sheet naming no zone for the existing plants. Refine the match if a regional split is wanted."
UZB,WT,UZ,Wind|WP,,,"Country mean of the DeCA monthly utilization factors, the sheet naming no zone for the existing plants. Refine the match if a regional split is wanted."
NEPS_HERAT,PV,,,,,"No DeCA book. The 2020 profile is kept as it stands, only spread over the 24 hours of the day."
NEPS_HERAT,WT,,,,atlas_p90,"No DeCA book. The 2020 model states the same 0.333 for every Afghan and Pakistani wind zone alike, which is one placeholder repeated eight times and not eight readings; the Global Wind Atlas has since read each zone's own terrain at 250 m. The LEVEL therefore comes from the atlas -- the capacity factor of the best tenth of the zone's land, net of 15% for wake, availability and electrical losses -- and only the month-to-month SHAPE is still the 2020 one, the atlas having no seasonality to give."
