g,book,deca_plant,note
ABADAN _CITY-1_CHP_2023,TM,TMBezmeyinTG,
ABADAN _CITY-2_CCGT_2028,TM,TMCCGT_Akhal,
ABADAN _CITY-2_CCGT_2031,TM,TMCCGT_Akhal,
ABADAN _CITY-2_GT_2031,TM,TMBezmeyinTG,
AHAL_GT_2031,TM,TMAhal____TG,
AKSUSKAYA_ST_2023,KZ,KZ_TPP Aksu Eurasian Energy Corporation,
ALMATY-1_CHP_2023,,,DeCA carries CHP-1 AlES as a gas plant at the same 145 MW while the model burns coal there; the fuel has to be settled before the efficiency can be taken
ALMATY-2_CHP_2023,KZ,KZ_CHP-2 AlES Almaty Electric Stations,
ALMATY-3_CHP_2023,KZ,KZ_CHP-3 AlES Almaty Electric Stations,
ANGREN_ST_2023,UZ,UZAngren__TV,
ANGREN_ST_2031,UZ,UZAngren__TV,
ASHGABAT_GT_2031,TM,TMAshgabatTG,
ASTANA-2_CHP_2023,KZ,KZ_CHP-2 Astana-Energia,
ASTANA-2_CHP_2031,KZ,KZ_CHP-2 Astana-Energia,
AVAZA_GT_2031,TM,TMAvaza___TG,
BALKANABAD-2_GT_2031,TM,TMBalkanabTG,
BALKHASH _ULKEN_CHP_NEW_2031,,,"the Balkhash Ulken project, which DeCA does not carry at all"
BISHKEK_CHP_2023,KG,KGBishkek_CO,
DASHOGUZ _VELAYAT_CHP_2031,TM,TMDashoguzTG,
DERWEZE_GT_2031,TM,TMDerveze_TG,
DUSHANBE-1_CHP_2023,TJ,TJDushamb1CO,
DUSHANBE-2_CHP_2031,TJ,TJDushamb2CO,
DUSHANBE-2_CHP_NEW_2031,TJ,TJDushamb2CO,
EKIBASTUZ-1_ST_2023,KZ,KZ_Ekibastuz GRES-1,
EKIBASTUZ-1_ST_2024,KZ,KZ_Ekibastuz GRES-1,
EKIBASTUZ-2_ST_2030,KZ,KZ_Ekibastuz GRES-2,
EKIBASTUZ-2_ST_2031,KZ,KZ_Ekibastuz GRES-2,
EKIBASTUZ-2_ST_NEW_2031,KZ,KZ_Ekibastuz GRES-3,"the third unit of the site, which DeCA carries as a project"
FERGANA_CHP_2023,,,"the model burns heavy fuel oil at Fergana, DeCA gas; the fuel has to be settled before the efficiency can be taken"
KARAGANDA _HPS-1_ST_2031,KZ,KZ_GRES 1 Karaganda Bassel Group,
KARAGANDA _HPS-2_CHP_2023,KZ,KZ_GRES 2 Karaganda KazakhMys,
KARAGANDA _TPS-2_CHP_2023,,,"no counterpart in DeCA, which carries only CHP-1 and CHP-3 at Karaganda Energo Center"
KARAGANDA _TPS-3_CHP_2023,KZ,KZ_CHP-3 Karaganda Energo Center,
KARAGANDA _TPS-3_CHP_2031,KZ,KZ_CHP-3 Karaganda Energo Center,
KAZ_N_CHP_2023,,,"a residual aggregate of the small northern CHPs, not a plant, so no DeCA row can be attached"
KAZ_S_CHP_2023,,,"a residual aggregate of the small southern CHPs, not a plant, so no DeCA row can be attached"
LEBAP_GT_2031,TM,TMLebap___TG,
MARY_CHP_2023,TM,TMMary_1__TV,
MARY_GT_2031,TM,TMMary_2__TG,
NAVOI_CCGT_2031,UZ,UZNavCCGT1CC,
NAVOI_ST_2023,UZ,UZNavoi___TV,
NAVOI_ST_NEW_2031,UZ,UZNavoi___TV,
NOVO-ANGREN_ST_2030,UZ,UZNovoAngrTV,
NOVO-ANGREN_ST_2031,UZ,UZNovoAngrTV,
PAVLODAR-1_CHP_2023,KZ,KZ_CHP-1 Pavlodar - Aluminium Kazakhstan,
PAVLODAR-1_CHP_2031,KZ,KZ_CHP-1 Pavlodar - Aluminium Kazakhstan,
PAVLODAR-2_CHP_2023,KZ,KZ_CHP-2 PavlodarEnergo,
PAVLODAR-3_CHP_2023,KZ,KZ_CHP-3 PavlodarEnergo,
PAVLODAR-3_CHP_2031,KZ,KZ_CHP-3 PavlodarEnergo,
PETROPAVLOVSK-2_CHP_2023,KZ,KZ_CHP SevkazEnergo Petropavlovsk,
PETROPAVLOVSK-2_CHP_2031,KZ,KZ_CHP SevkazEnergo Petropavlovsk,
SYRDARYA_ST_2023,UZ,UZSyrdarinTV,
TAKHIATASH_ST_2023,UZ,UZTakhiataTV,
TAKHIATASH_ST_2027,UZ,UZTakhiataTV,
TAKHIATASH_ST_2029,UZ,UZTakhiataTV,
TAKHIATASH_ST_NEW_2031,UZ,UZTakhiataTV,
TASHKENT_CHP_2031,UZ,UZTashkentCO,
TASHKENT_ST_2023,UZ,UZTashkentTV,keyed on the assigned name: DeCA gives the steam and the combined cycle the same generator name
TCHIMKENT-3_CHP_2023,KZ,KZ_CHP Shymkent,"DeCA gives it a combined cycle efficiency of 0.560, far above the 0.304 the model assumed"
TOLIMARJON_CCGT_2031,UZ,UZTalimardCC,
TOLIMARJON_ST_2031,UZ,UZTalimardTV,
TURKMENBASHI _REFINERY_GT_2031,TM,TMTurkmenbCO,
TURKMENBASHI-1_ST_2024,TM,TMTurkmenbCO,
TURKMENBASHI-1_ST_2026,TM,TMTurkmenbCO,
UST-KAMENOGORSK _TETS_CHP_2023,KZ,KZ_CHP Ust-Kamenogorsk,
UST-KAMENOGORSK _TETS_CHP_2031,KZ,KZ_CHP Ust-Kamenogorsk,
WATAN_GT_2031,TM,TMVatan___TG,
YAVAN_CHP_2023,,,"no counterpart in DeCA, which carries only the two Dushanbe plants in Tajikistan"
ZHAMBYL_ST_2023,KZ,KZ_Zhambyl GRES,"DeCA lists it on mazut, the model on gas; the capacity matches to the MW so the efficiency is taken and the fuel left alone"
ZHAMBYL_ST_2031,KZ,KZ_Zhambyl GRES,
