tech,fuel,life,note
HY,*,99,"Large hydro is rehabilitated, not decommissioned. Nurek and Toktogul are under rehabilitation programmes right now, and the 2020 model said the same thing in its own way: it floored its hydro at the horizon instead of retiring it on age. 99 is the EPM convention for a plant that never retires, and it also switches off economic retirement at main.gms:879."
ST,Coal,60,"Ekibastuz-1 was commissioned in 1982 and is still the largest plant in Kazakhstan; DeCA carries it as existing in 2025. The Soviet coal fleet is being refurbished, not closed on its nominal 40 years."
ST,Coal_KAZ_S,60,"Same as the other coal steam units."
ST,Gas,55,"Syrdarya, 1978, is still the backbone of Uzbekistan. Gas steam runs a little shorter than coal steam because it is being displaced by combined cycle."
ST,HFO,45,"Fuel oil steam, mostly Pakistani, already being pushed off the merit order."
ST,LNG,45,"Same as the other fuel oil steam units."
ST,UR,60,"Nuclear. The two Kazakh units in DeCA are candidates, so this life only matters for the candidates of phase 5."
CHP,*,60,"District heating plants are kept alive for the heat, not for the power. No Central Asian capital is going to close its winter heat source on an accounting lifetime."
CCGT,*,35,"Combined cycle, standard planning life."
GT,*,35,"Open cycle gas turbine, standard planning life."
ICE,*,30,"Reciprocating engines."
PV,*,25,"The Life Time that DeCA gives its own solar candidates."
WT,*,25,"The Life Time that DeCA gives its own wind candidates."
INT,*,99,"Not a plant: the pseudo unit that carries imports."
