z,country,workbook,profile_columns,method,scope,note
KAZ_N,KAZ,KZ,North,DIRECT,model,"North zone of KEGOC (Ekibastuz, Pavlodar, Karaganda, Astana, Ust-Kamenogorsk)."
KAZ_S,KAZ,KZ,South,DIRECT,model,"South zone of KEGOC (Almaty, Shymkent), fed by the North 500 kV link and by CAPS."
KAZ_W,KAZ,KZ,West,DIRECT,excluded,"OUT OF MODEL. The West zone (Atyrau, Mangystau, West Kazakhstan) is a gas island synchronous with Russia, not with the rest of Kazakhstan, and it cannot trade with CAPS. The 2020 model folded its load into KAZ_N without its plants, which overstated the tightness of KAZ_N. It is kept here so that the national energy is split over the three real zones, and dropped from the output. Modelled Kazakhstan is therefore North + South only."
KGZ_N,KGZ,KG,KG-North,DIRECT,model,"DeCA share 63.9 percent against 93.2 percent in the 2020 model."
KGZ_S,KGZ,KG,KG-South,DIRECT,model,"DeCA share 36.1 percent against 6.8 percent in the 2020 model: the Kyrgyz South was almost empty."
TAJ_N,TAJ,TJ,North,DIRECT,model,"WARNING: DeCA gives 27.7 percent to the North, the 2020 model gave 74.9 percent. The split is REVERSED. The 2020 fleet is geographically correct (Nurek, Rogun, Sangtuda in TAJ_S; Kairakkum, Zarafshan in TAJ_N), so it is the demand that was misallocated."
TAJ_S,TAJ,TJ,South,DIRECT,model,"South = Khatlon, RRS, Dushanbe, GBAO, plus the TALCO smelter. 72.3 percent according to DeCA."
UZB,UZB,UZ,Total,DIRECT,model,"Single zone: the DeCA split into 5 sub-zones is not used as long as UZB is not divided."
TUR,TUR,TM,Total TK,PROXY,model,"The TM profile is only one average day per month (288 points). Without consequence here, the zone being single: energy and peak come straight from Demand Evolution."
NEPS_AFG,AFG,,,LEGACY,model,"No 2026 source. Carried over from the pDemandData of the 2020 model, extended at the growth rate of the model."
NEPS_HERAT,AFG,,,LEGACY,model,
NEPS_TAJ,AFG,,,LEGACY,model,
NEPS_TKM,AFG,,,LEGACY,model,
NEPS_UZB,AFG,,,LEGACY,model,
PAK_KAR,PAK,,,LEGACY,model,"No 2026 source. MAJOR GAP: Pakistan is 38 percent of the demand of the model and the latest source dates from 2018. The NTDC IGCEP would replace all of this."
PAK_N,PAK,,,LEGACY,model,
PAK_S,PAK,,,LEGACY,model,
