c,fuel,book,deca_fuel,unit,heat_content_gj_t,price_ratio,transport,note
AFG,Coal,,,,,1,0,outside the DeCA perimeter; the 2020 series is held flat past its last year
AFG,Gas,,,,,1,0,outside the DeCA perimeter; the 2020 series is held flat past its last year
AFG,HFO,,,,,1,0,outside the DeCA perimeter; the 2020 series is held flat past its last year
KAZ,Coal,,,,,1,0,"the DeCA Fuel Prices sheet is headed International Prices and its coal row is one flat 33.53 $/mt for the five countries, the seaborne benchmark and not the price of Ekibastuz coal, which would triple it. The KZ book fills no Local Fuel Costs column, so there is no Kazakh coal price in DeCA at all and the 2020 model is held flat. TOP DATA REQUEST."
KAZ,Coal_KAZ_S,,,,,1,0,"same as KAZ Coal, held flat from the 2020 model; the 1.467 delivered north to south ratio it carries is preserved by simply keeping both series"
KAZ,Gas,KZ,Gas,usd_per_mmbtu,,1,0,"molecule only. Transport is genuinely regional in KZ, 0 at Atyrau on the gas fields to 13.3 in Akmola at the end of the pipeline, a spread wider than the commodity itself, so it cannot be averaged into a national price: the model carries only two Kazakh gas plants and each takes its own DeCA transport cost through its VOM, see thermal_plants.csv"
KAZ,HFO,,,,,1,0,DeCA prices no heavy fuel oil; the 2020 series is held flat past its last year
KAZ,UR,KZ,Nuclear,usd_per_mwh,,1,0,"DeCA gives 2.92 $/MWh of electricity; converted with the heat rate the model carries for its own uranium units"
KGZ,Coal,KG,Coal,local_mmbtu,,1,0,"read from what DeCA adopted for its own two Kyrgyz units, 2.706 $/MMBtu at Bishkek and 2.319 at Osh, capacity weighted. Already a delivered price per plant, so the separate transport column is not added on top, and no calorific value is assumed."
KGZ,Gas,KG,Gas,usd_per_mmbtu,,1,0,"DeCA carries no thermal gas unit in Kyrgyzstan, so there is no transport cost to read"
KGZ,HFO,,,,,1,0,DeCA prices no heavy fuel oil; the 2020 series is held flat past its last year
PAK,Coal,,,,,1,0,outside the DeCA perimeter; the 2020 series is held flat past its last year
PAK,Gas,,,,,1,0,outside the DeCA perimeter; the 2020 series is held flat past its last year
PAK,HFO,,,,,1,0,outside the DeCA perimeter; the 2020 series is held flat past its last year
PAK,LNG,,,,,1,0,outside the DeCA perimeter; the 2020 series is held flat past its last year
PAK,UR,,,,,1,0,outside the DeCA perimeter; the 2020 series is held flat past its last year
TAJ,Coal,,,,,1,0,"the TJ book fills no Local Fuel Costs column and the international benchmark is not the price of Fon-Yagnob coal, so the 2020 model is held flat. Second data request after Kazakhstan."
TAJ,Gas,TJ,Gas,usd_per_mmbtu,,1,0,DeCA states no transport cost for the single Tajik gas unit
TAJ,HFO,,,,,1,0,DeCA prices no heavy fuel oil; the 2020 series is held flat past its last year
TUR,Coal,,,,,1,0,"no coal unit runs in Turkmenistan in this model, the row exists only to keep the table square"
TUR,Gas,TM,Gas,usd_per_mmbtu,,1,1,the DeCA transport adder is a national constant of 0.140 over the seventeen Turkmen gas units
TUR,HFO,,,,,1,0,DeCA prices no heavy fuel oil; the 2020 series is held flat past its last year
UZB,Coal,UZ,Coal,local_mwh_e,,1,0,"read from what DeCA adopted for its own two Angren units, stated in $/MWh of electricity and converted with the efficiency DeCA gives them. Already a delivered price, and Angren TPP sits on the Angren mine, so the 2.602 transport adder of the Thermal PP column is not used."
UZB,Gas,UZ,Gas,usd_per_mmbtu,,1,1,the DeCA transport adder is a national constant of 1.866 over the twenty-two Uzbek gas units
UZB,HFO,,,,,1,0,DeCA prices no heavy fuel oil; the 2020 series is held flat past its last year
