y,Angola,Botswana,DRC,Eswatini,Lesotho,Malawi,Namibia,South_Africa,Tanzania,Zambia,Zimbabwe,Mozambique
2024,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.07,0.01
2025,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.07,0.01
2026,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.07,0.01
2027,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.07,0.01
2028,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.05,0.01
2029,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.05,0.01
2030,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.05,0.01
2031,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.05,0.01
2032,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.05,0.01
2033,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.05,0.01
2034,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.05,0.01
2035,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.05,0.01
2036,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.05,0.01
2037,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.05,0.01
2038,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.05,0.01
2039,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.05,0.01
2040,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.05,0.01
2041,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.05,0.01
2042,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.05,0.01
2043,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.05,0.01
2044,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.05,0.01
2045,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.05,0.01
2046,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.05,0.01
2047,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.05,0.01
2048,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.05,0.01
2049,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.05,0.01
2050,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.05,0.01
2051,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.05,0.01
2052,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.05,0.01
2053,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.05,0.01
2054,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.05,0.01
2055,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.05,0.01
2056,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.05,0.01
2057,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.05,0.01
2058,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.05,0.01
2059,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.05,0.01
2060,0.01,0.4,0.6,0.8,0.6,0.3,0.8,0.01,0.01,0.03,0.05,0.01
