q;d;t1;t2;t3;t4;t5;t6;t7;t8;t9;t10;t11;t12;t13;t14;t15;t16;t17;t18;t19;t20;t21;t22;t23;t24
Q4;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q4;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q1;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q1;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q1;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q2;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q2;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q2;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q3;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q3;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q3;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q4;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q4;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q4;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q1;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q1;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q1;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q2;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q2;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q2;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q3;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q3;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q3;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q4;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q4;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q4;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q1;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q1;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q1;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q2;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q2;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q2;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q3;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q3;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q3;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q4;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q4;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q4;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q1;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q1;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q1;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q2;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q2;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q2;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q3;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q3;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q3;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q4;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q4;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q4;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q1;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q1;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q1;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q2;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q2;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q2;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q3;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q3;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q3;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q4;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q4;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q4;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q1;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q1;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q1;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q2;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q2;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q2;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q3;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q3;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q3;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q4;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q4;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q4;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q1;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q1;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q1;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q2;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q2;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q2;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q3;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q3;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q3;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q4;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q4;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q4;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q1;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q1;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q1;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q2;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q2;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q2;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q3;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q3;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q3;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q4;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q4;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q4;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q1;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q1;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q1;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q2;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q2;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q2;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q3;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q3;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q3;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q4;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q4;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q4;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q1;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q1;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q1;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q2;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q2;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q2;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q3;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q3;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q3;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
Q4;d1;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25;11,25
Q4;d2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Q4;d3;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
