c,z,y,uni,value
AFG,NEPS_AFG,2026,Demand: GWh,6995.100000000003
AFG,NEPS_AFG,2026,Exports exchange: GWh,3772.0756171771022
AFG,NEPS_AFG,2026,Imports exchange: GWh,2876.98057738807
AFG,NEPS_AFG,2026,Net interchange Ratio: GWh,-0.1279602921743838
AFG,NEPS_AFG,2026,Net interchange: GWh,-895.0950397890324
AFG,NEPS_AFG,2026,Total Demand: GWh,6995.100000000003
AFG,NEPS_AFG,2026,Total production: GWh,7890.420934622481
AFG,NEPS_AFG,2027,Demand: GWh,7411.600000000006
AFG,NEPS_AFG,2027,Exports exchange: GWh,4144.613119275827
AFG,NEPS_AFG,2027,Imports exchange: GWh,3550.847213606992
AFG,NEPS_AFG,2027,Net interchange Ratio: GWh,-0.0801130532771377
AFG,NEPS_AFG,2027,Net interchange: GWh,-593.7659056688344
AFG,NEPS_AFG,2027,Total Demand: GWh,7411.600000000006
AFG,NEPS_AFG,2027,Total production: GWh,8005.442477968056
AFG,NEPS_AFG,2028,Demand: GWh,7939.999999999998
AFG,NEPS_AFG,2028,Exports exchange: GWh,4335.107568650091
AFG,NEPS_AFG,2028,Imports exchange: GWh,3257.955708565124
AFG,NEPS_AFG,2028,Net interchange Ratio: GWh,-0.1356614433356382
AFG,NEPS_AFG,2028,Net interchange: GWh,-1077.1518600849672
AFG,NEPS_AFG,2028,Total Demand: GWh,7939.999999999998
AFG,NEPS_AFG,2028,Total production: GWh,9021.89675031354
AFG,NEPS_AFG,2029,Demand: GWh,8384.6
AFG,NEPS_AFG,2029,Exports exchange: GWh,3747.806245919253
AFG,NEPS_AFG,2029,Imports exchange: GWh,1850.9763520147333
AFG,NEPS_AFG,2029,Net interchange Ratio: GWh,-0.2262278336360135
AFG,NEPS_AFG,2029,Net interchange: GWh,-1896.8298939045192
AFG,NEPS_AFG,2029,Total Demand: GWh,8384.6
AFG,NEPS_AFG,2029,Total production: GWh,10283.256365802088
AFG,NEPS_AFG,2030,Demand: GWh,8720.100000000011
AFG,NEPS_AFG,2030,Exports exchange: GWh,4660.815681557199
AFG,NEPS_AFG,2030,Imports exchange: GWh,1368.757048979819
AFG,NEPS_AFG,2030,Net interchange Ratio: GWh,-0.3775253302803151
AFG,NEPS_AFG,2030,Net interchange: GWh,-3292.05863257738
AFG,NEPS_AFG,2030,Total Demand: GWh,8720.100000000011
AFG,NEPS_AFG,2030,Total production: GWh,12014.933055349336
AFG,NEPS_AFG,2031,Demand: GWh,9202.3
AFG,NEPS_AFG,2031,Exports exchange: GWh,6163.456625692301
AFG,NEPS_AFG,2031,Imports exchange: GWh,2780.7557159795847
AFG,NEPS_AFG,2031,Net interchange Ratio: GWh,-0.3675929832447014
