Battery,Linked plant,Capacity,Capex,VOM,FixedOM,Efficiency,Life
Sto_WAPP2bur,,225,0,0,0,0.85,15
Sto_WAPP1bur,,150,0,0,0,0.85,15
Sto_Benin,,10000,250,0,0,0.85,15
Sto_Benin2,,10000,250,0,0,0.85,15
Sto_Burkina,,10000,250,0,0,0.85,15
Sto_Bur2,,10000,250,0,0,0.85,15
Sto_Gambia,,10000,250,0,0,0.85,15
Sto_Gambia2,,10000,250,0,0,0.85,15
Sto_Ghana,,10000,250,0,0,0.85,15
Sto_Ghana2,,10000,250,0,0,0.85,15
Sto_Guinea,,10000,250,0,0,0.85,15
Sto_Guinea2,,10000,250,0,0,0.85,15
Sto_GuineaBissau,,10000,250,0,0,0.85,15
Sto_GuineaBi2,,10000,250,0,0,0.85,15
Sto_IvoryCoast,,225,0,0,0,0.85,15
Sto_Ivory2,,150,0,0,0,0.85,15
Sto_Liberia,,10000,250,0,0,0.85,15
Sto_Libe2,,10000,250.25,0,0,0.85,15
Sto_Mali,,10000,250.25,0,0,0.85,15
Sto_Mali2,,10000,250.25,0,0,0.85,15
Sto_Niger,,10000,250.25,0,0,0.85,15
Sto_Niger2,,10000,250.25,0,0,0.85,15
Sto_Nigeria,,10000,250.25,0,0,0.85,15
Sto_Nigeria2,,10000,250.25,0,0,0.85,15
Sto_Senegal_Walo,,32,250.25,0,0,0.85,15
Sto_Senegal_Niakhar,,60,250.25,0,0,0.85,15
Sto_Senegal_KIAT,,20,250.25,0,0,0.85,15
Sto_Senegal_AFD,,112,250.25,0,0,0.85,15
Sto_Senegal2,,10000,250.25,0,0,0.85,15
Sto_SierraLeone,,10000,250.25,0,0,0.85,15
Sto_SierraLe2,,10000,250.25,0,0,0.85,15
Sto_Togo,,10000,250.25,0,0,0.85,15
Sto_Togo2,,10000,250.25,0,0,0.85,15
Sto_Mauritania,,10000,250.25,0,0,0.85,15
Sto_Mauri2,,10000,250.25,0,0,0.85,15
Storage_CAND_2027_Benin,,10000,250.25,0,0,0.85,15
Storage_CAND_2027_Burkina,,10000,250.25,0,0,0.85,15
Storage_CAND_2027_Gambia,,10000,250.25,0,0,0.85,15
Storage_CAND_2027_Ghana,,10000,250.25,0,0,0.85,15
Storage_CAND_2027_Guinea,,10000,250.25,0,0,0.85,15
Storage_CAND_2027_GuineaBissau,,10000,250.25,0,0,0.85,15
Storage_CAND_2027_IvoryCoast,,10000,250.25,0,0,0.85,15
Storage_CAND_2027_Liberia,,10000,250.25,0,0,0.85,15
Storage_CAND_2027_Mali,,10000,250.25,0,0,0.85,15
Storage_CAND_2027_Niger,,10000,250.25,0,0,0.85,15
Storage_CAND_2027_Nigeria,,10000,250.25,0,0,0.85,15
Storage_CAND_2027_Senegal,,10000,250.25,0,0,0.85,15
Storage_CAND_2027_SierraLeone,,10000,250.25,0,0,0.85,15
Storage_CAND_2027_Togo,,10000,250.25,0,0,0.85,15
Storage_CAND_2027_Mauritania_grid,,10000,250.25,0,0,0.85,15
Storage_CAND_2030_Benin,,10000,250.25,0,0,0.85,15
Storage_CAND_2030_Burkina,,10000,250.25,0,0,0.85,15
Storage_CAND_2030_Gambia,,10000,250.25,0,0,0.85,15
Storage_CAND_2030_Ghana,,10000,250.25,0,0,0.85,15
Storage_CAND_2030_Guinea,,10000,250.25,0,0,0.85,15
Storage_CAND_2030_GuineaBissau,,10000,250.25,0,0,0.85,15
Storage_CAND_2030_IvoryCoast,,10000,250.25,0,0,0.85,15
Storage_CAND_2030_Liberia,,10000,250.25,0,0,0.85,15
Storage_CAND_2030_Mali,,10000,250.25,0,0,0.85,15
Storage_CAND_2030_Niger,,10000,250.25,0,0,0.85,15
Storage_CAND_2030_Nigeria,,10000,250.25,0,0,0.85,15
Storage_CAND_2030_Senegal,,10000,250.25,0,0,0.85,15
Storage_CAND_2030_SierraLeone,,10000,250.25,0,0,0.85,15
Storage_CAND_2030_Togo,,10000,250.25,0,0,0.85,15
Storage_CAND_2030_Mauritania_grid,,10000,250.25,0,0,0.85,15
