gen,zone,tech,fuel,StYr,RetrYr,Capacity,Status,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,DescreteCap,fuel2,HeatRate2,MinUtilization,RETech,UnitSize
Acacia_TH_ZAF,South_Africa,OCGT,HFO,1976,2026,171,1,,11.26101378,,,,,,,,0,,,0,,0,0,0,0
Afrochine_PV_ZWE,Zimbabwe,PV,Solar,2026,2060,100,2,,0,,,,,,,,,,600,0,,0,0,1,0
Agg_THICE1_DRC,DRC,ICE,HFO,2000,2050,21,1,,10.41544727,,,,,,,,0,,0,0,,0,0,0,0
Agg_THICE2_DRC,DRC,ICE,HFO,2000,2050,125,1,,10.41544727,,,,,,,,0,,0,0,,0,0,0,0
AggDiesel_TH_MOZ,Mozambique,ICE,HFO,2000,2050,48,1,,13.62126767,,,,,,,,0,,,0,,0,0,0,0
Aggreko_IPP_ICE_MWI,Malawi,ICE,Diesel,2000,2019,0,1,,,,,,,,,0,0,,0,0,,0,0,0,0
Aggreko_TH_MOZ,Mozambique,ICE,HFO,2000,2018,55,1,,9.990938997,,,,,,,,0,,,0,,0,0,0,0
AH_Cambambe_C1,Angola,ReservoirHydro,Water,1962,2060,195,1,,,,,,0.121826136,,,0,0,50,,0,,0,0,0,0
AH_Cambambe_C2,Angola,ReservoirHydro,Water,2016,2060,700,1,,,,,,0.121826136,,,0,0,50,0,0,,0,0,0,0
AH_Capanda,Angola,ReservoirHydro,Water,2004,2060,520,1,,,,,,0.121826136,,,0,0,50,,0,,0,0,0,0
AH_Lauca,Angola,ReservoirHydro,Water,2017,2060,2004,1,,,,,,0.225,,,0,0,50,0,0,,0,0,0,334
Ah_Lauca_ECO,Angola,ReservoirHydro,Water,2023,2060,0,1,,,,,,0.225,,,0,0,50,0,0,,0,0,0,0
AH_Matala,Angola,ReservoirHydro,Water,1959,2060,41,1,,,,,,0.121826136,,,0,0,50,,0,,0,0,0,0
AngolaDiesel_TH_AGO,Angola,ICE,HFO,2024,2054,0,3,,10.41544727,,,,,,,,0.933810376,,0,0,,0,0.06,0,0
Anixas_TH_NAM,Namibia,ICE,HFO,2011,2061,22,1,,6.87,,,,,63250,8.8,,0,,,0,,0,0,0,0
AnixasII_TH_NAM,Namibia,ICE,HFO,2024,2061,54,2,,6.87,,,,,63250,8.8,,0.933810376,,,0,,0,0,0,0
Ankerlig(Atlantis)_TH_ZAF,South_Africa,OCGT,HFO,2007,2057,1327,1,,9.39286647,,,,,,,,0,,,0,,0,0,0,0
Arnot1_TH_ZAF,South_Africa,ST,Coal,1975,2033,1050,1,,13.3,,,,,,,,0,,,0,,0,0.05,0,372
Arnot2_TH_ZAF,South_Africa,ST,Coal,1975,2033,1050,1,,13.3,,,,,,,,0,,,0,,0,0.05,0,372
Athlone_TH_ZAF,South_Africa,ST,Coal,1962,2019,180,1,,10.10657267,,,,,,,,0,,,0,,0,0.05,0,180
Avon_TH_ZAF,South_Africa,OCGT,HFO,2015,2065,837,1,,13.62107811,,,,,,,,0,,,0,,0,0,0,0
Bagamoyo,Tanzania,CCGT,Gas,2030,2060,200,3,0.3,,,,,,30000,,,,,200,,,,,,
Bagasse_co-generation_BM_MWI,Malawi,ST,Biomass,2030,2060,60,3,,10,0.9,0.9,,,,10,,4.26,,60,0,,0,0,0,0
BatokaGorgeNorth_HY_ZMB,Zambia,ReservoirHydro,Water,2035,2060,1200,3,,,,,,0.278070484,,,0,1.699534884,50,400,0,,0,0,0,0
BatokaGorgeSouth_HY_ZWE,Zimbabwe,ReservoirHydro,Water,2032,2060,1200,2,,,,,,0.275342466,,,0,1.699534884,50,1200,0,,0,0,0,0
Baynes(Angola)_HY_AGO,Angola,ReservoirHydro,Water,2032,2072,430,2,,,,,,0.121826136,,,0,3.115813953,50,430,0,,0,0,0,0
Baynes(Namibia)_HY_NAM,Namibia,ReservoirHydro,Water,2032,2060,430,2,,,,,,0.175,30250,4.4,0,3.115813953,50,430,0,,0,0,0,0
Biomass_TZ_Candidate,Tanzania,ST,Biomass,2025,2060,32,3,0.3,10,0.33,0.33,,,,3,,4.4,,32,,,,,,
Bloemfontein_TH_ZAF,South_Africa,ST,Coal,1965,2015,103,1,,14,,,,,,,,0,,,0,,0,0.05,0,103
BotswanaCoal_TH_BWA,Botswana,ST,Coal,2026,2076,0,3,,8.6,,,,,,,,2.466504472,,0,0,,0,0.05,0,0
BotswanaSolarCSP_REN_BWA,Botswana,CSPPlant,CSP,2027,2067,0,3,0,0,1,1,0,0.8,22000,3,0,1.915,30,200,0,,0,0,0,0
Bulawayo_TH_ZWE,Zimbabwe,ST,Coal,1999,2055,90,1,,,,,,,,,,0,,,0,,0,0.1,0,90
Busanga_HY_DRC,DRC_South,ReservoirHydro,Water,2022,2060,240,1,,,,,,0.193435172,,,0,0,50,0,0,,0,0,0,0
CaculoCabaca_HY_AGO,Angola,ReservoirHydro,Water,2027,2067,2172,2,,,,,,0.24,,,0,4.5,50,2172,0,,0,0,0,0
CahoraBassa_HY_MOZ,Mozambique,ReservoirHydro,Water,2000,2060,700,1,,,,,,0.4,,,0,0,50,,0,,0,0,0,0
Camden_TH_ZAF,South_Africa,ST,Coal,1967,2030,1484,1,,13.6,,,,,,,,0,,,0,,0,0.05,0,185.125
CandidateHydro_HY_ZMB,Zambia,ReservoirHydro,Water,2029,2060,315,3,,,,,,0.278070484,,,0,4.248837209,50,315,0,,0,0,0,0
Cedar_Muloza,Malawi,ReservoirHydro,Water,2022,2060,3.3,1,,,,,,0.325077306,,,0,0,50,0,0,,0,0,0,0
CF_Bafia_Farta,Angola,PV,Solar,2022,2073,76,1,,0,,,,,,,,0,,0,0,,0,0,1,0
CF_Biopio,Angola,PV,Solar,2022,2073,145,1,,0,,,,,,,,0,,0,0,,0,0,1,0
Chasombo_HY_MWI,Malawi,ReservoirHydro,Water,2055,2060,40,3,,,,,,0.325077306,,,,3.445,,41,0,,0,0,0,0
ChishimbaFalls_HY_ZMB,Zambia,ReservoirHydro,Water,2004,2060,6,1,,,,,,0.107375,,,0,0,50,,0,,0,0,0,0
ChishimbaFallsExt_HY_ZMB,Zambia,ReservoirHydro,Water,2026,2060,9,2,,,,,,0.107375,,,0,4.251,50,,0,,0,0,0,0
Chisumbanje_BIO_ZWE,Zimbabwe,ST,Biomass,2024,2074,4,3,,10,0.33,0.33,,0.8,48000,,,2.723613596,,4,0,,0,0,0,4
Chitipa_WIND_MWI,Malawi,OnshoreWind,Wind,2027,2057,0,3,,0,1,1,,,,,,,,0,0,,0,0,1,0
Chiweta_GT_MWI,Malawi,ST,Geothermal,2055,2060,12,3,,0,1,1,0,0.2,15000,2.538071066,0,9.95,30,12,0,,0,0,0,0
Chizuma_HY_MWI,Malawi,ReservoirHydro,Water,2055,2060,40,3,,,,,,0.325077306,,,,3.445,,41,0,,0,0,0,0
CIF_TH_AGO,Angola,OCGT,Gas,2000,2019,50,1,0.2,13.1746563,,,,,,,,0,,,0,7,13.8746563,0.25,0,0
Committed_PV1-1_BWA,Botswana,PV,Solar,2026,2060,235,3,,0,,,,,,,,,,60,0,,0,0,1,0
Committed_PV1-2_BWA,Botswana,PV,Solar,2030,2060,300,3,,0,,,,,,,,,,75,0,,0,0,1,0
Committed_PV1-3_BWA,Botswana,PV,Solar,2035,2060,0,3,,0,,,,,,,,,,0,0,,0,0,1,0
Committed_Wind1-1_BWA,Botswana,OnshoreWind,Wind,2027,2057,0,2,,0,1,1,,,,,,,,0,0,,0,0,1,0
Committed_Wind1-2_BWA,Botswana,OnshoreWind,Wind,2025,2055,0,2,,0,1,1,,,,,,,,0,0,,0,0,1,0
Committed_Wind1-3_BWA,Botswana,OnshoreWind,Wind,2028,2058,0,2,,0,1,1,,,,,,,,50,0,,0,0,1,0
Committed_Wind1-4_BWA,Botswana,OnshoreWind,Wind,2031,2061,0,2,,0,1,1,,,,,,,,0,0,,0,0,1,0
Committed_Wind1-5_BWA,Botswana,OnshoreWind,Wind,2035,2065,0,2,,0,1,1,,,,,,,,50,0,,0,0,1,0
Committed1_PV_AGO,Angola,PV,Solar,2024,2060,172,2,,0,,,,,,,,,,400,0,,0,0,1,0
Committed2_PV_AGO,Angola,PV,Solar,2025,2060,44,2,,0,,,,,,,,,,400,0,,0,0,1,0
Committed3_PV_AGO,Angola,PV,Solar,2026,2060,658,2,,0,,,,,,,,,,400,0,,0,0,1,0
CommittedSolar_REN_DRC,DRC,PV,Solar,2025,2060,200,2,,0,,,,,,,,,,200,0,,0,0,1,0
CommittedWind1-5_NAM,Namibia,OnshoreWind,Wind,2036,2066,0,2,,0,1,1,,,,,,,,0,0,,0,0,1,0
CT_Biocom,Angola,ST,Biomass,2009,2051,20,1,,10.8998955,,,,0.8,48000,,,0,,,0,,0,0,0,20
CT_Malembo,Angola,OCGT,Gas,2012,2055,105,1,0.2,11.49838981,,,,,,,,0,,,0,7,12.19838981,0.25,0,0
CT_OffGrid_Diesel,Angola,ICE,Diesel,2013,2063,372,1,0.06,10.42,1,1,0,0.4,8000,6.4,0,0,30,0,0,,0,0,0,0
CT_OnGrid_Diesel,Angola,ICE,Diesel,2000,2050,344,1,0.06,13.62,1,1,0,0.4,8000,6.4,0,0,30,0,0,,0,0,0,0
CT_PV_Diesel_Hybrid,Angola,PV,Solar,2017,2051,30,1,0,0,,,,,,,,0,,,0,12,10.42,0,1,30
CT_Soyo,Angola,CCGT,Gas,2017,2073,500,1,,9,,,,,,,0,0,,0,0,12,9.7,0.05,0,0
CTMJICA1_TH_MOZ,Mozambique,OCGT,Gas,2018,2068,106,1,0.2,10.425987,,,,,,,,0,,0,0,7,11.125987,0.5,0,0
CTMJICA2_TH_MOZ,Mozambique,OCGT,Gas,2026,2076,29,3,0.2,,,,,,,,,1.016815742,,29,0,7,9.7,0.05,0,0
Dedisa_TH_ZAF,South_Africa,OCGT,HFO,2015,2065,335,1,,13.62107811,,,,,,,,0,,,0,,0,0,0,0
Dedza_WIND_MWI,Malawi,OnshoreWind,Wind,2027,2057,0,3,,0,1,1,,,,,,,,0,0,,0,0,1,0
DemaEmergency_TH_ZWE,Zimbabwe,ICE,HFO,2017,2020,200,1,,11.373804,,,,,,,,0,,,0,,0,0,0,0
Devil'sGorgeNorth_HY_ZMB,Zambia,ReservoirHydro,Water,2032,2060,600,3,,,,,,0.278070484,,,0,4.248837209,50,600,0,,0,0,0,0
Devil'sGorgeSouth_HY_ZWE,Zimbabwe,ReservoirHydro,Water,2035,2070,620,3,,,,,,0.275342466,,,0,4.248837209,50,600,0,,0,0,0,0
Diaz_Wind_NAM,Namibia,OnshoreWind,Wind,2027,2057,50,2,,0,1,1,,,,,,,,44,0,,0,0,1,0
Diesel_TZA,Tanzania,ICE,Diesel,2013,2032,60,1,0.5,10.8,0.16,0.16,,0.2,13300,4.5,,,30,,,,,,,
DrakensbergPH_HY_ZAF,South_Africa,Storage,Water,1985,2060,1000,1,,0,1,1,0,0.8,46500,0.55,0,0,50,,0,,0,0,0,0
Duvha_TH_ZAF,South_Africa,ST,Coal,1980,2032,2875,1,,12.3,,,,,,,,0,,,0,,0,0.05,0,479.1666667
Duynefontein_NU_ZAF,South_Africa,ST,Uranium,2032,2072,2500,3,0.7,9.2886066,0.1,0.1,0,0,100000,2.3,0,6.295957066,50,2500,0,,0,0.6,0,0
Edwaleni1_HY_SWZ,Eswatini,ReservoirHydro,Water,2000,2060,10,1,,,,,,0.152,,,0,0,50,,0,,0,0,0,0
Edwaleni2_HY_SWZ,Eswatini,ReservoirHydro,Water,2000,2060,5,1,,,,,,0.152,,,0,0,50,,0,,0,0,0,0
EdwaleniThermal_TH_SWZ,Eswatini,ICE,HFO,2000,2050,9,1,,11.73397446,,,,,,,,0,,,0,,0,0,0,0
