gen,zone,tech,fuel,StYr,RetrYr,Capacity,Status,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,DescreteCap,fuel2,HeatRate2,MinUtilization,RETech,UnitSize
Acacia_TH_ZAF,South_Africa,OCGT,HFO,1976,2026,171,1,,11.26101378,,,,,,,,0,,,0,,0,0,0,0
Agg_THICE1_ZAR,DRC,ICE,HFO,2000,2050,20.7,1,,10.41544727,,,,,,,,0,,0,0,,0,0,0,0
Agg_THICE2_ZAR,DRC,ICE,HFO,2000,2050,124.4,1,,10.41544727,,,,,,,,0,,0,0,,0,0,0,0
AggDiesel_TH_MOZ,Mozambique,ICE,HFO,2000,2050,48,1,,13.62126767,,,,,,,,0,,,0,,0,0,0,0
Aggreko_IPP_ICE_MWI,Malawi,ICE,Diesel,2000,2019,0,1,,,,,,,,,0,0,,0,0,,0,0,0,0
Aggreko_TH_MOZ,Mozambique,ICE,HFO,2000,2018,55,1,,9.990938997,,,,,,,,0,,,0,,0,0,0,0
AH_Cambambe_C1,Angola,ReservoirHydro,Water,1962,2060,195,1,,,,,,0.121826136,,,0,0,50,,0,,0,0,0,0
AH_Cambambe_C2,Angola,ReservoirHydro,Water,2016,2060,700,1,,,,,,0.121826136,,,0,0,50,0,0,,0,0,0,0
AH_Capanda,Angola,ReservoirHydro,Water,2004,2060,520,1,,,,,,0.121826136,,,0,0,50,,0,,0,0,0,0
AH_Lauca,Angola,ReservoirHydro,Water,2017,2060,2004,1,,,,,,0.225,,,0,0,50,0,0,,0,0,0,334
Ah_Lauca_ECO,Angola,ReservoirHydro,Water,2023,2060,0,1,,,,,,0.225,,,0,0,50,0,0,,0,0,0,0
AH_Matala,Angola,ReservoirHydro,Water,1959,2060,40.8,1,,,,,,0.121826136,,,0,0,50,,0,,0,0,0,0
AngolaCCGTNG_TH_AGO,Angola,CCGT,LNG,2055,2105,0,3,,,,,,,,,,1.245080501,,400,0,7,7.1,0.05,0,0
AngolaDiesel_TH_AGO,Angola,ICE,HFO,2024,2054,0,3,,10.41544727,,,,,,,,0.933810376,,0,0,,0,0.06,0,0
Anixas_TH_NAM,Namibia,ICE,HFO,2011,2061,22.5,1,,10.41544727,,,,,,,,0,,,0,,0,0,0,0
AnixasII_TH_NAM,Namibia,ICE,HFO,2024,2061,54,2,,10.41544727,,,,,,,,0.933810376,,,0,,0,0,0,0
Ankerlig(Atlantis)_TH_ZAF,South_Africa,OCGT,HFO,2007,2057,1327,1,,9.39286647,,,,,,,,0,,,0,,0,0,0,0
Arnot1_TH_ZAF,South_Africa,ST,Coal,1975,2033,1116,1,,13.3,,,,,,,,0,,,0,,0,0.05,0,372
Arnot2_TH_ZAF,South_Africa,ST,Coal,1975,2033,1116,1,,13.3,,,,,,,,0,,,0,,0,0.05,0,372
Athlone_TH_ZAF,South_Africa,ST,Coal,1962,2019,180,1,,10.10657267,,,,,,,,0,,,0,,0,0.05,0,180
Avon_TH_ZAF,South_Africa,OCGT,HFO,2015,2065,837.5,1,,13.62107811,,,,,,,,0,,,0,,0,0,0,0
Bagamoyo,Tanzania,CCGT,Gas,2028,2078,200,3,,,0.1,0.1,,,,,0,1.2,,200,0,,0,0.05,0,0
Bagasse_co-generation_BM_MWI,Malawi,ST,Biomass,2030,2060,60,3,,10,0.9,0.9,,,,10,,4.26,,60,0,,0,0,0,0
BatokaGorgeNorth_HY_ZMB,Zambia,ReservoirHydro,Water,2035,2060,1200,3,,,,,,0.278070484,,,0,1.699534884,50,400,0,,0,0,0,0
BatokaGorgeSouth_HY_ZWE,Zimbabwe,ReservoirHydro,Water,2035,2060,1200,3,,,,,,0.275342466,,,0,1.699534884,50,1200,0,,0,0,0,0
Baynes(Angola)_HY_AGO,Angola,ReservoirHydro,Water,2032,2072,430,3,,,,,,0.121826136,,,0,3.115813953,50,430,0,,0,0,0,0
Baynes(Namibia)_HY_NAM,Namibia,ReservoirHydro,Water,2032,2060,300,3,,,,,,0.175,,,0,3.115813953,50,300,0,,0,0,0,0
Beloluane_TH_MOZ,Mozambique,OCGT,Gas,2016,2066,0,1,0.2,13.62126767,,,,,,,,0,,,0,7,14.32126767,0.4,0,0
Bloemfontein_TH_ZAF,South_Africa,ST,Coal,1965,2015,103,1,,14,,,,,,,,0,,,0,,0,0.05,0,103
Boroma_HY_MOZ,Mozambique,ReservoirHydro,Water,2037,2060,0,3,,,,,,0.406440138,,,0,4.248837209,50,0,0,,0,0,0,0
BotswanaCoal_TH_BWA,Botswana,ST,Coal,2026,2076,0,3,,8.6,,,,,,,,2.466504472,,0,0,,0,0.05,0,0
BotswanaSolarCSP_REN_BWA,Botswana,CSPPlant,CSP,2027,2067,200,3,0,0,1,1,0,0.8,22000,3,0,1.915,30,200,0,,0,0,0,0
Bulawayo_TH_ZWE,Zimbabwe,ST,Coal,1999,2055,90,1,,11.373804,,,,,,,,0,,,0,,0,0.1,0,90
Busanga_HY_ZAR,DRC_South,ReservoirHydro,Water,2022,2060,240,1,,,,,,0.193435172,,,0,0,50,0,0,,0,0,0,0
CaculoCabaca_HY_AGO,Angola,ReservoirHydro,Water,2027,2067,2172,2,,,,,,0.24,,,0,4.5,50,2172,0,,0,0,0,0
Cafula(Keve)_HY_AGO,Angola,ReservoirHydro,Water,2055,2060,400,3,,,,,,0.272,,,0,5.240232558,50,400,0,,0,0,0,0
CahoraBassa_HY_MOZ,Mozambique,ReservoirHydro,Water,2000,2060,700,1,,,,,,0.4,,,0,0,50,,0,,0,0,0,0
Calengue(Catumbela)_HY_AGO,Angola,ReservoirHydro,Water,2055,2060,180,3,,,,,,0.3415,,,0,4.248837209,50,180,0,,0,0,0,0
Camden_TH_ZAF,South_Africa,ST,Coal,1967,2030,1481,1,,13.6,,,,,,,,0,,,0,,0,0.05,0,185.125
CandidateCoal_TH_ZWE,Zimbabwe,ST,Coal,2025,2075,0,3,,8.6,,,,,,,,2.466504472,,0,0,,0,0.05,0,0
CandidateHydro_HY_ZMB,Zambia,ReservoirHydro,Water,2029,2060,315,3,,,,,,0.278070484,,,0,4.248837209,50,315,0,,0,0,0,0
Cedar_Muloza,Malawi,ReservoirHydro,Water,2022,2060,3.3,1,,,,,,0.325077306,,,0,0,50,0,0,,0,0,0,0
CF_Bafia_Farta,Angola,PV,Solar,2022,2073,75.5,1,0,0,1,1,0,0,15000,0,0,0,25,0,0,,0,0,1,0
CF_Biopio,Angola,PV,Solar,2022,2073,144.9,1,0,0,1,1,0,0,15000,0,0,0,25,0,0,,0,0,1,0
