country,zone,attribute,resolution,year,NoTransmission,TransmissionOptimal,baseline
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2026,2429.2,2429.2,2429.2
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2027,2135.5,2135.5,2135.5
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2028,2067.6,2067.6,2067.6
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2029,1540.9,1540.9,1540.9
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2030,1898.3,1898.3,1898.3
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2031,2509.5,2509.5,2509.5
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2032,2505.7,2505.7,2505.7
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2033,2408.0,2408.0,2408.0
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2034,2162.2,2162.2,2162.2
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2035,1405.0,1405.0,1405.0
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2040,924.6,924.6,924.6
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2045,336.3,336.3,336.3
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2027,52.5,52.5,52.5
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2028,89.3,89.3,89.3
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2029,163.4,163.4,163.4
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2030,91.7,91.7,91.7
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2031,130.5,130.5,130.5
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2032,294.0,294.0,294.0
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2033,434.3,434.3,434.3
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2034,844.5,844.5,844.5
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2035,1714.7,1714.7,1714.7
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2040,2006.9,2006.9,2006.9
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2045,2556.8,2556.8,2556.8
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2050,2966.5,2966.5,2966.5
Benin,Benin,Capacity: MW,Battery,2027,15.6,15.6,15.6
Benin,Benin,Capacity: MW,Battery,2028,22.1,22.1,22.1
Benin,Benin,Capacity: MW,Battery,2029,36.6,36.6,36.6
Benin,Benin,Capacity: MW,Battery,2030,36.6,36.6,36.6
Benin,Benin,Capacity: MW,Battery,2031,36.6,36.6,36.6
Benin,Benin,Capacity: MW,Battery,2032,36.6,36.6,36.6
Benin,Benin,Capacity: MW,Battery,2033,36.6,36.6,36.6
Benin,Benin,Capacity: MW,Battery,2034,36.6,36.6,36.6
Benin,Benin,Capacity: MW,Battery,2035,36.6,36.6,36.6
Benin,Benin,Capacity: MW,Battery,2040,77.9,77.9,77.9
Benin,Benin,Capacity: MW,Battery,2045,177.9,177.9,177.9
Benin,Benin,Capacity: MW,Battery,2050,277.9,277.9,277.9
Benin,Benin,Capacity: MW,Diesel,2026,137.0,137.0,137.0
Benin,Benin,Capacity: MW,Diesel,2027,137.0,137.0,137.0
Benin,Benin,Capacity: MW,Diesel,2028,137.0,137.0,137.0
Benin,Benin,Capacity: MW,Diesel,2029,137.0,137.0,137.0
Benin,Benin,Capacity: MW,Diesel,2030,137.0,137.0,137.0
Benin,Benin,Capacity: MW,Diesel,2031,76.7,76.7,76.7
Benin,Benin,Capacity: MW,Diesel,2032,76.7,76.7,76.7
Benin,Benin,Capacity: MW,Diesel,2033,76.7,76.7,76.7
Benin,Benin,Capacity: MW,Diesel,2034,76.7,76.7,76.7
Benin,Benin,Capacity: MW,Diesel,2035,76.7,76.7,76.7
Benin,Benin,Capacity: MW,Diesel,2040,76.7,76.7,76.7
Benin,Benin,Capacity: MW,Gas,2027,42.0,42.0,42.0
Benin,Benin,Capacity: MW,Gas,2028,42.0,42.0,42.0
Benin,Benin,Capacity: MW,Gas,2029,42.0,42.0,42.0
Benin,Benin,Capacity: MW,Gas,2030,292.0,292.0,292.0
Benin,Benin,Capacity: MW,Gas,2031,542.0,542.0,542.0
Benin,Benin,Capacity: MW,Gas,2032,661.3,661.3,661.3
Benin,Benin,Capacity: MW,Gas,2033,690.5,690.5,690.5
Benin,Benin,Capacity: MW,Gas,2034,719.7,719.7,719.7
Benin,Benin,Capacity: MW,Gas,2035,748.9,748.9,748.9
