c,z,y,uni,value
Armenia,Armenia,2025,Demand: GWh,6721.000000000002
Armenia,Armenia,2025,Total Demand: GWh,6721.000000000002
Armenia,Armenia,2025,Total production: GWh,6721.000000000001
Armenia,Armenia,2026,Demand: GWh,6792.000000000008
Armenia,Armenia,2026,Surplus generation: GWh,0.6530223175447325
Armenia,Armenia,2026,Total Demand: GWh,6792.000000000008
Armenia,Armenia,2026,Total production: GWh,6792.653022317543
Armenia,Armenia,2027,Demand: GWh,6861.999999999994
Armenia,Armenia,2027,Exports exchange: GWh,8722.288476730682
Armenia,Armenia,2027,Imports exchange: GWh,0.6791195509060957
Armenia,Armenia,2027,Net interchange Ratio: GWh,-1.2710010721626033
Armenia,Armenia,2027,Net interchange: GWh,-8721.609357179776
Armenia,Armenia,2027,Total Demand: GWh,6861.999999999994
Armenia,Armenia,2027,Total production: GWh,15583.6227758303
Armenia,Armenia,2028,Demand: GWh,6932.999999999995
Armenia,Armenia,2028,Exports exchange: GWh,8715.954162563254
Armenia,Armenia,2028,Imports exchange: GWh,0.601972822441111
Armenia,Armenia,2028,Net interchange Ratio: GWh,-1.257082387096613
Armenia,Armenia,2028,Net interchange: GWh,-8715.352189740812
Armenia,Armenia,2028,Total Demand: GWh,6932.999999999995
Armenia,Armenia,2028,Total production: GWh,15648.364084057384
Armenia,Armenia,2029,Demand: GWh,7004.000000000001
Armenia,Armenia,2029,Exports exchange: GWh,8729.6768947009
Armenia,Armenia,2029,Imports exchange: GWh,0.5248260939761389
Armenia,Armenia,2029,Net interchange Ratio: GWh,-1.2463095472025874
Armenia,Armenia,2029,Net interchange: GWh,-8729.152068606923
Armenia,Armenia,2029,Total Demand: GWh,7004.000000000001
Armenia,Armenia,2029,Total production: GWh,15733.162438589548
Armenia,Armenia,2030,Demand: GWh,7074.999999999987
Armenia,Armenia,2030,Exports exchange: GWh,8685.738678551494
Armenia,Armenia,2030,Imports exchange: GWh,0.4443769931672547
Armenia,Armenia,2030,Net interchange Ratio: GWh,-1.2276034348492355
Armenia,Armenia,2030,Net interchange: GWh,-8685.294301558326
Armenia,Armenia,2030,Total Demand: GWh,7074.999999999987
Armenia,Armenia,2030,Total production: GWh,15760.30308195576
