gen,zone,tech,fuel,StYr,RetrYr,Capacity,Status,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,MaxTotalBuild,DescreteCap,fuel2,HeatRate2,MinUtilization,RETech,UnitSize,Tech Valid
CTH_10,Burundi,ICE,Diesel,2022.0,2055.0,10.0,1.0,0.0,10.42,1.0,1.0,0.0,0.2,8000.0,6.4,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
CTH_30,Burundi,ICE,Diesel,2022.0,2055.0,20.0,1.0,0.0,10.42,1.0,1.0,0.0,0.2,8000.0,6.4,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
CTH_5,Burundi,ICE,Diesel,2022.0,2055.0,4.0,1.0,0.0,10.42,1.0,1.0,0.0,0.2,8000.0,6.4,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Mubuga,Burundi,PV,Solar,2022.0,2055.0,8.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,15000.0,0.0,0.0,0.8,25.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,True
Buhiga,Burundi,ROR,Water,2022.0,2055.0,0.5,1.0,0.0,0.0,1.0,1.0,0.0,0.4,40000.0,0.5,5.0,2.8,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Gikonge,Burundi,ROR,Water,2022.0,2055.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,40000.0,0.5,5.0,2.8,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Kayenzi,Burundi,ROR,Water,2022.0,2055.0,8.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,40000.0,0.5,5.0,2.8,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Marangara,Burundi,ROR,Water,2022.0,2055.0,0.2,1.0,0.0,0.0,1.0,1.0,0.0,0.4,40000.0,0.5,5.0,2.8,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Mugere,Burundi,ROR,Water,2022.0,2055.0,8.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,40000.0,0.5,5.0,2.8,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Nyemanga,Burundi,ROR,Water,2022.0,2055.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,40000.0,0.5,5.0,2.8,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Rusumo Falls,Burundi,ReservoirHydro,Water,2024.0,2055.0,27.0,2.0,0.0,0.0,1.0,1.0,0.0,0.4,50000.0,0.5,5.0,3.3,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Ruvyironza,Burundi,ReservoirHydro,Water,2022.0,2055.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,50000.0,0.5,5.0,3.3,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
