zone,tech,q,d,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Libya,PV,m1,d1,0,0,0,0,0,0.00484,0.25729,0.50158,0.66694,0.75532,0.78871,0.77819,0.71332,0.58726,0.38687,0.11474,0,0,0,0,0,0,0,0
Libya,PV,m2,d1,0,0,0,0,0,0.03489,0.27043,0.49643,0.65607,0.74246,0.77171,0.75196,0.67904,0.55257,0.35914,0.13454,0.00032,0,0,0,0,0,0,0
Libya,PV,m3,d1,0,0,0,0,0,0.08865,0.32645,0.53748,0.68184,0.76442,0.79461,0.77332,0.70332,0.58435,0.41535,0.202,0.01655,0,0,0,0,0,0,0
Libya,PV,m4,d1,0,0,0,0,0.00027,0.10343,0.29847,0.47903,0.62287,0.7018,0.7309,0.71197,0.6524,0.54257,0.38967,0.20407,0.03563,0,0,0,0,0,0,0
Libya,PV,m5,d1,0,0,0,0,0.00832,0.11097,0.28832,0.4519,0.57635,0.65026,0.67697,0.65258,0.59835,0.50113,0.35926,0.19303,0.04435,0,0,0,0,0,0,0
Libya,PV,m6,d1,0,0,0,0,0.0174,0.1042,0.26763,0.42363,0.54277,0.6174,0.64953,0.64217,0.59047,0.49423,0.35813,0.19643,0.05113,0,0,0,0,0,0,0
Libya,PV,m7,d1,0,0,0,0,0.01248,0.09974,0.27884,0.4419,0.56432,0.64048,0.67155,0.65987,0.60619,0.5089,0.37016,0.20387,0.05319,0,0,0,0,0,0,0
Libya,PV,m8,d1,0,0,0,0,0.00206,0.10132,0.2919,0.46394,0.59055,0.66816,0.69923,0.68616,0.62961,0.5281,0.38226,0.20332,0.04306,0,0,0,0,0,0,0
Libya,PV,m9,d1,0,0,0,0,0,0.09687,0.31117,0.49937,0.6345,0.71577,0.74657,0.72847,0.66493,0.55657,0.39997,0.20397,0.02237,0,0,0,0,0,0,0
Libya,PV,m10,d1,0,0,0,0,0,0.05306,0.2799,0.48313,0.62097,0.69916,0.73029,0.72623,0.67042,0.55145,0.38068,0.16852,0.00103,0,0,0,0,0,0,0
